Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Virginie P.L.Q./Q.L.P.;Brisebois David C.Q.;Cloutier Serge P.C.Q-E.E.D.;Déry Pascale C.A.Q.-E.F.L.;Marc Ednal Q.S.;Van Dun Aïcha P.Q.;B.V.;B.R.
560;Repentigny;2022-10-03;G;Repentigny, v;5;;1;348;13;0;17;63;20;23;136;2
560;Repentigny;2022-10-03;G;Repentigny, v;5;;2;346;13;3;21;64;19;27;147;1
560;Repentigny;2022-10-03;G;Repentigny, v;5;;3;348;8;0;12;66;14;29;129;0
560;Repentigny;2022-10-03;G;Repentigny, v;5;;4;347;14;2;12;60;20;38;146;4
560;Repentigny;2022-10-03;G;Repentigny, v;5;;5;343;7;4;17;79;30;29;166;3
560;Repentigny;2022-10-03;G;Repentigny, v;5;;6;338;13;1;11;75;14;32;146;0
560;Repentigny;2022-10-03;G;Repentigny, v;5;;7;340;25;2;9;70;20;43;169;0
560;Repentigny;2022-10-03;G;Repentigny, v;6;;8;363;18;4;11;72;41;52;198;2
560;Repentigny;2022-10-03;G;Repentigny, v;6;;9;346;7;2;8;69;23;33;142;2
560;Repentigny;2022-10-03;G;Repentigny, v;6;;10;366;7;0;3;59;3;12;84;1
560;Repentigny;2022-10-03;G;Repentigny, v;6;;11;377;5;4;21;66;14;24;134;5
560;Repentigny;2022-10-03;G;Repentigny, v;6;;12;361;10;3;10;76;32;39;170;0
560;Repentigny;2022-10-03;G;Repentigny, v;7;;13;361;13;0;17;64;37;31;162;1
560;Repentigny;2022-10-03;G;Repentigny, v;7;;14;377;12;1;10;94;34;33;184;3
560;Repentigny;2022-10-03;G;Repentigny, v;7;;15;369;11;4;17;89;31;32;184;3
560;Repentigny;2022-10-03;G;Repentigny, v;7;;16;365;26;2;11;81;24;23;167;2
560;Repentigny;2022-10-03;G;Repentigny, v;7;;17;370;14;0;3;72;28;27;144;1
560;Repentigny;2022-10-03;G;Repentigny, v;7;;18;372;18;1;6;79;29;45;178;3
560;Repentigny;2022-10-03;G;Repentigny, v;8;;19;403;25;4;23;68;33;45;198;4
560;Repentigny;2022-10-03;G;Repentigny, v;8;;20;301;6;1;11;47;8;18;91;1
560;Repentigny;2022-10-03;G;Repentigny, v;8;;21;401;17;1;13;86;26;27;170;1
560;Repentigny;2022-10-03;G;Repentigny, v;8;;22;401;18;0;7;79;13;24;141;3
560;Repentigny;2022-10-03;G;Repentigny, v;8;;23;368;10;2;3;79;5;15;114;0
560;Repentigny;2022-10-03;G;Repentigny, v;9;;24;340;7;1;10;62;13;30;123;3
560;Repentigny;2022-10-03;G;Repentigny, v;9;;25;320;5;1;16;71;25;21;139;3
560;Repentigny;2022-10-03;G;Repentigny, v;9;;26;322;17;1;15;73;22;25;153;1
560;Repentigny;2022-10-03;G;Repentigny, v;9;;27;340;10;2;10;58;25;36;141;2
560;Repentigny;2022-10-03;G;Repentigny, v;9;;28;335;9;1;11;43;28;31;123;5
560;Repentigny;2022-10-03;G;Repentigny, v;10;;29;377;23;0;18;79;27;28;175;2
560;Repentigny;2022-10-03;G;Repentigny, v;10;;30;382;23;4;17;94;25;20;183;6
560;Repentigny;2022-10-03;G;Repentigny, v;10;;31;378;23;6;12;97;36;27;201;2
560;Repentigny;2022-10-03;G;Repentigny, v;10;;32;381;17;2;11;103;33;26;192;2
560;Repentigny;2022-10-03;G;Repentigny, v;10;;33;386;18;1;14;85;26;22;166;3
560;Repentigny;2022-10-03;G;Repentigny, v;11;;34;375;24;4;16;57;23;28;152;2
560;Repentigny;2022-10-03;G;Repentigny, v;11;;35;368;12;0;10;78;32;47;179;5
560;Repentigny;2022-10-03;G;Repentigny, v;11;;36;366;14;1;15;61;26;36;153;2
560;Repentigny;2022-10-03;G;Repentigny, v;11;;37;375;16;1;22;79;22;32;172;7
560;Repentigny;2022-10-03;G;Repentigny, v;11;;38;377;12;3;13;87;30;35;180;1
560;Repentigny;2022-10-03;G;Repentigny, v;11;;39;379;14;1;2;76;37;48;178;0
560;Repentigny;2022-10-03;G;Repentigny, v;11;;40;385;18;3;12;96;26;38;193;3
560;Repentigny;2022-10-03;G;Repentigny, v;12;;41;407;23;2;13;112;33;52;235;3
560;Repentigny;2022-10-03;G;Repentigny, v;12;;42;400;38;1;20;82;26;41;208;2
560;Repentigny;2022-10-03;G;Repentigny, v;12;;43;414;23;3;15;92;31;58;222;2
560;Repentigny;2022-10-03;G;Repentigny, v;12;;44;415;22;2;18;92;34;29;197;4
560;Repentigny;2022-10-03;G;Repentigny, v;12;;45;419;57;1;8;67;35;22;190;6
560;Repentigny;2022-10-03;G;Repentigny, v;12;;46;407;39;1;8;83;38;31;200;5
560;Repentigny;2022-10-03;G;Repentigny, v;12;;47;391;30;2;22;62;29;41;186;1
560;Repentigny;2022-10-03;G;Repentigny, v;12;;48;408;20;1;9;89;21;30;170;0
560;Repentigny;2022-10-03;G;Repentigny, v;12;;49;405;34;1;11;74;30;36;186;2
560;Repentigny;2022-10-03;G;Repentigny, v;13;;50;390;12;0;13;72;35;38;170;1
560;Repentigny;2022-10-03;G;Repentigny, v;13;;51;390;22;5;17;89;36;32;201;1
560;Repentigny;2022-10-03;G;Repentigny, v;13;;52;396;23;4;14;81;36;36;194;1
560;Repentigny;2022-10-03;G;Repentigny, v;13;;53;395;16;1;14;81;33;38;183;4
560;Repentigny;2022-10-03;G;Repentigny, v;13;;54;400;10;2;9;76;20;24;141;4
560;Repentigny;2022-10-03;G;Repentigny, v;13;;55;390;9;1;20;67;16;29;142;0
560;Repentigny;2022-10-03;G;Repentigny, v;13;;56;370;4;0;11;69;25;15;124;3
560;Repentigny;2022-10-03;G;Repentigny, v;14;;57;361;7;3;21;72;10;19;132;3
560;Repentigny;2022-10-03;G;Repentigny, v;14;;58;390;18;3;11;61;34;38;165;0
560;Repentigny;2022-10-03;G;Repentigny, v;14;;59;365;9;1;5;95;11;22;143;0
560;Repentigny;2022-10-03;G;Repentigny, v;14;;60;380;4;4;11;65;20;30;134;0
560;Repentigny;2022-10-03;G;Repentigny, v;14;;61;384;15;2;11;108;32;33;201;1
560;Repentigny;2022-10-03;G;Repentigny, v;14;;62;370;5;0;16;64;25;23;133;2
560;Repentigny;2022-10-03;G;Repentigny, v;14;;63;372;10;3;9;91;29;47;189;3
560;Repentigny;2022-10-03;G;Repentigny, v;14;;64;421;23;1;14;87;23;30;178;1
560;Repentigny;2022-10-03;G;Repentigny, v;15;;65;394;21;1;21;90;38;42;213;2
560;Repentigny;2022-10-03;G;Repentigny, v;15;;66;385;20;4;19;81;25;43;192;1
560;Repentigny;2022-10-03;G;Repentigny, v;15;;67;370;9;1;5;67;20;24;126;1
560;Repentigny;2022-10-03;G;Repentigny, v;15;;68;374;25;0;7;87;35;40;194;2
560;Repentigny;2022-10-03;G;Repentigny, v;15;;69;382;23;3;9;90;30;41;196;2
560;Repentigny;2022-10-03;G;Repentigny, v;15;;70;383;21;5;4;77;25;37;169;6
