Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Suzanne C.A.Q.-E.F.L.;Blanchette Jonathan U.N.;Bourgeois Guy P.L.Q./Q.L.P.;Doré Samuel P.Q.;Lapierre Alexis Q.S.;Vigneault François P.C.Q-E.E.D.;B.V.;B.R.
642;Abitibi-Ouest;2022-10-03;G;Saint-Lambert, p;1;;1;154;38;1;1;15;18;21;94;1
642;Abitibi-Ouest;2022-10-03;G;Normétal, m;1;;2;289;76;2;1;17;22;14;132;2
642;Abitibi-Ouest;2022-10-03;G;Normétal, m;1;;3;295;57;3;2;31;28;18;139;3
642;Abitibi-Ouest;2022-10-03;G;Clermont, ct;1;;4;369;79;0;3;34;36;33;185;3
642;Abitibi-Ouest;2022-10-03;G;Val-Saint-Gilles, m;1;;5;144;22;1;3;19;11;6;62;2
642;Abitibi-Ouest;2022-10-03;G;Chazel, m;1;;6;210;57;0;5;22;13;30;127;0
642;Abitibi-Ouest;2022-10-03;G;Rivière-Ojima, no;1;Regr. BVO-6;7;25;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;Rivière-Ojima, no;1;Regr. BVO-49;8;34;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;Authier-Nord, m;1;;9;248;47;1;0;36;20;26;130;3
642;Abitibi-Ouest;2022-10-03;G;Authier, m;1;;10;211;68;1;0;26;13;12;120;2
642;Abitibi-Ouest;2022-10-03;G;Macamic, v;1;;11;359;77;3;8;36;12;14;150;3
642;Abitibi-Ouest;2022-10-03;G;Macamic, v;1;;12;396;70;2;5;32;31;16;156;3
642;Abitibi-Ouest;2022-10-03;G;Macamic, v;1;;13;383;53;0;3;36;28;15;135;2
642;Abitibi-Ouest;2022-10-03;G;Macamic, v;1;;14;365;51;5;9;45;26;6;142;0
642;Abitibi-Ouest;2022-10-03;G;Macamic, v;2;;15;257;68;1;7;42;26;15;159;4
642;Abitibi-Ouest;2022-10-03;G;Macamic, v;2;;16;259;56;3;1;36;34;13;143;2
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;1;;17;377;53;0;4;25;23;13;118;3
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;1;;18;386;88;0;4;44;25;18;179;1
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;1;;19;373;62;3;4;35;21;8;133;1
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;1;;20;387;47;2;6;35;40;24;154;2
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;1;;21;418;57;0;3;30;38;21;149;2
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;1;;22;373;61;0;4;31;26;12;134;3
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;1;;23;410;72;2;7;30;22;12;145;1
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;2;;24;385;65;1;7;46;24;9;152;0
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;2;;25;381;62;2;7;43;49;17;180;0
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;2;;26;406;55;0;3;43;41;15;157;2
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;2;;27;362;73;0;5;33;32;20;163;5
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;2;;28;372;51;0;7;31;26;16;131;3
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;2;;29;364;42;0;8;30;39;21;140;5
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;2;;30;380;57;0;6;65;49;17;194;1
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;2;;31;366;60;1;8;44;36;19;168;1
642;Abitibi-Ouest;2022-10-03;G;Dupuy, m;1;;32;365;81;1;6;41;33;13;175;4
642;Abitibi-Ouest;2022-10-03;G;Dupuy, m;1;;33;347;64;3;8;34;39;24;172;0
642;Abitibi-Ouest;2022-10-03;G;La Reine, m;1;;34;243;54;0;11;39;29;7;140;1
642;Abitibi-Ouest;2022-10-03;G;Clerval, m;1;;35;285;73;0;4;42;28;12;159;1
642;Abitibi-Ouest;2022-10-03;G;Sainte-Hélène-de-Mancebourg, p;1;;36;289;70;0;5;53;26;17;171;1
642;Abitibi-Ouest;2022-10-03;G;Roquemaure, m;1;;37;296;67;1;5;44;38;31;186;2
642;Abitibi-Ouest;2022-10-03;G;Gallichan, m;1;;38;379;71;0;5;32;30;31;169;5
642;Abitibi-Ouest;2022-10-03;G;Palmarolle, m;1;;39;375;79;2;4;42;31;21;179;2
642;Abitibi-Ouest;2022-10-03;G;Palmarolle, m;1;;40;365;61;0;4;47;46;11;169;2
642;Abitibi-Ouest;2022-10-03;G;Palmarolle, m;1;;41;357;79;2;10;49;36;13;189;3
642;Abitibi-Ouest;2022-10-03;G;Duparquet, v;1;;42;286;81;3;8;27;25;25;169;2
642;Abitibi-Ouest;2022-10-03;G;Duparquet, v;1;;43;290;75;5;11;31;27;23;172;3
642;Abitibi-Ouest;2022-10-03;G;Rapide-Danseur, m;1;;44;280;39;1;7;56;29;30;162;1
642;Abitibi-Ouest;2022-10-03;G;Sainte-Germaine-Boulé, m;1;;45;336;70;1;2;53;46;19;191;3
642;Abitibi-Ouest;2022-10-03;G;Sainte-Germaine-Boulé, m;1;;46;341;96;0;7;53;40;13;209;4
642;Abitibi-Ouest;2022-10-03;G;Poularies, m;1;;47;238;51;1;5;36;15;17;125;2
642;Abitibi-Ouest;2022-10-03;G;Poularies, m;1;;48;249;45;1;3;48;15;14;126;3
642;Abitibi-Ouest;2022-10-03;G;Taschereau, m;1;;49;364;60;3;2;36;20;20;141;2
642;Abitibi-Ouest;2022-10-03;G;Taschereau, m;1;;50;361;47;2;5;26;25;27;132;1
642;Abitibi-Ouest;2022-10-03;G;Lac-Chicobi, no;1;;51;115;29;1;1;15;10;4;60;1
642;Abitibi-Ouest;2022-10-03;G;Berry, m;1;;52;207;48;2;5;20;10;13;98;2
642;Abitibi-Ouest;2022-10-03;G;Berry, m;1;;53;222;58;1;1;20;15;10;105;2
642;Abitibi-Ouest;2022-10-03;G;Trécesson, ct;1;;54;320;76;0;15;28;14;22;155;3
642;Abitibi-Ouest;2022-10-03;G;Trécesson, ct;1;;55;329;72;0;20;25;19;15;151;1
642;Abitibi-Ouest;2022-10-03;G;Trécesson, ct;1;;56;319;61;3;8;36;26;26;160;6
642;Abitibi-Ouest;2022-10-03;G;Launay, ct;1;;57;169;53;1;6;26;13;4;103;3
642;Abitibi-Ouest;2022-10-03;G;Sainte-Gertrude-Manneville, m;1;;58;283;46;3;5;31;9;20;114;1
642;Abitibi-Ouest;2022-10-03;G;Sainte-Gertrude-Manneville, m;1;;59;289;52;0;7;31;22;26;138;2
642;Abitibi-Ouest;2022-10-03;G;Preissac, m;1;;60;408;83;5;5;30;24;66;213;7
642;Abitibi-Ouest;2022-10-03;G;Preissac, m;2;;61;372;118;2;6;38;18;31;213;3
642;Abitibi-Ouest;2022-10-03;G;La Motte, m;1;;62;391;65;3;20;44;28;25;185;5
642;Abitibi-Ouest;2022-10-03;G;Saint-Mathieu-d'Harricana, m;1;;63;291;71;0;22;23;46;23;185;5
642;Abitibi-Ouest;2022-10-03;G;Saint-Mathieu-d'Harricana, m;1;;64;303;93;1;10;30;19;12;165;5
642;Abitibi-Ouest;2022-10-03;G;Amos, v;1;;65;349;63;0;7;30;18;15;133;2
642;Abitibi-Ouest;2022-10-03;G;Amos, v;1;;66;353;71;1;9;27;26;10;144;1
642;Abitibi-Ouest;2022-10-03;G;Amos, v;1;;67;350;50;1;10;29;26;12;128;1
642;Abitibi-Ouest;2022-10-03;G;Amos, v;1;;68;343;33;1;4;19;35;10;102;3
642;Abitibi-Ouest;2022-10-03;G;Amos, v;1;;69;354;49;0;9;28;21;12;119;0
642;Abitibi-Ouest;2022-10-03;G;Amos, v;1;;70;369;56;1;3;25;21;22;128;1
642;Abitibi-Ouest;2022-10-03;G;Amos, v;1;;71;339;54;1;4;25;27;19;130;4
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;;72;341;58;1;12;27;25;14;137;1
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;;73;375;61;0;4;26;30;1;122;6
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;;74;341;43;0;10;33;32;10;128;0
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;;75;353;38;2;4;21;16;12;93;4
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;;76;356;44;3;9;22;20;14;112;3
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;;77;358;46;1;5;25;15;13;105;1
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;;78;356;64;1;8;16;26;15;130;5
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;;79;335;41;3;6;32;26;15;123;1
642;Abitibi-Ouest;2022-10-03;G;Amos, v;3;;80;353;74;0;12;47;22;13;168;2
642;Abitibi-Ouest;2022-10-03;G;Amos, v;3;;81;344;67;0;10;29;16;10;132;1
642;Abitibi-Ouest;2022-10-03;G;Amos, v;3;;82;323;60;1;4;23;23;9;120;2
642;Abitibi-Ouest;2022-10-03;G;Amos, v;3;;83;358;58;1;7;21;26;12;125;4
642;Abitibi-Ouest;2022-10-03;G;Amos, v;3;;84;335;50;2;8;24;24;7;115;2
642;Abitibi-Ouest;2022-10-03;G;Amos, v;3;;85;338;60;0;6;26;34;10;136;3
642;Abitibi-Ouest;2022-10-03;G;Amos, v;4;;86;371;42;1;8;56;36;10;153;0
642;Abitibi-Ouest;2022-10-03;G;Amos, v;4;;87;365;60;0;7;26;30;12;135;3
642;Abitibi-Ouest;2022-10-03;G;Amos, v;4;;88;356;70;1;4;24;19;10;128;0
642;Abitibi-Ouest;2022-10-03;G;Amos, v;4;;89;360;61;0;4;46;20;7;138;3
642;Abitibi-Ouest;2022-10-03;G;Amos, v;4;;90;364;56;1;11;40;34;14;156;4
642;Abitibi-Ouest;2022-10-03;G;Amos, v;4;;91;364;74;0;12;27;23;9;145;1
642;Abitibi-Ouest;2022-10-03;G;Pikogan, r;1;;92;379;21;0;27;1;39;9;97;0
642;Abitibi-Ouest;2022-10-03;G;Saint-Félix-de-Dalquier, m;1;;93;366;78;2;12;27;29;21;169;1
642;Abitibi-Ouest;2022-10-03;G;Saint-Félix-de-Dalquier, m;1;;94;377;94;5;3;30;25;26;183;4
642;Abitibi-Ouest;2022-10-03;G;Saint-Dominique-du-Rosaire, m;1;;95;341;82;4;8;33;18;20;165;6
642;Abitibi-Ouest;2022-10-03;G;La Morandière, m;1;;96;168;46;0;4;20;7;13;90;1
642;Abitibi-Ouest;2022-10-03;G;Landrienne, ct;1;;97;386;89;1;13;52;24;24;203;5
642;Abitibi-Ouest;2022-10-03;G;Landrienne, ct;1;;98;388;85;4;13;38;37;28;205;2
642;Abitibi-Ouest;2022-10-03;G;Saint-Marc-de-Figuery, p;1;;99;361;88;3;10;40;26;12;179;5
642;Abitibi-Ouest;2022-10-03;G;Saint-Marc-de-Figuery, p;1;;100;355;76;2;19;29;23;15;164;0
642;Abitibi-Ouest;2022-10-03;G;La Corne, m;1;;101;326;62;0;9;51;19;12;153;0
642;Abitibi-Ouest;2022-10-03;G;La Corne, m;1;;102;332;67;2;7;26;25;32;159;4
642;Abitibi-Ouest;2022-10-03;G;Barraute, m;1;;103;390;100;0;15;30;20;29;194;1
642;Abitibi-Ouest;2022-10-03;G;Barraute, m;1;;104;372;78;2;4;29;20;22;155;2
642;Abitibi-Ouest;2022-10-03;G;Barraute, m;1;;105;386;75;2;8;24;21;21;151;5
642;Abitibi-Ouest;2022-10-03;G;Barraute, m;1;;106;397;79;0;7;27;29;35;177;2
642;Abitibi-Ouest;2022-10-03;G;Champneuf, m;1;;107;91;24;0;0;12;3;13;52;1
642;Abitibi-Ouest;2022-10-03;G;Rochebaucourt, m;1;;108;125;22;1;1;15;6;13;58;2
642;Abitibi-Ouest;2022-10-03;G;Lac-Despinassy, no;1;Regr. BVO-108;109;17;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;Macamic, v;1;Regr. BVO-11;500;45;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;La Sarre, v;1;Regr. BVO-27;501;203;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;Amos, v;1;Regr. BVO-71;502;196;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;Regr. BVO-82;503;64;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;Amos, v;2;Regr. BVO-84;504;26;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;BVA1: SV no 1 à 3, 32 à 35;;;;0;109;1;7;33;17;19;186;1
642;Abitibi-Ouest;2022-10-03;G;BVA2: SV no 9 à 13;;;;0;137;0;12;46;20;19;234;1
642;Abitibi-Ouest;2022-10-03;G;BVA3: SV no 14 à 16, 47 à 48;;;;0;94;1;7;27;13;16;158;0
642;Abitibi-Ouest;2022-10-03;G;BVA4: SV no 36, 39 à 41, 45 à 46;;;;0;127;1;10;50;46;14;248;0
642;Abitibi-Ouest;2022-10-03;G;BVA5: SV no 8, 49 à 51, 57;;;;0;81;2;5;22;13;12;135;0
642;Abitibi-Ouest;2022-10-03;G;BVA6: SV no 37 à 38, 42 à 44;;;;0;69;0;8;45;29;21;172;2
642;Abitibi-Ouest;2022-10-03;G;BVA7: SV no 4, 17 à 18, 24 à 26;;;;0;224;2;19;85;71;41;442;6
642;Abitibi-Ouest;2022-10-03;G;BVA8: SV no 5, 7, 20 à 21, 27 à 29;;;;0;219;0;20;82;60;30;411;4
642;Abitibi-Ouest;2022-10-03;G;BVA9: SV no 6, 19, 22 à 23, 30 à 31;;;;0;208;1;11;82;61;17;380;3
642;Abitibi-Ouest;2022-10-03;G;BVA10: SV no 58 à 61;;;;0;102;1;10;30;14;11;168;0
642;Abitibi-Ouest;2022-10-03;G;BVA11: SV no 62;;;;0;20;0;8;18;7;4;57;0
642;Abitibi-Ouest;2022-10-03;G;BVA12: SV no 96, 107 à 109;;;;0;26;0;7;9;7;8;57;0
642;Abitibi-Ouest;2022-10-03;G;BVA13: SV no 101 à 102;;;;0;42;0;4;16;10;7;79;0
642;Abitibi-Ouest;2022-10-03;G;BVA14: SV no 103 à 106;;;;0;203;1;10;45;12;32;303;1
642;Abitibi-Ouest;2022-10-03;G;BVA15: SV no 52, 72 à 74, 77 à 78;;;;0;217;0;33;47;45;12;354;2
642;Abitibi-Ouest;2022-10-03;G;BVA16: SV no 53, 75 à 76, 79 à 82;;;;0;259;0;33;52;43;15;402;6
642;Abitibi-Ouest;2022-10-03;G;BVA17: SV no 83 à 88;;;;0;314;1;38;97;68;29;547;9
642;Abitibi-Ouest;2022-10-03;G;BVA18: SV no 89 à 90, 92 à 95;;;;0;160;1;12;34;27;18;252;3
642;Abitibi-Ouest;2022-10-03;G;BVA19: SV no 65 à 66, 97 à 100;;;;0;168;3;23;55;37;28;314;4
642;Abitibi-Ouest;2022-10-03;G;BVA20: SV no 54 à 56, 63 à 64, 91;;;;0;178;0;22;57;35;21;313;2
642;Abitibi-Ouest;2022-10-03;G;BVA21: SV no 67 à 71;;;;0;243;0;36;68;40;24;411;3
642;Abitibi-Ouest;2022-10-03;G;Vote en installation d'hébergement;;;;0;244;2;33;16;8;16;319;10
642;Abitibi-Ouest;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;33;3;3;7;2;1;49;2
642;Abitibi-Ouest;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;272;5;33;108;59;39;516;2
642;Abitibi-Ouest;2022-10-03;G;Vote hors circonscription;;;;0;69;1;18;52;177;31;348;11
642;Abitibi-Ouest;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;12;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;16;0;0;0;0;0;0;0;0
642;Abitibi-Ouest;2022-10-03;G;Total de la circonscription;;;;35424;10399;159;1153;4619;3623;2293;22246;319
642;Abitibi-Ouest;2022-10-03;G;Majorité en faveur de Suzanne Blais : 5780;;;;;;;;;;;;
