S;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Al Nseir Roula P.V.Q./G.P.Q.;Gentile Stéphanie P.C.Q-E.E.D.;Lecours Véronique P.Q.;Lévesque Elyse Q.S.;Morin André A. P.L.Q./Q.L.P.;Otoya Celis Rosmeri C.A.Q.-E.F.L.;B.V.;B.R.
338;Acadie;2022-10-03;G;Montréal, v;225;;1;380;6;31;8;13;95;31;184;3
338;Acadie;2022-10-03;G;Montréal, v;225;;2;374;4;18;2;7;75;14;120;2
338;Acadie;2022-10-03;G;Montréal, v;225;;3;382;2;28;5;8;90;7;140;0
338;Acadie;2022-10-03;G;Montréal, v;225;;4;381;3;9;8;11;47;23;101;1
338;Acadie;2022-10-03;G;Montréal, v;225;;5;386;5;44;6;26;112;9;202;7
338;Acadie;2022-10-03;G;Montréal, v;225;;6;387;5;18;28;30;89;35;205;1
338;Acadie;2022-10-03;G;Montréal, v;225;;7;379;7;11;30;39;65;36;188;0
338;Acadie;2022-10-03;G;Montréal, v;225;;8;388;2;10;15;35;77;11;150;5
338;Acadie;2022-10-03;G;Montréal, v;225;;9;381;7;7;7;17;78;12;128;2
338;Acadie;2022-10-03;G;Montréal, v;225;;10;386;3;38;10;22;110;28;211;5
338;Acadie;2022-10-03;G;Montréal, v;225;;11;383;7;16;10;13;103;12;161;3
338;Acadie;2022-10-03;G;Montréal, v;225;;12;390;3;23;3;6;61;19;115;3
338;Acadie;2022-10-03;G;Montréal, v;225;;13;362;5;16;14;10;75;13;133;3
338;Acadie;2022-10-03;G;Montréal, v;225;;14;395;3;24;7;19;94;19;166;4
338;Acadie;2022-10-03;G;Montréal, v;225;;15;402;6;19;13;29;80;11;158;1
338;Acadie;2022-10-03;G;Montréal, v;225;;16;390;5;16;14;30;59;16;140;1
338;Acadie;2022-10-03;G;Montréal, v;225;;17;382;6;13;22;22;73;20;156;3
338;Acadie;2022-10-03;G;Montréal, v;226;;18;349;3;16;3;18;45;14;99;0
338;Acadie;2022-10-03;G;Montréal, v;227;;19;382;7;15;7;5;46;19;99;5
338;Acadie;2022-10-03;G;Montréal, v;227;;20;378;5;26;6;13;76;24;150;5
338;Acadie;2022-10-03;G;Montréal, v;227;;21;375;5;21;7;6;85;32;156;3
338;Acadie;2022-10-03;G;Montréal, v;227;;22;402;5;27;1;15;51;19;118;5
338;Acadie;2022-10-03;G;Montréal, v;227;;23;394;5;35;5;16;77;35;173;0
338;Acadie;2022-10-03;G;Montréal, v;227;;24;417;7;17;10;9;73;30;146;1
338;Acadie;2022-10-03;G;Montréal, v;227;;25;390;1;18;6;7;56;27;115;8
338;Acadie;2022-10-03;G;Montréal, v;227;;26;409;4;21;9;13;55;35;137;0
338;Acadie;2022-10-03;G;Montréal, v;228;;27;356;7;38;7;29;89;18;188;2
338;Acadie;2022-10-03;G;Montréal, v;228;;28;342;6;14;16;30;101;15;182;1
338;Acadie;2022-10-03;G;Montréal, v;228;;29;353;2;17;1;15;83;14;132;3
338;Acadie;2022-10-03;G;Montréal, v;229;;30;386;10;20;2;14;57;11;114;0
338;Acadie;2022-10-03;G;Montréal, v;229;;31;408;1;12;6;4;64;16;103;4
338;Acadie;2022-10-03;G;Montréal, v;229;;32;416;3;28;4;9;55;29;128;2
338;Acadie;2022-10-03;G;Montréal, v;229;;33;404;1;18;5;10;56;22;112;3
338;Acadie;2022-10-03;G;Montréal, v;229;;34;406;2;14;2;5;59;14;96;3
338;Acadie;2022-10-03;G;Montréal, v;229;;35;413;5;20;8;19;66;17;135;4
338;Acadie;2022-10-03;G;Montréal, v;229;;36;403;3;23;2;21;83;7;139;2
338;Acadie;2022-10-03;G;Montréal, v;229;;37;403;8;18;5;15;100;17;163;6
338;Acadie;2022-10-03;G;Montréal, v;229;;38;414;1;15;1;19;67;10;113;2
338;Acadie;2022-10-03;G;Montréal, v;229;;39;415;7;36;6;15;76;9;149;3
338;Acadie;2022-10-03;G;Montréal, v;229;;40;405;3;22;4;13;99;15;156;3
338;Acadie;2022-10-03;G;Montréal, v;229;;41;425;3;27;4;23;68;21;146;2
338;Acadie;2022-10-03;G;Montréal, v;229;;42;402;5;16;4;18;60;9;112;5
338;Acadie;2022-10-03;G;Montréal, v;229;;43;385;2;17;2;38;71;8;138;2
338;Acadie;2022-10-03;G;Montréal, v;229;;44;382;5;12;2;11;64;15;109;3
338;Acadie;2022-10-03;G;Montréal, v;229;;45;409;4;21;3;25;80;7;140;2
338;Acadie;2022-10-03;G;Montréal, v;229;;46;409;2;16;5;29;71;18;141;2
338;Acadie;2022-10-03;G;Montréal, v;229;;47;407;4;19;5;8;57;14;107;3
338;Acadie;2022-10-03;G;Montréal, v;230;;48;416;7;16;3;8;68;18;120;1
338;Acadie;2022-10-03;G;Montréal, v;230;;49;416;11;17;1;9;54;19;111;3
338;Acadie;2022-10-03;G;Montréal, v;230;;50;401;1;23;2;16;72;14;128;3
338;Acadie;2022-10-03;G;Montréal, v;230;;51;385;2;12;1;15;86;22;138;3
338;Acadie;2022-10-03;G;Montréal, v;230;;52;409;0;26;3;18;97;18;162;5
338;Acadie;2022-10-03;G;Montréal, v;230;;53A;206;3;14;3;4;20;8;52;1
338;Acadie;2022-10-03;G;Montréal, v;230;;53B;231;0;14;9;13;30;10;76;2
338;Acadie;2022-10-03;G;Montréal, v;230;;54;412;3;14;1;12;73;18;121;2
338;Acadie;2022-10-03;G;Montréal, v;230;;55;415;5;20;6;21;67;18;137;4
338;Acadie;2022-10-03;G;Montréal, v;230;;56;399;5;22;19;19;70;35;170;3
338;Acadie;2022-10-03;G;Montréal, v;231;;57;384;0;27;5;11;72;23;138;2
338;Acadie;2022-10-03;G;Montréal, v;231;;58;381;2;25;9;24;53;20;133;4
338;Acadie;2022-10-03;G;Montréal, v;231;;59;398;7;23;6;20;43;14;113;3
338;Acadie;2022-10-03;G;Montréal, v;231;;60;393;3;13;11;21;61;19;128;4
338;Acadie;2022-10-03;G;Montréal, v;231;;61;397;6;22;11;12;47;17;115;1
338;Acadie;2022-10-03;G;Montréal, v;231;;62;401;3;8;11;25;45;14;106;4
338;Acadie;2022-10-03;G;Montréal, v;232;;63;395;1;21;3;25;65;21;136;3
338;Acadie;2022-10-03;G;Montréal, v;232;;64;379;6;18;5;19;82;28;158;1
338;Acadie;2022-10-03;G;Montréal, v;232;;65;399;1;25;5;16;77;20;144;3
338;Acadie;2022-10-03;G;Montréal, v;232;;66;386;3;42;6;8;89;14;162;2
338;Acadie;2022-10-03;G;Montréal, v;232;;67;393;1;16;9;29;63;11;129;2
338;Acadie;2022-10-03;G;Montréal, v;232;;68;367;3;24;4;26;49;16;122;0
338;Acadie;2022-10-03;G;Montréal, v;232;;69;384;2;14;6;15;55;16;108;3
338;Acadie;2022-10-03;G;Montréal, v;232;;70;372;3;23;1;9;69;12;117;2
338;Acadie;2022-10-03;G;Montréal, v;232;;71;388;1;30;8;13;110;10;172;0
338;Acadie;2022-10-03;G;Montréal, v;232;;72;395;7;37;3;16;104;13;180;1
338;Acadie;2022-10-03;G;Montréal, v;232;;73;396;3;50;1;9;81;12;156;3
338;Acadie;2022-10-03;G;Montréal, v;232;;74;380;4;31;2;7;94;9;147;1
338;Acadie;2022-10-03;G;Montréal, v;232;;75;393;2;27;6;21;92;23;171;0
338;Acadie;2022-10-03;G;Montréal, v;232;;76;388;2;29;13;24;74;19;161;1
338;Acadie;2022-10-03;G;Montréal, v;232;;77;394;4;32;8;14;79;15;152;4
338;Acadie;2022-10-03;G;Montréal, v;232;;78;377;0;25;1;11;66;12;115;1
338;Acadie;2022-10-03;G;Montréal, v;232;;79;380;1;31;2;20;84;15;153;1
338;Acadie;2022-10-03;G;Montréal, v;232;;80;377;3;25;17;22;48;32;147;3
338;Acadie;2022-10-03;G;Montréal, v;232;;81;382;3;16;8;29;76;29;161;6
338;Acadie;2022-10-03;G;Montréal, v;232;;82;393;2;22;22;36;60;23;165;3
338;Acadie;2022-10-03;G;Montréal, v;232;;83;377;3;17;18;18;59;22;137;5
338;Acadie;2022-10-03;G;Montréal, v;233;;84;396;9;14;32;45;58;41;199;5
338;Acadie;2022-10-03;G;Montréal, v;233;;85;373;2;23;8;16;68;33;150;4
338;Acadie;2022-10-03;G;Montréal, v;233;;86;373;3;21;9;18;53;17;121;3
338;Acadie;2022-10-03;G;Montréal, v;233;;87;372;6;30;4;16;78;17;151;4
338;Acadie;2022-10-03;G;Montréal, v;233;;88;386;4;22;13;13;80;33;165;1
338;Acadie;2022-10-03;G;Montréal, v;233;;89;368;1;31;7;21;66;13;139;2
338;Acadie;2022-10-03;G;Montréal, v;233;;90;376;1;26;14;25;60;21;147;2
338;Acadie;2022-10-03;G;Montréal, v;233;;91;371;0;14;24;38;51;39;166;2
338;Acadie;2022-10-03;G;Montréal, v;233;;92;370;1;18;28;53;54;25;179;3
338;Acadie;2022-10-03;G;Montréal, v;234;;93;278;5;12;17;48;34;22;138;2
338;Acadie;2022-10-03;G;Montréal, v;234;;94;275;4;9;14;29;35;23;114;2
338;Acadie;2022-10-03;G;Montréal, v;234;;95;297;1;14;32;22;35;20;124;2
338;Acadie;2022-10-03;G;Montréal, v;235;;96;334;0;5;35;38;21;27;126;0
338;Acadie;2022-10-03;G;Montréal, v;235;;97;347;3;11;53;46;29;41;183;0
338;Acadie;2022-10-03;G;Montréal, v;235;;98;349;1;11;50;59;40;36;197;0
338;Acadie;2022-10-03;G;Montréal, v;235;;99;337;5;15;32;64;23;34;173;1
338;Acadie;2022-10-03;G;Montréal, v;235;;100;335;1;5;41;77;26;29;179;0
338;Acadie;2022-10-03;G;Montréal, v;235;;101;345;3;6;64;69;26;26;194;3
338;Acadie;2022-10-03;G;Montréal, v;236;;102;398;3;10;43;58;39;38;191;2
338;Acadie;2022-10-03;G;Montréal, v;236;;103;384;2;8;58;83;41;52;244;2
338;Acadie;2022-10-03;G;Montréal, v;236;;104;429;1;8;29;89;57;29;213;2
338;Acadie;2022-10-03;G;Montréal, v;236;;105;401;3;10;12;63;45;20;153;4
338;Acadie;2022-10-03;G;Montréal, v;236;;106;382;4;14;48;62;34;34;196;2
338;Acadie;2022-10-03;G;Montréal, v;236;;107;392;3;16;37;61;54;20;191;0
338;Acadie;2022-10-03;G;Montréal, v;236;;108;389;6;6;57;84;46;36;235;0
338;Acadie;2022-10-03;G;Montréal, v;236;;109;391;5;12;43;74;30;58;222;1
338;Acadie;2022-10-03;G;Montréal, v;236;;110;399;1;8;44;78;25;40;196;2
338;Acadie;2022-10-03;G;Montréal, v;236;;111;397;6;20;30;53;52;31;192;0
338;Acadie;2022-10-03;G;Montréal, v;236;;112;388;5;7;5;26;102;19;164;2
338;Acadie;2022-10-03;G;Montréal, v;236;;113;391;4;11;41;52;50;45;203;2
338;Acadie;2022-10-03;G;Montréal, v;236;;114;388;5;12;22;26;72;41;178;3
338;Acadie;2022-10-03;G;Montréal, v;236;;115;400;3;12;32;70;60;45;222;1
338;Acadie;2022-10-03;G;Montréal, v;237;;116;359;6;18;6;13;86;9;138;6
338;Acadie;2022-10-03;G;Montréal, v;237;;117;358;3;15;4;23;92;25;162;2
338;Acadie;2022-10-03;G;Montréal, v;237;;118;352;4;18;10;27;103;10;172;3
338;Acadie;2022-10-03;G;Montréal, v;237;;119;366;4;21;2;32;120;21;200;3
338;Acadie;2022-10-03;G;Montréal, v;237;;120;364;2;28;5;22;102;27;186;2
338;Acadie;2022-10-03;G;Montréal, v;237;;121;349;5;16;17;30;77;26;171;3
338;Acadie;2022-10-03;G;Montréal, v;238;;122;336;2;21;11;38;72;21;165;0
338;Acadie;2022-10-03;G;Montréal, v;238;;123;352;7;22;10;50;69;27;185;3
338;Acadie;2022-10-03;G;Montréal, v;238;;124;346;4;24;11;31;83;18;171;2
338;Acadie;2022-10-03;G;Montréal, v;238;;125;359;3;21;8;31;88;25;176;4
338;Acadie;2022-10-03;G;Montréal, v;238;;126;343;1;18;19;43;33;24;138;1
338;Acadie;2022-10-03;G;Montréal, v;225;Regr. BVO-15;500;117;0;0;0;0;0;0;0;0
338;Acadie;2022-10-03;G;Montréal, v;225;Regr. BVO-16;501;52;0;0;0;0;0;0;0;0
338;Acadie;2022-10-03;G;Montréal, v;225;Regr. BVO-17;502;116;0;0;0;0;0;0;0;0
