Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alvarez Luis P.V.Q./G.P.Q.;Elayoubi Karim P.C.Q-E.E.D.;Girard François P.Q.;Grondin Agnès C.A.Q.-E.F.L.;Lachaine Marcel Q.S.;Lalonde Jean P.C.Q./C.P.Q;LeBel Philippe P.L.Q./Q.L.P.;Milot Marie-Eve D.D.;B.V.;B.R.
520;Argenteuil;2022-10-03;G;Lachute, v;1;;1;412;3;29;24;65;21;2;18;1;163;4
520;Argenteuil;2022-10-03;G;Lachute, v;1;;2;411;2;36;22;54;14;1;21;1;151;2
520;Argenteuil;2022-10-03;G;Lachute, v;1;;3A;225;0;15;14;39;10;0;8;1;87;0
520;Argenteuil;2022-10-03;G;Lachute, v;1;;3B;213;0;20;14;37;6;0;17;0;94;3
520;Argenteuil;2022-10-03;G;Lachute, v;2;;4A;240;2;18;14;40;14;1;5;0;94;0
520;Argenteuil;2022-10-03;G;Lachute, v;2;;4B;205;1;10;8;22;10;1;7;1;60;1
520;Argenteuil;2022-10-03;G;Lachute, v;2;;5;412;3;25;26;50;16;0;8;0;128;5
520;Argenteuil;2022-10-03;G;Lachute, v;2;;6;370;2;14;22;50;12;2;21;1;124;1
520;Argenteuil;2022-10-03;G;Lachute, v;2;;7;374;1;22;17;43;19;3;16;0;121;2
520;Argenteuil;2022-10-03;G;Lachute, v;2;;8;357;1;35;17;41;14;2;21;1;132;0
520;Argenteuil;2022-10-03;G;Lachute, v;2;;9A;249;4;19;18;40;9;0;18;0;108;0
520;Argenteuil;2022-10-03;G;Lachute, v;2;;9B;252;1;23;19;38;14;2;10;0;107;0
520;Argenteuil;2022-10-03;G;Lachute, v;2;;10;376;1;33;31;53;11;0;19;0;148;0
520;Argenteuil;2022-10-03;G;Lachute, v;2;;11;379;2;29;30;66;9;2;16;0;154;0
520;Argenteuil;2022-10-03;G;Lachute, v;3;;12A;224;1;19;11;24;21;1;3;0;80;1
520;Argenteuil;2022-10-03;G;Lachute, v;3;;12B;231;3;19;14;36;8;2;4;0;86;0
520;Argenteuil;2022-10-03;G;Lachute, v;3;;13A;286;0;27;19;42;26;0;6;2;122;1
520;Argenteuil;2022-10-03;G;Lachute, v;3;;13B;292;3;17;17;43;11;1;4;0;96;0
520;Argenteuil;2022-10-03;G;Lachute, v;3;;14;389;3;22;18;65;7;0;21;1;137;2
520;Argenteuil;2022-10-03;G;Lachute, v;3;;15;388;1;31;19;69;6;0;8;0;134;3
520;Argenteuil;2022-10-03;G;Lachute, v;3;;16;375;2;27;14;50;10;0;12;0;115;7
520;Argenteuil;2022-10-03;G;Lachute, v;3;;17;395;3;18;26;76;24;1;5;0;153;5
520;Argenteuil;2022-10-03;G;Lachute, v;3;;18;391;1;24;30;51;19;0;13;2;140;3
520;Argenteuil;2022-10-03;G;Lachute, v;3;;19;388;0;37;33;59;10;0;14;0;153;3
520;Argenteuil;2022-10-03;G;Lachute, v;4;;20;383;3;18;12;54;8;2;8;3;108;8
520;Argenteuil;2022-10-03;G;Lachute, v;4;;21;379;0;27;19;58;20;0;6;2;132;0
520;Argenteuil;2022-10-03;G;Lachute, v;4;;22;403;0;18;16;53;5;1;6;1;100;3
520;Argenteuil;2022-10-03;G;Lachute, v;4;;23;384;1;17;21;73;14;4;13;2;145;4
520;Argenteuil;2022-10-03;G;Lachute, v;4;;24;382;2;25;25;81;17;0;11;1;162;3
520;Argenteuil;2022-10-03;G;Lachute, v;4;;25;404;1;15;17;96;20;2;7;0;158;2
520;Argenteuil;2022-10-03;G;Lachute, v;4;;26;422;0;25;25;83;23;1;5;0;162;2
520;Argenteuil;2022-10-03;G;Lachute, v;4;;27;396;1;22;38;88;10;1;21;2;183;1
520;Argenteuil;2022-10-03;G;Lachute, v;4;;28A;236;0;12;17;30;12;0;2;0;73;2
520;Argenteuil;2022-10-03;G;Lachute, v;4;;28B;204;1;14;12;22;7;0;7;0;63;0
520;Argenteuil;2022-10-03;G;Saint-André-d'Argenteuil, m;1;;29;352;8;28;22;65;13;1;17;1;155;4
520;Argenteuil;2022-10-03;G;Saint-André-d'Argenteuil, m;1;;30;375;1;37;22;74;20;1;21;1;177;1
520;Argenteuil;2022-10-03;G;Saint-André-d'Argenteuil, m;1;;31;371;2;44;36;85;18;3;18;1;207;4
520;Argenteuil;2022-10-03;G;Saint-André-d'Argenteuil, m;1;;32;348;3;36;23;77;12;1;7;1;160;7
520;Argenteuil;2022-10-03;G;Saint-André-d'Argenteuil, m;1;;33;356;1;29;36;71;11;1;14;1;164;10
520;Argenteuil;2022-10-03;G;Saint-André-d'Argenteuil, m;1;;34;362;1;18;22;98;23;2;13;0;177;3
520;Argenteuil;2022-10-03;G;Saint-André-d'Argenteuil, m;1;;35;349;1;27;37;84;10;1;7;0;167;3
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;1;;36;385;3;25;13;44;14;9;19;1;128;2
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;1;;37;390;0;58;18;49;13;0;10;0;148;1
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;1;;38;397;2;31;26;41;14;6;12;1;133;1
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;1;;39;418;3;20;29;73;12;1;15;1;154;1
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;1;;40;397;1;31;17;67;19;3;17;0;155;1
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;1;;41;407;2;28;19;48;17;3;29;1;147;6
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;1;;42;386;4;44;26;53;13;5;24;2;171;4
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;1;;43;392;0;26;23;65;14;1;13;0;142;5
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;1;;44;403;4;24;20;58;15;2;15;1;139;0
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;2;;45;400;2;40;24;57;16;3;9;0;151;2
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;2;;46;424;4;34;12;87;15;4;9;2;167;4
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;2;;47;375;2;42;11;58;7;2;11;2;135;4
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;2;;48;390;2;23;18;62;16;2;10;0;133;0
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;2;;49A;242;0;24;6;32;16;0;5;0;83;0
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;2;;49B;245;2;16;20;22;11;0;18;1;90;4
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;2;;50;386;0;39;32;74;12;0;21;1;179;0
520;Argenteuil;2022-10-03;G;Grenville, vl;1;;51;373;2;23;17;55;8;0;17;0;122;4
520;Argenteuil;2022-10-03;G;Grenville, vl;1;;52;345;4;39;20;43;8;2;12;2;130;2
520;Argenteuil;2022-10-03;G;Grenville, vl;1;;53;352;4;37;6;59;2;5;14;1;128;0
520;Argenteuil;2022-10-03;G;Grenville, vl;1;;54;364;2;25;11;46;11;1;16;1;113;3
520;Argenteuil;2022-10-03;G;Grenville-sur-la-Rouge, m;1;;55;418;1;29;19;21;13;3;50;0;136;4
520;Argenteuil;2022-10-03;G;Grenville-sur-la-Rouge, m;2;;56;428;1;48;28;59;9;0;28;1;174;2
520;Argenteuil;2022-10-03;G;Grenville-sur-la-Rouge, m;2;;57;382;3;32;9;39;4;4;28;0;119;1
520;Argenteuil;2022-10-03;G;Grenville-sur-la-Rouge, m;2;;58;396;2;33;13;40;7;3;20;2;120;1
520;Argenteuil;2022-10-03;G;Grenville-sur-la-Rouge, m;2;;59;395;5;30;13;64;14;1;16;2;145;4
520;Argenteuil;2022-10-03;G;Grenville-sur-la-Rouge, m;2;;60;380;4;32;32;80;10;3;21;3;185;1
520;Argenteuil;2022-10-03;G;Harrington, ct;1;;61;376;10;9;32;39;13;10;53;1;167;2
520;Argenteuil;2022-10-03;G;Harrington, ct;2;;62;407;4;25;25;39;14;15;65;1;188;2
520;Argenteuil;2022-10-03;G;Arundel, ct;1;;63;244;3;9;9;14;18;7;31;0;91;1
520;Argenteuil;2022-10-03;G;Arundel, ct;1;;64;222;5;12;14;23;12;5;25;0;96;1
520;Argenteuil;2022-10-03;G;Barkmere, v;1;Regr. BVO-64;65;57;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;Montcalm, m;1;;66;277;2;16;9;34;2;4;20;0;87;0
520;Argenteuil;2022-10-03;G;Montcalm, m;1;;67;262;1;8;18;31;7;0;15;0;80;2
520;Argenteuil;2022-10-03;G;Lac-des-Seize-Îles, m;1;;68;121;0;10;11;43;3;2;3;1;73;1
520;Argenteuil;2022-10-03;G;Lac-des-Seize-Îles, m;2;Regr. BVO-93;69;47;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;Saint-Adolphe-d'Howard, m;1;;70;401;2;25;23;55;29;0;11;0;145;2
520;Argenteuil;2022-10-03;G;Saint-Adolphe-d'Howard, m;1;;71;412;1;19;26;89;26;1;18;1;181;0
520;Argenteuil;2022-10-03;G;Saint-Adolphe-d'Howard, m;1;;72;414;2;16;48;81;34;1;15;0;197;5
520;Argenteuil;2022-10-03;G;Saint-Adolphe-d'Howard, m;1;;73;396;2;16;49;91;24;0;16;1;199;2
520;Argenteuil;2022-10-03;G;Saint-Adolphe-d'Howard, m;1;;74;398;3;26;46;82;29;0;11;1;198;2
520;Argenteuil;2022-10-03;G;Saint-Adolphe-d'Howard, m;1;;75;403;1;17;45;83;30;1;12;0;189;3
520;Argenteuil;2022-10-03;G;Saint-Adolphe-d'Howard, m;1;;76;371;4;13;30;47;21;3;12;0;130;1
520;Argenteuil;2022-10-03;G;Saint-Adolphe-d'Howard, m;1;;77;398;2;14;33;74;23;1;22;0;169;2
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;78;408;1;19;26;44;29;7;23;1;150;1
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;79;413;8;27;21;49;22;5;28;0;160;2
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;80;406;2;9;28;56;24;5;15;0;139;1
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;81;396;4;14;33;63;24;0;14;0;152;1
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;82;391;2;21;25;50;23;9;14;0;144;1
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;83;408;6;14;24;60;17;1;23;0;145;1
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;84;380;2;18;19;76;8;1;16;0;140;1
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;85A;214;0;9;23;23;10;1;16;0;82;1
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;85B;219;4;2;12;32;13;1;14;0;78;1
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;86;394;4;17;26;50;26;9;13;0;145;1
520;Argenteuil;2022-10-03;G;Morin-Heights, m;1;;87;413;3;19;33;43;22;8;34;1;163;2
520;Argenteuil;2022-10-03;G;Mille-Isles, m;1;;88;349;2;14;35;35;24;2;33;0;145;0
520;Argenteuil;2022-10-03;G;Mille-Isles, m;1;;89;335;3;49;21;33;26;4;38;1;175;4
520;Argenteuil;2022-10-03;G;Mille-Isles, m;1;;90;354;1;14;51;73;16;0;7;1;163;4
520;Argenteuil;2022-10-03;G;Mille-Isles, m;1;;91;352;5;46;34;67;16;2;17;0;187;3
520;Argenteuil;2022-10-03;G;Wentworth-Nord, m;1;;92A;229;6;9;20;30;11;6;18;0;100;4
520;Argenteuil;2022-10-03;G;Wentworth-Nord, m;1;;92B;231;2;15;11;18;10;5;7;1;69;3
520;Argenteuil;2022-10-03;G;Wentworth-Nord, m;1;;93;408;1;34;47;119;26;4;20;0;251;3
520;Argenteuil;2022-10-03;G;Wentworth-Nord, m;1;;94A;219;0;14;11;46;9;0;7;0;87;0
520;Argenteuil;2022-10-03;G;Wentworth-Nord, m;1;;94B;227;0;9;16;41;11;3;12;0;92;3
520;Argenteuil;2022-10-03;G;Wentworth, ct;1;;95;253;1;17;13;38;5;10;49;0;133;0
520;Argenteuil;2022-10-03;G;Wentworth, ct;1;;96;246;5;11;20;48;9;9;40;0;142;3
520;Argenteuil;2022-10-03;G;Gore, ct;1;;97;369;3;31;35;62;14;1;22;0;168;2
520;Argenteuil;2022-10-03;G;Gore, ct;1;;98;389;6;29;38;76;22;4;29;1;205;3
520;Argenteuil;2022-10-03;G;Gore, ct;1;;99;391;3;34;28;62;22;9;28;1;187;3
520;Argenteuil;2022-10-03;G;Gore, ct;1;;100;360;1;31;39;70;24;6;32;1;204;4
520;Argenteuil;2022-10-03;G;Gore, ct;1;;101;376;2;36;39;63;20;9;23;0;192;5
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;1;;102;386;3;16;33;54;31;0;12;2;151;4
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;1;;103;376;1;24;25;57;18;0;14;1;140;0
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;1;;104;394;7;36;40;57;28;1;16;0;185;3
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;1;;105;373;2;25;27;71;22;0;6;1;154;2
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;1;;106;407;3;38;31;40;49;1;5;0;167;7
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;1;;107;362;2;28;22;63;25;2;11;0;153;2
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;1;;108;410;3;32;30;68;25;0;4;1;163;2
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;109;396;3;16;38;70;20;1;9;1;158;2
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;110;386;2;26;30;72;26;0;5;0;161;4
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;111;377;2;23;40;78;17;2;12;0;174;0
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;112;377;3;38;35;80;19;0;8;2;185;6
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;113;413;4;37;41;76;39;1;5;0;203;4
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;114;406;5;45;22;74;27;2;10;0;185;2
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;115A;257;2;22;24;51;15;1;4;0;119;4
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;115B;245;3;15;31;39;9;2;7;1;107;4
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;116;368;1;26;45;77;22;0;6;1;178;6
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;117;405;5;30;42;64;28;1;6;0;176;4
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;118;383;0;30;42;69;26;3;3;0;173;1
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;2;;119;380;2;15;35;58;26;2;6;1;145;3
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;120;404;0;17;48;74;24;2;4;2;171;0
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;121;397;3;25;40;71;25;1;8;0;173;5
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;122;412;5;29;47;61;39;0;6;0;187;1
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;123;403;3;32;29;62;20;1;10;0;157;1
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;124;397;2;46;38;51;14;1;3;0;155;1
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;125;408;3;28;34;78;19;0;6;0;168;10
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;126;401;1;44;35;74;24;0;7;0;185;3
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;127;423;3;31;25;101;24;1;11;0;196;3
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;128;406;1;30;31;74;42;2;8;1;189;1
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;129;403;2;25;49;76;38;1;6;0;197;4
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;130;425;2;34;37;91;20;0;7;0;191;7
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;131;415;1;21;36;70;19;1;9;0;157;2
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;132;404;3;33;30;78;32;0;5;0;181;1
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;133;402;3;39;39;65;29;0;13;1;189;5
520;Argenteuil;2022-10-03;G;Saint-Colomban, v;3;;134;384;3;32;24;80;14;1;5;0;159;5
520;Argenteuil;2022-10-03;G;Lachute, v;2;Regr. BVO-10;500;29;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;Lachute, v;2;Regr. BVO-12A;501;129;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;Lachute, v;2;Regr. BVO-6;502;59;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;Brownsburg-Chatham, v;2;Regr. BVO-47;503;52;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;Saint-Adolphe-d'Howard, m;1;Regr. BVO-76;504;13;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;BVA1: SV no 1 à 6;;;;0;0;55;61;268;28;7;82;1;502;6
