Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dumais Olivier P.C.Q-E.E.D.;Jacques-Côté François Q.S.;Lavoie-Savard Paméla P.Q.;Mathieu-Poulin Gwendoline C.Q.;Provençal Luc C.A.Q.-E.F.L.;Rouleau Clermont P.L.Q./Q.L.P.;B.V.;B.R.
806;Beauce-Nord;2022-10-03;G;Saint-Victor, m;1;;1;370;117;11;13;0;89;8;238;0
806;Beauce-Nord;2022-10-03;G;Saint-Victor, m;1;;2;361;89;9;11;3;113;11;236;4
806;Beauce-Nord;2022-10-03;G;Saint-Victor, m;1;;3;366;115;5;16;1;95;6;238;0
806;Beauce-Nord;2022-10-03;G;Saint-Victor, m;1;;4;369;79;9;7;0;126;12;233;2
806;Beauce-Nord;2022-10-03;G;Saint-Victor, m;1;;5;383;91;10;14;2;100;8;225;2
806;Beauce-Nord;2022-10-03;G;Saint-Alfred, m;1;;6;400;119;18;23;2;82;8;252;1
806;Beauce-Nord;2022-10-03;G;Beauceville, v;1;;7;381;65;7;7;0;47;3;129;1
806;Beauce-Nord;2022-10-03;G;Beauceville, v;1;;8;388;63;10;8;0;55;2;138;0
806;Beauce-Nord;2022-10-03;G;Beauceville, v;1;;9;402;60;13;9;1;56;0;139;2
806;Beauce-Nord;2022-10-03;G;Beauceville, v;1;;10;395;84;6;5;1;81;3;180;2
806;Beauce-Nord;2022-10-03;G;Beauceville, v;1;;11;380;93;4;2;2;68;3;172;4
806;Beauce-Nord;2022-10-03;G;Beauceville, v;1;;12;396;94;13;10;0;51;3;171;3
806;Beauce-Nord;2022-10-03;G;Beauceville, v;1;;13;392;66;5;7;2;76;3;159;1
806;Beauce-Nord;2022-10-03;G;Beauceville, v;2;;14;400;76;4;13;2;75;2;172;8
806;Beauce-Nord;2022-10-03;G;Beauceville, v;2;;15;403;85;7;10;0;71;4;177;2
806;Beauce-Nord;2022-10-03;G;Beauceville, v;2;;16;410;77;12;12;3;56;3;163;2
806;Beauce-Nord;2022-10-03;G;Beauceville, v;2;;17;412;71;6;10;0;67;2;156;2
806;Beauce-Nord;2022-10-03;G;Beauceville, v;2;;18;405;54;6;22;3;74;4;163;3
806;Beauce-Nord;2022-10-03;G;Saint-Odilon-de-Cranbourne, p;1;;19;358;109;13;14;0;93;9;238;3
806;Beauce-Nord;2022-10-03;G;Saint-Odilon-de-Cranbourne, p;1;;20;354;142;3;16;0;79;5;245;2
806;Beauce-Nord;2022-10-03;G;Saint-Odilon-de-Cranbourne, p;1;;21;354;123;2;8;1;99;12;245;2
