Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Marc P.L.Q./Q.L.P.;Dauphinais Chantal P.C.Q-E.E.D.;Desforges Claudine P.Q.;Poirier Emilie Q.S.;Reid Claude C.A.Q.-E.F.L.;Savard Hélène P.V.Q./G.P.Q.;Taillefer Mathieu C.Q.;B.V.;B.R.
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;1;386;15;13;31;30;70;2;1;162;5
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;2;374;4;25;20;28;91;0;1;169;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;3;373;7;17;25;39;104;0;0;192;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;4;381;9;11;31;35;75;0;0;161;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;5;398;42;22;31;36;73;2;0;206;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;6;394;7;18;27;29;82;1;0;164;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;7A;206;1;8;15;9;46;0;1;80;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;7B;240;7;13;9;20;43;1;1;94;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;8;384;5;16;22;29;73;3;0;148;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;1;;9;384;13;8;37;25;86;1;0;170;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;2;;10A;223;13;6;10;19;38;0;0;86;4
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;2;;10B;218;4;9;20;17;40;4;1;95;4
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;2;;11;401;11;17;17;17;79;2;3;146;4
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;2;;12;386;11;19;27;24;72;1;1;155;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;2;;13;396;5;16;19;17;69;0;0;126;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;2;;14;376;14;18;30;20;76;1;0;159;5
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;2;;15;390;3;19;17;20;76;2;0;137;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;3;;16;382;7;19;25;24;90;3;1;169;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;3;;17;385;7;17;29;24;93;3;0;173;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;3;;18;390;7;23;31;29;75;2;6;173;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;3;;19;380;9;17;15;16;75;2;1;135;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;4;;20;403;8;19;17;18;57;1;0;120;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;4;;21;405;8;9;11;14;77;4;0;123;5
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;4;;22;402;13;12;23;16;80;1;1;146;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;4;;23;399;11;26;43;25;90;2;1;198;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;4;;24;397;11;24;33;11;68;1;2;150;5
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;4;;25;406;5;9;17;21;71;3;0;126;2
