Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abdallah Hassan P.L.Q./Q.L.P.;Aubin Claire C.Q.;Boucher Julie P.Q.;Drainville Amélie Q.S.;Primeau Benoit P.C.Q-E.E.D.;Proulx Caroline C.A.Q.-E.F.L.;B.V.;B.R.
566;Berthier;2022-10-03;G;Lavaltrie, v;1;;1;346;2;2;39;24;22;69;158;5
566;Berthier;2022-10-03;G;Lavaltrie, v;1;;2;355;1;3;41;14;24;80;163;4
566;Berthier;2022-10-03;G;Lavaltrie, v;1;;3;364;4;1;35;21;16;98;175;3
566;Berthier;2022-10-03;G;Lavaltrie, v;1;;4;363;6;1;28;21;28;85;169;4
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;5;371;2;0;24;19;25;53;123;1
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;6;374;3;1;37;25;24;79;169;3
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;7;382;5;1;34;23;13;83;159;1
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;8;382;7;0;38;22;21;62;150;3
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;9;364;4;0;26;22;18;49;119;1
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;10;371;0;1;23;22;17;48;111;4
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;11;366;2;2;38;19;15;45;121;2
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;12;376;8;1;51;30;11;82;183;0
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;13;361;1;1;31;31;29;29;122;0
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;14;382;28;0;37;40;20;58;183;4
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;15;352;9;0;35;32;12;77;165;5
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;16;360;2;1;29;30;17;50;129;3
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;17;366;9;1;25;27;18;57;137;3
566;Berthier;2022-10-03;G;Lavaltrie, v;2;;18;361;3;1;40;25;16;44;129;4
566;Berthier;2022-10-03;G;Lavaltrie, v;3;;19;379;7;1;25;25;12;73;143;3
566;Berthier;2022-10-03;G;Lavaltrie, v;3;;20;368;6;2;34;26;23;52;143;4
566;Berthier;2022-10-03;G;Lavaltrie, v;3;;21;365;3;0;39;37;24;63;166;7
566;Berthier;2022-10-03;G;Lavaltrie, v;3;;22;357;6;1;39;24;13;63;146;4
566;Berthier;2022-10-03;G;Lavaltrie, v;3;;23;366;1;2;34;30;16;66;149;5
566;Berthier;2022-10-03;G;Lavaltrie, v;3;;24;365;9;3;40;37;15;78;182;6
566;Berthier;2022-10-03;G;Lavaltrie, v;4;;25;363;0;5;29;24;24;57;139;2
566;Berthier;2022-10-03;G;Lavaltrie, v;4;;26;360;3;2;44;29;16;54;148;3
566;Berthier;2022-10-03;G;Lavaltrie, v;4;;27;366;3;3;24;33;12;73;148;3
