Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Daou Grace P.C.Q-E.E.D.;Hanna Marie-France D.D.;Labelle Frédéric P.Q.;Laframboise Mario C.A.Q.-E.F.L.;Mercho Alexandre P.L.Q./Q.L.P.;Michaud Éric Q.S.;B.V.;B.R.
536;Blainville;2022-10-03;G;Blainville, v;1;;1A;232;3;0;12;34;7;6;62;1
536;Blainville;2022-10-03;G;Blainville, v;1;;1B;222;9;1;19;30;10;19;88;2
536;Blainville;2022-10-03;G;Blainville, v;1;;2;348;27;2;33;65;11;27;165;5
536;Blainville;2022-10-03;G;Blainville, v;1;;3;359;17;2;34;62;17;33;165;2
536;Blainville;2022-10-03;G;Blainville, v;1;;4;346;20;1;15;78;19;33;166;1
536;Blainville;2022-10-03;G;Blainville, v;1;;5;344;13;0;23;69;28;34;167;3
536;Blainville;2022-10-03;G;Blainville, v;1;;6;333;6;0;23;64;18;15;126;3
536;Blainville;2022-10-03;G;Blainville, v;1;;7;353;17;0;30;83;18;32;180;3
536;Blainville;2022-10-03;G;Blainville, v;1;;8;343;22;0;22;61;14;34;153;1
536;Blainville;2022-10-03;G;Blainville, v;1;;9;356;24;0;31;45;18;23;141;0
536;Blainville;2022-10-03;G;Blainville, v;1;;10;350;18;0;33;70;15;21;157;3
536;Blainville;2022-10-03;G;Blainville, v;1;;11;345;22;0;22;47;18;14;123;5
536;Blainville;2022-10-03;G;Blainville, v;2;;12;378;20;0;20;67;15;35;157;0
536;Blainville;2022-10-03;G;Blainville, v;2;;13;368;13;0;28;67;15;32;155;3
536;Blainville;2022-10-03;G;Blainville, v;2;;14;379;23;0;19;64;20;32;158;4
536;Blainville;2022-10-03;G;Blainville, v;2;;15;365;15;0;27;72;19;20;153;3
536;Blainville;2022-10-03;G;Blainville, v;2;;16;380;31;0;26;71;25;40;193;1
536;Blainville;2022-10-03;G;Blainville, v;2;;17;378;16;0;33;62;27;28;166;2
536;Blainville;2022-10-03;G;Blainville, v;2;;18;398;27;0;23;88;27;33;198;2
536;Blainville;2022-10-03;G;Blainville, v;3;;19;345;14;0;37;68;23;24;166;1
536;Blainville;2022-10-03;G;Blainville, v;3;;20;356;10;0;29;91;22;38;190;2
536;Blainville;2022-10-03;G;Blainville, v;3;;21;352;23;0;27;86;16;14;166;2
536;Blainville;2022-10-03;G;Blainville, v;3;;22;343;13;0;14;102;23;14;166;2
536;Blainville;2022-10-03;G;Blainville, v;3;;23;376;21;2;32;95;20;17;187;3
536;Blainville;2022-10-03;G;Blainville, v;3;;24;369;34;0;25;87;22;32;200;2
536;Blainville;2022-10-03;G;Blainville, v;3;;25;353;23;0;36;85;8;20;172;1
536;Blainville;2022-10-03;G;Blainville, v;3;;26;351;12;0;30;71;14;29;156;2
536;Blainville;2022-10-03;G;Blainville, v;3;;27;345;17;0;21;66;12;21;137;2
536;Blainville;2022-10-03;G;Blainville, v;3;;28;346;16;0;32;69;12;27;156;2
536;Blainville;2022-10-03;G;Blainville, v;3;;29;351;17;0;35;45;7;29;133;3
536;Blainville;2022-10-03;G;Blainville, v;4;;30;350;15;0;23;54;13;17;122;2
536;Blainville;2022-10-03;G;Blainville, v;4;;31;341;7;0;20;67;13;23;130;3
536;Blainville;2022-10-03;G;Blainville, v;4;;32;361;22;1;16;67;16;26;148;1
536;Blainville;2022-10-03;G;Blainville, v;4;;33;348;12;1;14;58;20;19;124;3
536;Blainville;2022-10-03;G;Blainville, v;4;;34;351;8;0;20;46;18;28;120;5
536;Blainville;2022-10-03;G;Blainville, v;4;;35;363;16;0;15;56;27;33;147;4
536;Blainville;2022-10-03;G;Blainville, v;4;;36;350;12;0;22;79;5;37;155;4
536;Blainville;2022-10-03;G;Blainville, v;4;;37;359;16;0;26;54;14;33;143;1
536;Blainville;2022-10-03;G;Blainville, v;4;;38;352;7;1;21;69;26;24;148;2
536;Blainville;2022-10-03;G;Blainville, v;4;;39;350;16;2;39;69;29;31;186;2
536;Blainville;2022-10-03;G;Blainville, v;4;;40;359;21;0;23;47;34;28;153;4
536;Blainville;2022-10-03;G;Blainville, v;4;;41;367;22;1;22;94;17;10;166;1
536;Blainville;2022-10-03;G;Blainville, v;5;;42;347;17;0;32;55;9;25;138;5
