Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cantin David P51;Corbeil Priscilla P.Q.;Domingue Jean P.C.Q-E.E.D.;Duhaime Ève Q.S.;Essaidi Odevie P.V.Q./G.P.Q.;Julien Jonatan C.A.Q.-E.F.L.;Pelletier Daniel D.D.;Sissoko Mahamadou P.L.Q./Q.L.P.;B.V.;B.R.
748;Charlesbourg;2022-10-03;G;Québec, v;78;;1;362;0;11;16;5;0;48;0;5;85;2
748;Charlesbourg;2022-10-03;G;Québec, v;78;;2;380;0;19;33;18;1;38;0;6;115;2
748;Charlesbourg;2022-10-03;G;Québec, v;78;;3;384;0;19;33;19;3;50;0;8;132;3
748;Charlesbourg;2022-10-03;G;Québec, v;78;;4;355;1;7;26;28;2;40;0;10;114;0
748;Charlesbourg;2022-10-03;G;Québec, v;78;;5;362;0;27;36;21;2;41;1;11;139;3
748;Charlesbourg;2022-10-03;G;Québec, v;78;;6;370;1;14;37;33;0;36;0;7;128;3
748;Charlesbourg;2022-10-03;G;Québec, v;78;;7;366;0;13;31;34;2;41;0;13;134;3
748;Charlesbourg;2022-10-03;G;Québec, v;79;;8;350;1;18;31;20;2;40;0;9;121;2
748;Charlesbourg;2022-10-03;G;Québec, v;79;;9;355;0;18;35;33;2;38;1;16;143;1
748;Charlesbourg;2022-10-03;G;Québec, v;79;;10;381;2;31;28;19;0;57;0;7;144;3
748;Charlesbourg;2022-10-03;G;Québec, v;79;;11;358;0;20;17;22;0;61;0;7;127;2
748;Charlesbourg;2022-10-03;G;Québec, v;79;;12;331;1;25;17;20;0;55;0;9;127;2
748;Charlesbourg;2022-10-03;G;Québec, v;79;;13;390;0;14;37;20;1;59;0;11;142;2
748;Charlesbourg;2022-10-03;G;Québec, v;79;;14;367;1;13;34;30;2;42;0;13;135;2
748;Charlesbourg;2022-10-03;G;Québec, v;79;;15;343;0;22;43;37;3;52;1;8;166;5
748;Charlesbourg;2022-10-03;G;Québec, v;79;;16;347;3;16;31;26;1;42;1;8;128;2
