Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourassa Kariane C.A.Q.-E.F.L.;Bureau Michel P.L.Q./Q.L.P.;Fortin Myriam Q.S.;Lacombe Odré P.C.Q-E.E.D.;Rodrigue Lucien P.Q.;Tremblay Stefany D.D.;B.V.;B.R.
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Sainte-Catherine, m;1;;1;159;52;4;3;9;28;0;96;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sagard, no;1;Regr. BVO-3;2;103;0;0;0;0;0;0;0;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Mont-Élie, no;1;;3;67;54;3;4;7;10;0;78;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Siméon, m;1;;4;333;58;6;12;8;25;2;111;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Siméon, m;1;;5;334;74;6;13;8;14;0;115;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Siméon, m;1;;6;337;56;6;17;16;18;1;114;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;1;;7;390;76;9;18;24;35;1;163;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;1;;8;381;98;4;28;16;34;1;181;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;2;;9;383;73;6;20;10;42;0;151;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;2;;10;378;87;9;24;22;24;0;166;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;2;;11;368;82;3;18;16;27;1;147;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;2;;12;376;57;3;22;16;37;0;135;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;2;;13;361;94;5;9;21;19;1;149;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;3;;14;356;57;3;15;5;25;1;106;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;3;;15;353;48;8;16;6;19;0;97;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;3;;16;355;73;5;22;15;23;1;139;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;3;;17;348;65;3;32;8;19;0;127;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;4;;18;403;74;2;9;27;11;0;123;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;4;;19;415;71;6;22;30;39;0;168;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;4;;20;401;78;5;15;10;37;0;145;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;4;;21;392;71;4;11;16;21;0;123;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;4;;22;395;80;3;28;15;36;0;162;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;5;;23;357;50;4;14;30;25;1;124;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;La Malbaie, v;5;;24;367;66;4;19;43;30;0;162;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Clermont, v;1;;25;361;90;6;14;26;29;1;166;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Clermont, v;1;;26;374;86;4;17;19;47;0;173;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Clermont, v;1;;27;374;85;6;34;35;27;1;188;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Clermont, v;1;;28;351;78;3;11;19;57;0;168;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Clermont, v;1;;29;363;86;4;27;35;48;0;200;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Clermont, v;1;;30;344;111;6;10;15;33;0;175;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Clermont, v;1;;31;362;88;5;17;25;33;1;169;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Aimé-des-Lacs, m;1;;32;303;79;7;16;25;33;0;160;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Aimé-des-Lacs, m;1;;33;299;99;3;15;29;22;0;168;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Aimé-des-Lacs, m;1;;34;296;86;8;17;22;26;1;160;1
