Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bécotte Martin Q.S.;Gendron Marie-Belle C.A.Q.-E.F.L.;Lafleur Marianne P.Q.;Primeau Jean-François P.L.Q./Q.L.P.;Stevenson Stephanie P.V.Q./G.P.Q.;Viau Patric P.C.Q-E.E.D.;B.V.;B.R.
226;Châteauguay;2022-10-03;G;Châteauguay, v;1;;1;354;41;77;21;11;3;25;178;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;1;;2;328;26;68;22;20;1;19;156;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;1;;3;356;28;67;23;29;8;21;176;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;1;;4;329;22;55;11;20;1;21;130;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;1;;5;360;23;50;29;36;1;29;168;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;1;;6;367;17;57;26;43;1;20;164;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;2;;7;368;20;57;23;37;4;20;161;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;2;;8;373;37;52;33;32;2;19;175;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;2;;9;372;24;36;23;62;2;24;171;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;2;;10;392;27;66;16;37;5;22;173;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;2;;11;379;34;51;25;14;3;10;137;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;2;;12;394;26;46;12;25;1;19;129;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;2;;13A;254;23;47;7;14;2;4;97;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;2;;13B;266;24;33;9;28;1;10;105;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;2;;14;388;22;44;22;51;5;21;165;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;3;;15;377;33;42;20;55;2;21;173;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;3;;16;359;25;44;26;25;1;23;144;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;3;;17;413;32;48;19;64;4;24;191;6
226;Châteauguay;2022-10-03;G;Châteauguay, v;3;;18;357;29;74;23;17;4;25;172;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;3;;19;360;35;38;12;53;4;14;156;7
226;Châteauguay;2022-10-03;G;Châteauguay, v;3;;20;356;16;53;11;34;1;5;120;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;4;;21;388;32;41;9;35;3;15;135;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;4;;22;368;12;50;23;29;2;15;131;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;4;;23;409;30;67;27;46;1;14;185;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;4;;24;384;32;70;21;31;3;19;176;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;4;;25;381;13;46;20;49;3;20;151;6
226;Châteauguay;2022-10-03;G;Châteauguay, v;4;;26;427;20;65;30;51;3;8;177;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;5;;27;391;29;36;6;91;1;29;192;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;5;;28;397;42;38;17;55;2;21;175;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;5;;29;380;24;63;29;74;1;15;206;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;5;;30;375;20;31;16;62;8;27;164;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;5;;31;363;23;29;22;70;2;18;164;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;5;;32;397;22;42;6;67;3;23;163;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;5;;33;386;27;34;11;61;4;20;157;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;5;;34;382;21;53;15;53;1;18;161;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;6;;35;350;17;19;10;58;5;17;126;5
226;Châteauguay;2022-10-03;G;Châteauguay, v;6;;36;340;18;43;10;44;4;21;140;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;6;;37;359;13;38;10;57;1;26;145;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;6;;38;340;12;44;13;57;3;13;142;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;6;;39;344;9;42;17;41;2;9;120;5
226;Châteauguay;2022-10-03;G;Châteauguay, v;7;;40;366;12;33;7;50;9;14;125;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;7;;41;354;10;35;17;48;6;11;127;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;7;;42;376;25;39;8;51;2;31;156;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;7;;43;359;19;36;11;47;2;13;128;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;7;;44;309;22;37;19;37;0;7;122;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;8;;45;369;21;41;14;12;6;14;108;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;8;;46;374;17;46;10;52;7;13;145;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;8;;47;418;25;58;14;91;1;17;206;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;8;;48;382;15;35;9;71;10;41;181;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;8;;49;395;14;39;22;102;6;26;209;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;8;;50;379;20;38;12;71;1;25;167;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;9;;51;396;18;48;9;58;4;15;152;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;9;;52;406;21;39;18;32;9;22;141;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;9;;53;411;17;33;21;50;3;23;147;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;9;;54;419;5;39;7;63;3;13;130;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;9;;55;395;19;31;17;69;6;25;167;2
