Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caron Gabriel P.L.Q./Q.L.P.;Girard Éric P.C.Q-E.E.D.;Guibert-Barthez Adrien Q.S.;Laforest Andrée C.A.Q.-E.F.L.;Villeneuve Alice P.Q.;B.V.;B.R.
918;Chicoutimi;2022-10-03;G;Saguenay, v;28;;1;386;8;33;13;102;14;170;5
918;Chicoutimi;2022-10-03;G;Saguenay, v;28;;2;392;3;23;15;110;21;172;11
918;Chicoutimi;2022-10-03;G;Saguenay, v;28;;3;404;2;30;29;109;27;197;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;28;;4;375;6;21;25;120;33;205;4
918;Chicoutimi;2022-10-03;G;Saguenay, v;28;;5;382;5;14;25;144;26;214;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;28;;6;378;4;22;38;105;47;216;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;29;;7;375;7;19;23;96;26;171;6
918;Chicoutimi;2022-10-03;G;Saguenay, v;29;;8;354;2;21;26;72;32;153;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;29;;9;358;7;16;34;86;29;172;6
918;Chicoutimi;2022-10-03;G;Saguenay, v;30;;10;408;0;10;19;142;18;189;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;30;;11;403;1;22;24;89;18;154;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;30;;12A;232;5;14;12;35;23;89;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;30;;12B;207;2;15;11;43;15;86;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;30;;13;391;1;21;43;94;31;190;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;30;;14;399;5;21;33;103;39;201;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;30;;15;389;1;9;21;109;25;165;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;30;;16;400;6;12;14;99;22;153;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;31;;17;418;5;17;20;133;30;205;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;31;;18;397;4;26;24;98;24;176;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;31;;19;371;3;13;16;101;18;151;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;31;;20;394;3;15;26;103;20;167;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;32;;21;330;5;9;16;124;11;165;4
918;Chicoutimi;2022-10-03;G;Saguenay, v;32;;22;323;1;14;18;112;29;174;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;32;;23;320;3;20;9;92;18;142;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;32;;24;323;6;15;20;118;31;190;3
918;Chicoutimi;2022-10-03;G;Saguenay, v;32;;25;326;5;10;16;85;15;131;0
