Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bandou Rachid P.Q.;Gangai Federica B.M.-E.B.H.;Lakhoyan Olivier Sona P.L.Q./Q.L.P.;Merakos Konstantinos P.C.Q-E.E.D.;Nablia Sahbi P.V.Q./G.P.Q.;Platanitis George C.A.Q.-E.F.L.;Robert Zachary Q.S.;B.V.;B.R.
460;Chomedey;2022-10-03;G;Laval, v;17;;1;408;6;1;71;55;3;22;14;172;3
460;Chomedey;2022-10-03;G;Laval, v;17;;2;391;1;1;74;34;1;11;18;140;5
460;Chomedey;2022-10-03;G;Laval, v;17;;3;388;16;0;57;33;1;38;17;162;1
460;Chomedey;2022-10-03;G;Laval, v;17;;4;391;4;1;70;34;0;28;29;166;2
460;Chomedey;2022-10-03;G;Laval, v;17;;5;394;5;1;64;31;3;33;12;149;2
460;Chomedey;2022-10-03;G;Laval, v;17;;6;390;10;5;81;48;2;20;18;184;4
460;Chomedey;2022-10-03;G;Laval, v;17;;7;399;2;2;117;30;0;9;9;169;1
460;Chomedey;2022-10-03;G;Laval, v;17;;8;402;8;0;80;31;1;28;15;163;1
460;Chomedey;2022-10-03;G;Laval, v;17;;9;391;8;4;87;36;0;24;12;171;0
460;Chomedey;2022-10-03;G;Laval, v;18;;10;351;3;2;46;19;2;20;7;99;0
460;Chomedey;2022-10-03;G;Laval, v;18;;11;352;1;1;54;22;2;17;4;101;4
460;Chomedey;2022-10-03;G;Laval, v;18;;12;350;3;1;68;42;4;14;16;148;2
460;Chomedey;2022-10-03;G;Laval, v;18;;13;343;5;1;52;39;0;14;15;126;5
460;Chomedey;2022-10-03;G;Laval, v;18;;14;364;6;3;56;37;1;22;7;132;2
460;Chomedey;2022-10-03;G;Laval, v;18;;15;353;9;1;67;21;3;27;8;136;3
460;Chomedey;2022-10-03;G;Laval, v;19;;16;397;8;1;73;42;2;28;10;164;6
460;Chomedey;2022-10-03;G;Laval, v;19;;17;387;16;0;69;20;2;28;20;155;0
460;Chomedey;2022-10-03;G;Laval, v;19;;18;398;1;2;70;21;5;15;16;130;4
460;Chomedey;2022-10-03;G;Laval, v;19;;19;383;8;4;68;34;2;15;4;135;6
460;Chomedey;2022-10-03;G;Laval, v;19;;20;390;13;0;62;24;3;17;9;128;1
460;Chomedey;2022-10-03;G;Laval, v;19;;21;402;7;1;56;28;0;21;18;131;3
