Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brillant Andrée-Anne Q.S.;Nkuni Berry Zinga P.L.Q./Q.L.P.;Pageau Tommy P.C.Q-E.E.D.;Simard Émile P.Q.;Simard Gilbert C.Q.;Tremblay François C.A.Q.-E.F.L.;B.V.;B.R.
914;Dubuc;2022-10-03;G;Saguenay, v;19;;1;415;22;6;36;41;1;112;218;6
914;Dubuc;2022-10-03;G;Saguenay, v;19;;2A;197;14;1;19;15;1;56;106;0
914;Dubuc;2022-10-03;G;Saguenay, v;19;;2B;228;12;6;15;13;1;70;117;3
914;Dubuc;2022-10-03;G;Saguenay, v;19;;3A;230;8;2;23;9;1;57;100;1
914;Dubuc;2022-10-03;G;Saguenay, v;19;;3B;204;8;2;22;15;0;45;92;0
914;Dubuc;2022-10-03;G;Saguenay, v;20;;4;370;24;3;28;37;0;74;166;3
914;Dubuc;2022-10-03;G;Saguenay, v;20;;5;374;15;5;18;19;0;106;163;4
914;Dubuc;2022-10-03;G;Saguenay, v;20;;6;385;27;4;34;40;1;111;217;3
914;Dubuc;2022-10-03;G;Saguenay, v;20;;7;393;29;2;29;29;1;92;182;1
914;Dubuc;2022-10-03;G;Saguenay, v;20;;8;377;15;4;15;33;1;86;154;10
914;Dubuc;2022-10-03;G;Saguenay, v;20;;9;374;16;5;17;16;1;84;139;5
914;Dubuc;2022-10-03;G;Saguenay, v;21;;10;386;32;1;24;30;4;96;187;3
914;Dubuc;2022-10-03;G;Saguenay, v;21;;11;384;25;0;32;39;2;127;225;3
914;Dubuc;2022-10-03;G;Saguenay, v;21;;12;400;31;2;26;46;0;126;231;6
914;Dubuc;2022-10-03;G;Saguenay, v;22;;13;415;20;1;23;38;0;116;198;0
914;Dubuc;2022-10-03;G;Saguenay, v;22;;14A;222;11;0;7;17;0;59;94;2
914;Dubuc;2022-10-03;G;Saguenay, v;22;;14B;202;7;0;17;9;0;39;72;2
914;Dubuc;2022-10-03;G;Saguenay, v;22;;15;400;24;3;25;31;3;87;173;1
914;Dubuc;2022-10-03;G;Saguenay, v;22;;16;416;13;4;24;41;4;89;175;2
914;Dubuc;2022-10-03;G;Saguenay, v;22;;17;398;19;6;22;33;0;116;196;0
914;Dubuc;2022-10-03;G;Saguenay, v;22;;18;405;27;4;19;29;3;93;175;5
914;Dubuc;2022-10-03;G;Saguenay, v;23;;19A;197;5;2;15;12;1;48;83;1
914;Dubuc;2022-10-03;G;Saguenay, v;23;;19B;229;19;0;13;11;0;38;81;0
914;Dubuc;2022-10-03;G;Saguenay, v;23;;20;397;25;4;29;23;1;87;169;3
914;Dubuc;2022-10-03;G;Saguenay, v;23;;21;399;22;2;20;30;0;100;174;4
914;Dubuc;2022-10-03;G;Saguenay, v;23;;22;403;31;7;19;34;1;82;174;1
914;Dubuc;2022-10-03;G;Saguenay, v;23;;23;399;26;3;31;37;0;100;197;4
914;Dubuc;2022-10-03;G;Saguenay, v;23;;24A;212;6;2;7;20;1;51;87;0
914;Dubuc;2022-10-03;G;Saguenay, v;23;;24B;213;9;3;11;16;0;57;96;0
914;Dubuc;2022-10-03;G;Saguenay, v;24;;25;374;17;7;25;31;3;104;187;6
914;Dubuc;2022-10-03;G;Saguenay, v;24;;26;371;23;9;26;15;5;69;147;3
914;Dubuc;2022-10-03;G;Saguenay, v;24;;27;356;21;7;34;23;1;65;151;6
914;Dubuc;2022-10-03;G;Saguenay, v;25;;28;405;14;4;10;40;0;82;150;4
914;Dubuc;2022-10-03;G;Saguenay, v;25;;29;400;9;0;11;42;0;90;152;4
914;Dubuc;2022-10-03;G;Saguenay, v;25;;30;391;19;4;7;44;0;108;182;3
914;Dubuc;2022-10-03;G;Saguenay, v;25;;31;387;15;4;11;32;1;89;152;2
914;Dubuc;2022-10-03;G;Saguenay, v;25;;32;395;14;7;25;24;0;64;134;3
914;Dubuc;2022-10-03;G;Saguenay, v;25;;33;385;8;9;10;23;2;81;133;0
914;Dubuc;2022-10-03;G;Saguenay, v;25;;34;393;17;2;21;21;1;85;147;1
914;Dubuc;2022-10-03;G;Saguenay, v;26;;35;406;24;10;14;34;1;80;163;1
914;Dubuc;2022-10-03;G;Saguenay, v;26;;36;394;28;3;16;29;2;93;171;0
914;Dubuc;2022-10-03;G;Saguenay, v;26;;37;408;12;8;17;36;0;110;183;2
914;Dubuc;2022-10-03;G;Saguenay, v;26;;38;424;8;1;20;38;0;141;208;3
914;Dubuc;2022-10-03;G;Saguenay, v;26;;39;412;11;2;17;28;1;83;142;3
914;Dubuc;2022-10-03;G;Saguenay, v;27;;40;392;17;7;22;31;2;70;149;2
