Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abou-Khalil Alice C.A.Q.-E.F.L.;Baudelot Sonia P.L.Q./Q.L.P.;Buchanan Lynn P.V.Q./G.P.Q.;Dansereau-Redhead Catherine P.Q.;Léger Jessy Q.S.;Turmel Stéphane P.C.Q-E.E.D.;B.V.;B.R.
466;Fabre;2022-10-03;G;Laval, v;1;;1;315;47;39;0;22;8;18;134;4
466;Fabre;2022-10-03;G;Laval, v;1;;2;301;25;31;1;19;25;26;127;3
466;Fabre;2022-10-03;G;Laval, v;1;;3;315;32;49;2;10;9;20;122;0
466;Fabre;2022-10-03;G;Laval, v;1;;4;339;66;37;2;9;10;10;134;2
466;Fabre;2022-10-03;G;Laval, v;2;;5;400;60;57;2;19;23;20;181;4
466;Fabre;2022-10-03;G;Laval, v;2;;6;394;54;38;4;18;39;25;178;4
466;Fabre;2022-10-03;G;Laval, v;2;;7;399;46;23;1;25;32;17;144;2
466;Fabre;2022-10-03;G;Laval, v;2;;8;386;45;28;2;23;46;25;169;2
466;Fabre;2022-10-03;G;Laval, v;2;;9;395;45;28;4;31;27;20;155;1
466;Fabre;2022-10-03;G;Laval, v;2;;10;400;64;37;1;18;34;13;167;3
466;Fabre;2022-10-03;G;Laval, v;2;;11;402;39;60;3;38;23;30;193;3
466;Fabre;2022-10-03;G;Laval, v;2;;12;404;60;37;3;26;21;34;181;2
466;Fabre;2022-10-03;G;Laval, v;2;;13;395;62;40;2;16;22;29;171;2
466;Fabre;2022-10-03;G;Laval, v;2;;14;412;51;78;5;12;26;32;204;3
466;Fabre;2022-10-03;G;Laval, v;3;;15;396;37;61;3;11;23;23;158;3
466;Fabre;2022-10-03;G;Laval, v;3;;16;382;45;49;1;19;27;16;157;2
466;Fabre;2022-10-03;G;Laval, v;3;;17;391;55;47;4;26;20;10;162;1
466;Fabre;2022-10-03;G;Laval, v;3;;18;394;33;45;2;25;30;20;155;1
466;Fabre;2022-10-03;G;Laval, v;3;;19;392;60;33;1;24;19;23;160;1
466;Fabre;2022-10-03;G;Laval, v;4;;20;369;54;46;5;33;16;14;168;1
466;Fabre;2022-10-03;G;Laval, v;4;;21;357;48;42;2;32;33;13;170;0
466;Fabre;2022-10-03;G;Laval, v;5;;22;364;50;40;0;10;18;19;137;2
