Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Stéphane P.C.Q-E.E.D.;Bonnardel François C.A.Q.-E.F.L.;Bouthillier Guy P.Q.;Lamarre Penny P.L.Q./Q.L.P.;Legault Anne-Sophie Q.S.;Paquin Jimmy E.A.;Wisniowski Andrzej P.V.Q./G.P.Q.;B.V.;B.R.
206;Granby;2022-10-03;G;Granby, v;1;;1;391;42;91;17;5;22;0;2;179;3
206;Granby;2022-10-03;G;Granby, v;1;;2;392;21;114;18;14;16;0;0;183;2
206;Granby;2022-10-03;G;Granby, v;1;;3;401;13;89;15;15;22;0;1;155;1
206;Granby;2022-10-03;G;Granby, v;1;;4;397;27;58;23;10;31;0;0;149;3
206;Granby;2022-10-03;G;Granby, v;1;;5;394;16;84;20;9;31;0;0;160;2
206;Granby;2022-10-03;G;Granby, v;1;;6;405;21;109;17;9;28;0;2;186;2
206;Granby;2022-10-03;G;Granby, v;1;;7;375;39;83;11;0;21;1;0;155;0
206;Granby;2022-10-03;G;Granby, v;1;;8;383;27;86;17;4;13;0;0;147;2
206;Granby;2022-10-03;G;Granby, v;1;;9;385;30;116;25;7;30;0;3;211;2
206;Granby;2022-10-03;G;Granby, v;2;;10;400;36;105;20;6;29;0;1;197;0
206;Granby;2022-10-03;G;Granby, v;2;;11;405;29;105;21;8;51;0;3;217;4
206;Granby;2022-10-03;G;Granby, v;2;;12;407;17;153;27;5;43;0;3;248;4
206;Granby;2022-10-03;G;Granby, v;2;;13;401;18;128;36;10;23;0;2;217;2
206;Granby;2022-10-03;G;Granby, v;2;;14;405;30;111;21;10;17;0;1;190;1
206;Granby;2022-10-03;G;Granby, v;2;;15;397;25;127;11;9;41;0;1;214;1
206;Granby;2022-10-03;G;Granby, v;2;;16;402;39;101;20;4;18;0;2;184;2
206;Granby;2022-10-03;G;Granby, v;3;;17;403;22;123;19;8;22;0;2;196;4
206;Granby;2022-10-03;G;Granby, v;3;;18;396;20;111;28;10;28;0;2;199;0
206;Granby;2022-10-03;G;Granby, v;3;;19;404;21;89;18;3;32;0;3;166;2
206;Granby;2022-10-03;G;Granby, v;3;;20;405;19;104;26;11;24;0;1;185;1
