Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubertin Marie-Noëlle Q.S.;Craig-Larouche Jeanne P.Q.;Girard Eric C.A.Q.-E.F.L.;Medaino-Tardif Audrey P.L.Q./Q.L.P.;Messore Valerie P.C.Q-E.E.D.;Shahsavar-Arshad Victoria P.V.Q./G.P.Q.;B.V.;B.R.
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;1;405;43;46;72;19;13;3;196;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;2;389;39;30;102;16;16;4;207;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;3;391;28;37;89;19;15;2;190;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;4;398;27;36;92;31;18;4;208;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;5;399;39;28;100;19;18;5;209;4
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;6;387;37;38;97;21;12;3;208;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;7;398;28;35;83;21;18;2;187;3
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;8;398;39;46;78;23;12;4;202;4
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;9;402;45;44;51;24;20;3;187;3
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;1;;10;393;25;32;72;20;26;0;175;2
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;11;387;46;28;45;20;19;3;161;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;12;380;45;25;50;18;26;1;165;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;13;380;32;16;57;20;19;0;144;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;14;392;25;18;63;10;21;1;138;4
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;15;386;29;30;54;7;15;2;137;2
