Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Couture Lise P.C.Q-E.E.D.;Gaudreault Maryse P.L.Q./Q.L.P.;Jemmah Rachid P.V.Q./G.P.Q.;Pellerin-Forget Camille P.Q.;Perron-Dufour Mathieu Q.S.;Tremblay Suzanne C.A.Q.-E.F.L.;B.V.;B.R.
602;Hull;2022-10-03;G;Gatineau, v;7;;1;353;8;38;3;8;29;20;106;1
602;Hull;2022-10-03;G;Gatineau, v;7;;2;363;16;19;3;10;30;24;102;1
602;Hull;2022-10-03;G;Gatineau, v;7;;3;398;6;31;2;9;19;50;117;0
602;Hull;2022-10-03;G;Gatineau, v;7;;4A;320;4;25;2;9;24;27;91;0
602;Hull;2022-10-03;G;Gatineau, v;7;;4B;332;9;38;0;7;26;13;93;0
602;Hull;2022-10-03;G;Gatineau, v;7;;5;419;14;71;3;6;23;30;147;1
602;Hull;2022-10-03;G;Gatineau, v;7;;6;397;8;53;2;8;36;19;126;5
602;Hull;2022-10-03;G;Gatineau, v;7;;7;359;13;51;1;3;13;31;112;0
602;Hull;2022-10-03;G;Gatineau, v;7;;8;416;13;58;1;8;28;34;142;1
602;Hull;2022-10-03;G;Gatineau, v;7;;9;360;11;57;5;8;22;30;133;1
602;Hull;2022-10-03;G;Gatineau, v;7;;10;375;11;43;4;14;26;33;131;1
602;Hull;2022-10-03;G;Gatineau, v;8;;11;387;17;61;3;8;28;34;151;0
602;Hull;2022-10-03;G;Gatineau, v;8;;12;412;20;42;9;9;30;45;155;1
602;Hull;2022-10-03;G;Gatineau, v;8;;13;382;11;40;5;5;31;45;137;0
602;Hull;2022-10-03;G;Gatineau, v;8;;14;341;15;33;2;4;18;19;91;3
602;Hull;2022-10-03;G;Gatineau, v;8;;15;385;11;34;3;6;20;28;102;2
602;Hull;2022-10-03;G;Gatineau, v;8;;16;362;16;42;2;10;17;27;114;2
602;Hull;2022-10-03;G;Gatineau, v;8;;17;380;19;54;7;13;26;35;154;1
602;Hull;2022-10-03;G;Gatineau, v;9;;18;395;12;56;3;10;22;42;145;2
602;Hull;2022-10-03;G;Gatineau, v;9;;19;376;8;38;0;9;25;33;113;1
602;Hull;2022-10-03;G;Gatineau, v;9;;20;388;8;52;4;14;26;41;145;1
602;Hull;2022-10-03;G;Gatineau, v;9;;21;393;12;54;1;13;26;44;150;1
602;Hull;2022-10-03;G;Gatineau, v;9;;22;376;8;43;2;8;36;40;137;2
602;Hull;2022-10-03;G;Gatineau, v;9;;23;375;12;49;6;10;23;38;138;2
602;Hull;2022-10-03;G;Gatineau, v;9;;24;424;6;83;4;15;33;50;191;1
602;Hull;2022-10-03;G;Gatineau, v;9;;25;379;9;42;2;14;26;55;148;1
602;Hull;2022-10-03;G;Gatineau, v;9;;26;380;8;50;2;11;23;68;162;1
602;Hull;2022-10-03;G;Gatineau, v;9;;27;386;8;61;4;12;32;46;163;0
602;Hull;2022-10-03;G;Gatineau, v;9;;28;387;19;30;6;15;31;25;126;2
602;Hull;2022-10-03;G;Gatineau, v;9;;29;385;12;47;3;9;28;42;141;1
602;Hull;2022-10-03;G;Gatineau, v;10;;30;419;16;52;2;7;31;48;156;1
602;Hull;2022-10-03;G;Gatineau, v;10;;31;399;7;53;8;11;33;52;164;1
602;Hull;2022-10-03;G;Gatineau, v;10;;32;426;8;54;3;20;37;66;188;2
602;Hull;2022-10-03;G;Gatineau, v;10;;33;383;18;35;2;13;23;58;149;0
602;Hull;2022-10-03;G;Gatineau, v;10;;34;395;9;50;6;16;35;73;189;0
602;Hull;2022-10-03;G;Gatineau, v;10;;35;390;13;39;3;18;38;59;170;3
602;Hull;2022-10-03;G;Gatineau, v;10;;36;379;15;40;2;11;41;65;174;1
602;Hull;2022-10-03;G;Gatineau, v;10;;37;393;6;46;4;20;41;65;182;3
602;Hull;2022-10-03;G;Gatineau, v;10;;38;402;19;46;2;17;23;40;147;2
602;Hull;2022-10-03;G;Gatineau, v;10;;39;399;12;39;5;12;21;35;124;1
602;Hull;2022-10-03;G;Gatineau, v;10;;40;382;11;28;0;5;23;29;96;2
602;Hull;2022-10-03;G;Gatineau, v;10;;41;300;14;38;4;6;22;32;116;4
602;Hull;2022-10-03;G;Gatineau, v;10;;42;371;10;36;7;17;29;60;159;0
602;Hull;2022-10-03;G;Gatineau, v;11;;43;378;12;36;3;6;24;30;111;3
602;Hull;2022-10-03;G;Gatineau, v;11;;44;356;20;41;9;13;37;22;142;2
602;Hull;2022-10-03;G;Gatineau, v;11;;45;366;14;51;8;25;61;42;201;2
602;Hull;2022-10-03;G;Gatineau, v;11;;46;377;13;39;3;17;45;41;158;1
602;Hull;2022-10-03;G;Gatineau, v;11;;47;385;17;30;3;20;40;44;154;0
602;Hull;2022-10-03;G;Gatineau, v;11;;48;382;9;37;6;11;49;48;160;0
602;Hull;2022-10-03;G;Gatineau, v;12;;49;375;9;31;4;21;40;42;147;2
602;Hull;2022-10-03;G;Gatineau, v;12;Regr. BVDS-1;50;360;0;0;0;0;0;0;0;0
602;Hull;2022-10-03;G;Gatineau, v;12;;51;337;7;37;4;11;42;28;129;2
602;Hull;2022-10-03;G;Gatineau, v;12;;52;385;7;52;7;10;25;35;136;3
602;Hull;2022-10-03;G;Gatineau, v;12;;53;361;3;53;5;18;25;25;129;0
602;Hull;2022-10-03;G;Gatineau, v;12;;54;355;4;48;2;15;11;53;133;0
602;Hull;2022-10-03;G;Gatineau, v;13;;55;393;6;56;3;10;18;28;121;2
602;Hull;2022-10-03;G;Gatineau, v;13;;56;376;4;49;7;13;60;34;167;8
602;Hull;2022-10-03;G;Gatineau, v;13;;57;348;8;21;1;14;46;45;135;3
602;Hull;2022-10-03;G;Gatineau, v;13;;58;373;4;25;4;22;63;38;156;1
602;Hull;2022-10-03;G;Gatineau, v;13;;59;366;9;28;4;26;50;15;132;3
602;Hull;2022-10-03;G;Gatineau, v;14;;60;410;10;27;3;6;31;27;104;1
602;Hull;2022-10-03;G;Gatineau, v;14;;61;404;5;33;4;18;52;11;123;0
602;Hull;2022-10-03;G;Gatineau, v;14;;62;389;18;19;3;10;35;38;123;1
602;Hull;2022-10-03;G;Gatineau, v;14;;63;378;5;17;3;8;23;32;88;4
602;Hull;2022-10-03;G;Gatineau, v;14;;64;400;18;26;7;9;36;27;123;3
602;Hull;2022-10-03;G;Gatineau, v;15;;65;389;9;19;2;12;13;44;99;2
602;Hull;2022-10-03;G;Gatineau, v;15;;66;391;12;40;7;10;37;30;136;3
602;Hull;2022-10-03;G;Gatineau, v;15;;67;428;7;37;3;7;45;22;121;0
602;Hull;2022-10-03;G;Gatineau, v;16;;68;332;5;17;0;8;25;20;75;2
602;Hull;2022-10-03;G;Gatineau, v;16;;69;401;8;25;7;7;34;16;97;1
602;Hull;2022-10-03;G;Gatineau, v;16;;70;376;11;37;2;6;20;25;101;1
602;Hull;2022-10-03;G;Gatineau, v;16;;71;371;8;21;7;12;40;23;111;1
602;Hull;2022-10-03;G;Gatineau, v;16;;72;346;11;25;1;6;31;31;105;1
602;Hull;2022-10-03;G;Gatineau, v;16;;73;371;9;35;3;12;31;32;122;4
602;Hull;2022-10-03;G;Gatineau, v;16;;74;383;12;34;3;12;35;31;127;3
602;Hull;2022-10-03;G;Gatineau, v;16;;75;363;7;34;4;10;34;17;106;0
602;Hull;2022-10-03;G;Gatineau, v;16;;76;397;7;30;5;10;32;12;96;2
602;Hull;2022-10-03;G;Gatineau, v;16;;77;429;4;42;0;14;27;35;122;1
602;Hull;2022-10-03;G;Gatineau, v;16;;78;381;11;40;3;3;11;41;109;3
602;Hull;2022-10-03;G;Gatineau, v;16;;79;376;10;34;3;9;33;41;130;5
602;Hull;2022-10-03;G;Gatineau, v;17;;80;342;9;18;3;14;18;34;96;0
602;Hull;2022-10-03;G;Gatineau, v;17;;81;344;17;24;8;16;40;36;141;4
602;Hull;2022-10-03;G;Gatineau, v;17;;82;360;5;22;6;12;40;26;111;2
602;Hull;2022-10-03;G;Gatineau, v;17;;83;350;11;29;2;11;25;45;123;0
602;Hull;2022-10-03;G;Gatineau, v;17;;84;353;13;28;5;13;49;57;165;1
602;Hull;2022-10-03;G;Gatineau, v;17;;85;341;6;33;6;19;58;51;173;5
602;Hull;2022-10-03;G;Gatineau, v;18;;86;367;14;29;5;31;42;62;183;2
602;Hull;2022-10-03;G;Gatineau, v;18;;87;365;14;31;1;26;31;61;164;0
602;Hull;2022-10-03;G;Gatineau, v;18;;88;364;15;40;3;9;37;73;177;2
602;Hull;2022-10-03;G;Gatineau, v;18;;89;335;15;24;2;13;27;48;129;2
602;Hull;2022-10-03;G;Gatineau, v;18;;90;338;8;30;1;12;34;46;131;4
602;Hull;2022-10-03;G;Gatineau, v;18;;91;352;20;32;2;17;20;53;144;1
602;Hull;2022-10-03;G;Gatineau, v;19;;92;352;12;16;3;11;36;24;102;3
602;Hull;2022-10-03;G;Gatineau, v;19;;93;393;19;24;1;12;30;51;137;0
602;Hull;2022-10-03;G;Gatineau, v;19;;94;363;14;21;11;14;19;50;129;3
602;Hull;2022-10-03;G;Gatineau, v;19;;95;341;12;39;8;14;22;55;150;5
602;Hull;2022-10-03;G;Gatineau, v;19;;96;361;22;39;0;16;31;44;152;4
602;Hull;2022-10-03;G;Gatineau, v;19;;97;371;10;25;3;7;15;36;96;2
602;Hull;2022-10-03;G;Gatineau, v;20;;98;345;5;24;2;9;7;33;80;1
602;Hull;2022-10-03;G;Gatineau, v;20;;99;332;9;19;2;6;5;21;62;0
602;Hull;2022-10-03;G;Gatineau, v;20;;100;350;9;34;3;7;14;31;98;0
602;Hull;2022-10-03;G;Gatineau, v;20;;101;329;16;35;5;4;16;25;101;0
602;Hull;2022-10-03;G;Gatineau, v;20;;102;354;13;31;4;6;20;38;112;3
602;Hull;2022-10-03;G;Gatineau, v;21;;103;367;13;35;1;5;24;33;111;5
602;Hull;2022-10-03;G;Gatineau, v;21;;104;393;10;38;8;13;29;42;140;4
602;Hull;2022-10-03;G;Gatineau, v;21;;105;370;7;32;2;23;27;41;132;2
602;Hull;2022-10-03;G;Gatineau, v;21;;106;382;17;50;5;2;21;27;122;0
602;Hull;2022-10-03;G;Gatineau, v;22;;107;306;12;42;4;10;34;29;131;3
602;Hull;2022-10-03;G;Gatineau, v;22;;108;323;11;38;6;20;32;34;141;2
602;Hull;2022-10-03;G;Gatineau, v;22;;109;278;11;14;3;10;22;29;89;0
602;Hull;2022-10-03;G;Gatineau, v;22;;110;299;14;24;2;9;18;24;91;1
602;Hull;2022-10-03;G;Gatineau, v;67;;111;407;10;40;2;16;35;40;143;1
602;Hull;2022-10-03;G;Gatineau, v;67;;112;410;20;44;2;21;32;50;169;2
602;Hull;2022-10-03;G;Gatineau, v;67;;113;418;12;41;1;14;37;53;158;1
602;Hull;2022-10-03;G;Gatineau, v;67;;114;411;9;45;3;18;40;87;202;4
602;Hull;2022-10-03;G;Gatineau, v;68;;115;392;11;37;4;7;52;40;151;1
602;Hull;2022-10-03;G;Gatineau, v;68;;116;411;14;33;1;21;48;53;170;3
602;Hull;2022-10-03;G;Gatineau, v;68;;117;397;9;35;1;10;13;74;142;6
602;Hull;2022-10-03;G;Gatineau, v;68;;118;388;13;42;1;18;14;68;156;1
602;Hull;2022-10-03;G;Gatineau, v;68;;119;420;11;52;1;16;39;75;194;1
602;Hull;2022-10-03;G;Gatineau, v;69;;120;387;16;21;2;11;16;27;93;0
602;Hull;2022-10-03;G;Gatineau, v;69;;121;397;13;26;8;5;8;40;100;2
602;Hull;2022-10-03;G;Gatineau, v;69;;122;376;9;25;2;5;19;16;76;1
602;Hull;2022-10-03;G;Gatineau, v;69;;123;400;16;17;4;10;23;37;107;1
602;Hull;2022-10-03;G;Gatineau, v;69;;124;378;8;40;2;17;34;50;151;1
