Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bro José P.V.Q./G.P.Q.;Frizzell Raymond P.C.Q./C.P.Q;Gagnon François P.C.Q-E.E.D.;Leblanc Nathan P.Q.;Mallette Carole C.A.Q.-E.F.L.;Perras Emmanuelle Q.S.;Poissant Jean-Claude P.L.Q./Q.L.P.;B.V.;B.R.
216;Huntingdon;2022-10-03;G;Akwesasne, r;1;Regr. BVDS-1;1;357;0;0;0;0;0;0;0;0;0
216;Huntingdon;2022-10-03;G;Akwesasne, r;1;Regr. BVDS-1;2;346;0;0;0;0;0;0;0;0;0
216;Huntingdon;2022-10-03;G;Akwesasne, r;1;Regr. BVDS-1;3;358;0;0;0;0;0;0;0;0;0
216;Huntingdon;2022-10-03;G;Akwesasne, r;1;Regr. BVDS-1;4;362;0;0;0;0;0;0;0;0;0
216;Huntingdon;2022-10-03;G;Dundee, ct;1;;5;298;3;5;32;14;53;15;33;155;1
216;Huntingdon;2022-10-03;G;Saint-Anicet, m;1;;6;383;2;1;40;13;45;5;16;122;2
216;Huntingdon;2022-10-03;G;Saint-Anicet, m;1;;7;378;1;4;14;26;68;7;22;142;4
216;Huntingdon;2022-10-03;G;Saint-Anicet, m;1;;8;376;3;3;29;17;62;18;30;162;2
216;Huntingdon;2022-10-03;G;Saint-Anicet, m;1;;9;385;5;1;22;16;62;12;19;137;3
216;Huntingdon;2022-10-03;G;Saint-Anicet, m;1;;10;383;2;2;16;21;73;14;15;143;2
216;Huntingdon;2022-10-03;G;Saint-Anicet, m;1;;11;380;0;1;15;21;69;7;25;138;0
216;Huntingdon;2022-10-03;G;Sainte-Barbe, m;1;;12;359;1;0;12;37;91;17;16;174;3
216;Huntingdon;2022-10-03;G;Sainte-Barbe, m;1;;13;368;1;2;14;31;114;17;10;189;2
216;Huntingdon;2022-10-03;G;Sainte-Barbe, m;1;;14;376;2;2;37;22;77;30;23;193;1
216;Huntingdon;2022-10-03;G;Sainte-Barbe, m;1;;15;400;3;2;24;35;87;42;21;214;4
216;Huntingdon;2022-10-03;G;Godmanchester, ct;1;;16;379;1;2;36;6;42;15;39;141;2
