Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bogemans Audrey C.A.Q.-E.F.L.;Brassard Philippe C.Q.;Casabonne Anne P.C.Q-E.E.D.;Cléroux Jean-Charles D.D.;Côté Jean-Alexandre P.Q.;Jetten-Vigeant Philippe Q.S.;Trinque Steve P.L.Q./Q.L.P.;B.V.;B.R.
210;Iberville;2022-10-03;G;Marieville, v;1;;1A;214;60;2;9;0;7;13;6;97;3
210;Iberville;2022-10-03;G;Marieville, v;1;;1B;226;51;1;10;0;19;8;4;93;1
210;Iberville;2022-10-03;G;Marieville, v;1;;2A;237;58;0;16;0;26;18;3;121;0
210;Iberville;2022-10-03;G;Marieville, v;1;;2B;223;46;2;14;0;16;31;6;115;2
210;Iberville;2022-10-03;G;Marieville, v;1;;3;370;78;1;23;0;19;35;7;163;1
210;Iberville;2022-10-03;G;Marieville, v;1;;4;420;117;0;20;1;43;40;12;233;3
210;Iberville;2022-10-03;G;Marieville, v;1;;5;406;89;5;16;1;36;29;6;182;3
210;Iberville;2022-10-03;G;Marieville, v;1;;6;421;78;0;31;0;50;58;6;223;6
210;Iberville;2022-10-03;G;Marieville, v;1;;7;391;117;1;28;0;44;41;16;247;3
210;Iberville;2022-10-03;G;Marieville, v;1;;8;392;121;1;18;0;42;42;15;239;6
210;Iberville;2022-10-03;G;Marieville, v;1;;9;385;89;2;33;0;43;51;7;225;3
210;Iberville;2022-10-03;G;Marieville, v;1;;10;415;94;2;28;0;30;24;18;196;4
210;Iberville;2022-10-03;G;Marieville, v;1;;11;413;81;2;25;0;39;46;5;198;4
210;Iberville;2022-10-03;G;Marieville, v;1;;12;380;91;2;19;0;38;22;8;180;6
210;Iberville;2022-10-03;G;Marieville, v;1;;13;400;104;3;19;1;36;25;15;203;2
210;Iberville;2022-10-03;G;Marieville, v;2;;14;364;96;1;23;0;32;24;6;182;4
210;Iberville;2022-10-03;G;Marieville, v;2;;15;385;119;4;20;0;30;22;15;210;0
210;Iberville;2022-10-03;G;Marieville, v;2;;16;390;99;3;19;0;30;28;7;186;2
210;Iberville;2022-10-03;G;Marieville, v;2;;17;396;93;4;17;1;32;47;8;202;2
210;Iberville;2022-10-03;G;Marieville, v;2;;18;372;68;2;15;0;38;47;7;177;0
210;Iberville;2022-10-03;G;Marieville, v;2;;19;369;97;3;22;0;28;25;4;179;4
210;Iberville;2022-10-03;G;Marieville, v;2;;20;366;82;1;18;0;26;19;0;146;4
210;Iberville;2022-10-03;G;Marieville, v;2;;21;382;119;2;20;2;25;35;11;214;5
210;Iberville;2022-10-03;G;Sainte-Angèle-de-Monnoir, m;1;;22;338;95;0;31;0;47;32;11;216;4
210;Iberville;2022-10-03;G;Sainte-Angèle-de-Monnoir, m;1;;23;344;102;1;21;0;30;26;9;189;2
210;Iberville;2022-10-03;G;Sainte-Angèle-de-Monnoir, m;1;;24;342;86;5;19;0;31;32;13;186;5
210;Iberville;2022-10-03;G;Sainte-Angèle-de-Monnoir, m;1;;25;341;93;2;14;0;42;29;12;192;10
210;Iberville;2022-10-03;G;Mont-Saint-Grégoire, m;1;;26;352;68;0;28;0;33;21;10;160;6
210;Iberville;2022-10-03;G;Mont-Saint-Grégoire, m;1;;27;380;101;3;14;0;29;32;12;191;2
210;Iberville;2022-10-03;G;Mont-Saint-Grégoire, m;1;;28;360;84;1;16;0;30;24;18;173;1
210;Iberville;2022-10-03;G;Mont-Saint-Grégoire, m;1;;29;352;72;0;21;1;27;22;7;150;1
210;Iberville;2022-10-03;G;Mont-Saint-Grégoire, m;1;;30;347;78;1;16;0;38;28;11;172;3
210;Iberville;2022-10-03;G;Mont-Saint-Grégoire, m;1;;31;343;67;1;14;0;20;24;24;150;2
210;Iberville;2022-10-03;G;Mont-Saint-Grégoire, m;1;;32;374;77;3;33;0;28;46;6;193;6
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;33;424;70;2;21;1;25;35;6;160;3
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;34;399;91;0;13;1;32;31;14;182;3
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;35A;198;42;1;12;0;17;6;5;83;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;35B;230;52;3;10;0;11;13;4;93;4
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;36;424;98;2;30;0;43;23;5;201;4
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;37;419;83;1;19;0;37;43;21;204;4
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;38;386;73;6;19;0;37;32;14;181;1
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;39;410;107;1;20;0;32;20;11;191;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;40;395;81;2;9;4;46;33;7;182;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;41A;212;65;0;13;0;16;17;9;120;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;41B;215;53;1;11;0;18;14;8;105;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;;42;404;121;0;11;0;39;25;11;207;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;24;;43;346;80;0;19;0;20;31;17;167;1
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;24;;44;343;70;2;16;1;24;30;14;157;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;24;;45;350;42;2;23;1;20;39;5;132;4
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;24;;46;334;85;3;21;0;24;25;13;171;6
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;24;;47;338;68;2;20;0;23;29;2;144;1
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;25;;48;411;87;3;17;0;34;43;7;191;3
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;25;;49;391;77;1;16;1;28;31;10;164;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;25;;50A;209;30;3;12;0;14;11;0;70;3
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;25;;50B;251;51;0;6;0;25;25;4;111;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;25;;51;392;68;0;28;1;17;30;8;152;5
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;25;;52;381;45;1;42;0;39;35;6;168;1
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;25;;53;379;57;1;23;1;22;36;10;150;4
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;26;;54;375;63;1;8;1;27;20;8;128;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;26;;55;364;67;0;16;0;31;31;11;156;1
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;26;;56;359;61;4;16;0;35;26;11;153;5
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;26;;57;358;80;2;14;1;19;14;2;132;4
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;26;;58;330;63;3;22;1;15;22;6;132;22
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;26;;59;356;65;7;25;0;25;22;7;151;3
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;26;;60;359;43;1;33;0;22;18;5;122;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;61;378;85;2;23;1;33;24;8;176;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;62;390;100;2;24;2;23;24;8;183;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;63;377;58;1;15;1;35;33;6;149;3
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;64;390;78;2;18;0;27;31;6;162;1
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;65;364;67;3;15;0;17;28;10;140;4
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;66;396;97;3;29;0;40;25;4;198;5
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;67;395;78;1;12;0;38;24;6;159;5
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;68;389;87;1;13;0;26;15;18;160;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;69;414;93;0;23;0;32;29;12;189;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;70;411;77;0;24;1;35;29;10;176;2
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;71;384;73;2;31;1;28;38;11;184;1
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;27;;72;365;73;1;29;0;25;23;16;167;2
210;Iberville;2022-10-03;G;Sainte-Anne-de-Sabrevois, p;1;;73;338;93;2;11;0;25;14;1;146;2
210;Iberville;2022-10-03;G;Sainte-Anne-de-Sabrevois, p;1;;74;331;79;2;45;2;19;14;5;166;0
210;Iberville;2022-10-03;G;Sainte-Anne-de-Sabrevois, p;1;;75;346;101;2;31;1;25;20;7;187;4
210;Iberville;2022-10-03;G;Sainte-Anne-de-Sabrevois, p;1;;76;326;81;3;32;1;22;22;9;170;6
210;Iberville;2022-10-03;G;Sainte-Anne-de-Sabrevois, p;1;;77;330;79;0;39;0;39;20;8;185;3
210;Iberville;2022-10-03;G;Henryville, m;1;;78;398;85;2;28;0;29;18;16;178;4
210;Iberville;2022-10-03;G;Henryville, m;1;;79;376;96;2;34;0;24;24;7;187;3
210;Iberville;2022-10-03;G;Henryville, m;1;;80;398;79;0;29;0;31;16;9;164;1
210;Iberville;2022-10-03;G;Noyan, m;1;;81;385;110;3;27;1;28;13;11;193;3
210;Iberville;2022-10-03;G;Noyan, m;1;;82;387;77;1;32;0;24;18;31;183;4
210;Iberville;2022-10-03;G;Noyan, m;1;;83;353;76;3;32;1;17;10;32;171;2
210;Iberville;2022-10-03;G;Saint-Georges-de-Clarenceville, m;1;;84;313;43;0;30;0;19;10;30;132;5
210;Iberville;2022-10-03;G;Saint-Georges-de-Clarenceville, m;1;;85;371;60;1;35;0;29;26;13;164;2
210;Iberville;2022-10-03;G;Saint-Georges-de-Clarenceville, m;1;;86;329;67;2;11;0;15;6;24;125;0
210;Iberville;2022-10-03;G;Venise-en-Québec, m;1;;87;425;83;0;21;0;28;22;17;171;4
210;Iberville;2022-10-03;G;Venise-en-Québec, m;1;;88;423;95;0;13;0;28;13;17;166;0
210;Iberville;2022-10-03;G;Venise-en-Québec, m;1;;89A;220;60;0;12;3;11;5;15;106;3
210;Iberville;2022-10-03;G;Venise-en-Québec, m;1;;89B;228;58;0;3;0;5;3;11;80;1
210;Iberville;2022-10-03;G;Venise-en-Québec, m;1;;90A;249;60;0;13;0;16;16;7;112;5
210;Iberville;2022-10-03;G;Venise-en-Québec, m;1;;90B;245;56;1;17;0;17;3;4;98;1
210;Iberville;2022-10-03;G;Saint-Sébastien, m;1;;91;268;84;2;25;1;14;9;6;141;2
210;Iberville;2022-10-03;G;Saint-Sébastien, m;1;;92;254;71;0;16;1;16;11;9;124;5
210;Iberville;2022-10-03;G;Saint-Alexandre, m;1;;93A;206;59;0;15;0;20;17;5;116;5
210;Iberville;2022-10-03;G;Saint-Alexandre, m;1;;93B;251;62;5;23;1;26;29;9;155;3
210;Iberville;2022-10-03;G;Saint-Alexandre, m;1;;94;369;107;1;31;0;39;42;11;231;6
210;Iberville;2022-10-03;G;Saint-Alexandre, m;1;;95;398;107;0;31;0;42;43;12;235;6
210;Iberville;2022-10-03;G;Saint-Alexandre, m;1;;96;397;131;4;15;0;32;29;7;218;3
210;Iberville;2022-10-03;G;Saint-Alexandre, m;1;;97;390;131;3;26;0;32;33;10;235;3
210;Iberville;2022-10-03;G;Sainte-Brigide-d'Iberville, m;1;;98;351;97;1;36;1;17;22;7;181;6
210;Iberville;2022-10-03;G;Sainte-Brigide-d'Iberville, m;1;;99;387;98;4;24;0;22;27;9;184;3
210;Iberville;2022-10-03;G;Sainte-Brigide-d'Iberville, m;1;;100;375;110;2;26;1;33;20;19;211;4
210;Iberville;2022-10-03;G;Ange-Gardien, m;1;;101;381;104;1;25;0;20;18;8;176;2
210;Iberville;2022-10-03;G;Ange-Gardien, m;1;;102A;251;48;0;13;1;26;20;11;119;5
210;Iberville;2022-10-03;G;Ange-Gardien, m;1;;102B;208;73;0;12;0;24;19;2;130;2
210;Iberville;2022-10-03;G;Ange-Gardien, m;1;;103;381;92;2;20;0;30;53;5;202;5
210;Iberville;2022-10-03;G;Ange-Gardien, m;1;;104;409;119;0;22;2;32;27;8;210;8
210;Iberville;2022-10-03;G;Ange-Gardien, m;1;;105;399;115;2;20;0;22;30;9;198;5
210;Iberville;2022-10-03;G;Saint-Paul-d'Abbotsford, m;1;;106;375;108;2;35;2;30;8;5;190;2
210;Iberville;2022-10-03;G;Saint-Paul-d'Abbotsford, m;1;;107;375;93;1;37;2;18;36;14;201;3
210;Iberville;2022-10-03;G;Saint-Paul-d'Abbotsford, m;1;;108;367;97;1;21;0;33;38;10;200;3
210;Iberville;2022-10-03;G;Saint-Paul-d'Abbotsford, m;1;;109;366;106;1;24;0;33;31;17;212;4
210;Iberville;2022-10-03;G;Saint-Paul-d'Abbotsford, m;1;;110;317;80;2;28;0;29;13;5;157;3
210;Iberville;2022-10-03;G;Saint-Paul-d'Abbotsford, m;1;;111;361;96;3;28;0;26;26;5;184;2
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;112A;217;52;2;14;0;11;15;4;98;2
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;112B;213;36;0;19;1;14;19;3;92;0
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;113;414;88;0;34;0;16;25;11;174;8
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;114;403;56;0;18;1;25;24;10;134;3
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;115;432;87;1;32;1;31;24;8;184;1
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;116;379;65;2;19;1;27;25;9;148;1
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;117;410;109;0;21;2;23;31;11;197;0
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;118;408;73;1;20;0;22;26;2;144;5
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;119;423;95;1;34;0;20;35;1;186;2
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;120;413;52;5;28;0;22;34;6;147;6
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;121;407;43;1;23;0;32;28;3;130;3
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;;122;404;85;0;27;0;24;20;9;165;4
210;Iberville;2022-10-03;G;Rougemont, m;1;;123;370;105;0;20;1;39;23;8;196;2
210;Iberville;2022-10-03;G;Rougemont, m;1;;124;361;68;1;35;0;20;15;8;147;5
210;Iberville;2022-10-03;G;Rougemont, m;1;;125;368;102;3;25;0;32;23;4;189;2
210;Iberville;2022-10-03;G;Rougemont, m;1;;126;351;76;4;27;0;30;23;9;169;1
210;Iberville;2022-10-03;G;Rougemont, m;1;;127;370;107;4;20;0;35;34;12;212;3
210;Iberville;2022-10-03;G;Rougemont, m;1;;128;376;99;2;35;0;27;29;23;215;1
210;Iberville;2022-10-03;G;Marieville, v;1;Regr. BVO-12;500;135;0;0;0;0;0;0;0;0;0
210;Iberville;2022-10-03;G;Marieville, v;1;Regr. BVO-3;501;110;0;0;0;0;0;0;0;0;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;23;Regr. BVO-42;502;43;0;0;0;0;0;0;0;0;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;24;Regr. BVO-46;503;66;0;0;0;0;0;0;0;0;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;25;Regr. BVO-50A;504;50;0;0;0;0;0;0;0;0;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;25;Regr. BVO-53;505;62;0;0;0;0;0;0;0;0;0
210;Iberville;2022-10-03;G;Saint-Jean-sur-Richelieu, v;26;Regr. BVO-58;506;175;0;0;0;0;0;0;0;0;0
210;Iberville;2022-10-03;G;Saint-Césaire, v;1;Regr. BVO-116;507;66;0;0;0;0;0;0;0;0;0
210;Iberville;2022-10-03;G;BVA1: SV no 21, 103, 109, 112, 118, 121, 127;;;;0;350;2;37;1;66;56;21;533;4
210;Iberville;2022-10-03;G;BVA2: SV no 18, 104, 110, 113, 120, 123, 128;;;;0;325;2;54;1;67;58;18;525;7
210;Iberville;2022-10-03;G;BVA3: SV no 19, 105 à 106, 111, 114, 119, 124;;;;0;324;2;52;0;57;48;20;503;6
210;Iberville;2022-10-03;G;BVA4: SV no 1, 20, 101, 107, 115, 117, 125;;;;0;374;2;33;0;73;33;31;546;1
210;Iberville;2022-10-03;G;BVA5: SV no 5, 10, 25 à 26, 32, 98 à 99;;;;0;299;3;39;0;66;50;16;473;5
210;Iberville;2022-10-03;G;BVA6: SV no 4, 7, 13, 22, 27, 100;;;;0;253;2;29;1;50;54;14;403;3
210;Iberville;2022-10-03;G;BVA7: SV no 3, 9, 11 à 12, 23, 28 à 29;;;;0;291;1;25;0;70;53;31;471;8
210;Iberville;2022-10-03;G;BVA8: SV no 14 à 16, 24, 30, 36, 61;;;;0;351;1;49;2;70;55;16;544;2
210;Iberville;2022-10-03;G;BVA9: SV no 8, 17, 31, 33 à 34, 97;;;;0;236;2;25;0;67;56;17;403;5
210;Iberville;2022-10-03;G;BVA10: SV no 74, 76, 79, 82, 85, 88, 91, 93;;;;0;267;2;43;3;48;34;32;429;2
210;Iberville;2022-10-03;G;BVA11: SV no 75, 78, 80, 84, 86, 89, 92, 95;;;;0;369;1;51;0;93;37;54;605;3
210;Iberville;2022-10-03;G;BVA12: SV no 77, 81, 83, 87, 90, 94, 96;;;;0;306;3;39;0;52;22;26;448;2
210;Iberville;2022-10-03;G;BVA13: SV no 35, 44, 50, 56, 63, 69, 73;;;;0;455;1;62;1;82;64;33;698;10
210;Iberville;2022-10-03;G;BVA14: SV no 2, 6, 102, 108, 116, 122, 126;;;;0;335;0;57;1;66;43;22;524;7
210;Iberville;2022-10-03;G;BVA15: SV no 37, 45 à 46, 52, 57 à 58, 65, 71;;;;0;443;1;51;0;91;61;38;685;4
210;Iberville;2022-10-03;G;BVA16: SV no 38, 40 à 41, 49, 53, 66, 70;;;;0;404;0;33;1;88;55;29;610;7
210;Iberville;2022-10-03;G;BVA17: SV no 39, 42, 48, 51, 54, 60, 67;;;;0;490;1;43;1;91;67;33;726;5
210;Iberville;2022-10-03;G;BVA18: SV no 43, 47, 55, 59, 62, 64, 68, 72;;;;0;428;2;43;2;100;76;55;706;4
210;Iberville;2022-10-03;G;Vote en installation d'hébergement;;;;0;246;2;13;6;31;12;52;362;18
210;Iberville;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;35;3;3;4;8;3;12;68;6
210;Iberville;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;334;0;55;2;63;60;31;545;8
210;Iberville;2022-10-03;G;Vote hors circonscription;;;;0;110;2;17;0;51;180;14;374;20
210;Iberville;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;5;0;0;0;0;0;0;0;0;0
