Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudet Virginie P.V.Q./G.P.Q.;Beauregard Chantal P.Q.;Fischer Arthur P.C.Q./C.P.Q;Fortier Louis-Charles P.C.Q-E.E.D.;Guénard-Chouinard Rébecca C.A.Q.-E.F.L.;Kelley Gregory P.L.Q./Q.L.P.;Mathieu Marie-Ève Q.S.;B.V.;B.R.
310;Jacques-Cartier;2022-10-03;G;Senneville, vl;1;;1;364;6;10;3;30;12;90;8;159;1
310;Jacques-Cartier;2022-10-03;G;Senneville, vl;1;;2;378;7;5;6;20;27;65;8;138;0
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;1;;3;394;4;2;10;24;26;97;7;170;1
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;1;;4;373;8;1;9;21;21;102;9;171;1
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;1;;5;383;4;6;9;19;15;102;9;164;1
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;1;;6A;233;3;0;2;11;9;69;3;97;1
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;1;;6B;229;3;7;2;9;23;68;3;115;1
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;2;;7;261;5;6;4;15;19;52;14;115;2
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;3;;8;380;3;15;12;19;20;51;19;139;1
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;3;;9;407;10;8;7;17;19;73;29;163;1
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;3;;10;391;9;2;9;15;30;77;12;154;3
310;Jacques-Cartier;2022-10-03;G;Sainte-Anne-de-Bellevue, v;3;;11;383;10;4;15;16;12;65;19;141;2
310;Jacques-Cartier;2022-10-03;G;Baie-D'Urfé, v;1;;12;396;10;10;17;18;9;113;8;185;1
310;Jacques-Cartier;2022-10-03;G;Baie-D'Urfé, v;1;;13;395;9;3;6;19;11;98;7;153;1
310;Jacques-Cartier;2022-10-03;G;Baie-D'Urfé, v;1;;14;408;13;4;9;17;18;121;9;191;0
310;Jacques-Cartier;2022-10-03;G;Baie-D'Urfé, v;1;;15;391;12;3;11;20;12;109;6;173;0
310;Jacques-Cartier;2022-10-03;G;Baie-D'Urfé, v;1;;16;394;4;1;16;24;16;101;8;170;1
310;Jacques-Cartier;2022-10-03;G;Baie-D'Urfé, v;1;;17;396;15;4;7;24;11;119;5;185;1
310;Jacques-Cartier;2022-10-03;G;Baie-D'Urfé, v;1;;18;398;3;3;10;29;10;114;5;174;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;1;;19;360;5;5;15;30;20;66;3;144;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;1;;20;365;4;6;7;36;2;96;1;152;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;1;;21;366;6;2;5;40;14;101;4;172;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;1;;22;349;11;7;9;25;6;102;8;168;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;1;;23;339;8;7;7;15;8;102;4;151;2
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;1;;24;378;8;3;20;29;14;121;10;205;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;1;;25;359;7;1;9;28;14;93;10;162;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;2;;26;388;6;7;13;18;8;121;8;181;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;2;;27;382;10;7;10;12;15;127;10;191;3
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;2;;28;412;9;5;9;21;11;108;4;167;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;2;;29;395;10;2;9;23;12;74;3;133;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;2;;30;393;12;4;15;18;12;101;2;164;2
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;2;;31;407;14;2;1;21;6;108;7;159;2
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;3;;32;373;15;4;3;13;10;108;9;162;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;3;;33;361;4;2;6;21;16;97;8;154;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;3;;34;366;6;1;4;41;15;113;9;189;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;3;;35;364;3;8;19;14;2;119;3;168;2
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;4;;36;383;6;3;6;25;17;108;5;170;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;4;;37;384;11;3;11;17;16;92;10;160;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;4;;38;356;9;2;13;6;10;113;8;161;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;4;;39;357;9;2;13;20;18;93;9;164;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;4;;40;363;8;2;5;20;8;106;7;156;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;4;;41;367;10;6;6;24;4;97;12;159;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;4;;42;380;5;4;7;15;19;94;16;160;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;5;;43;312;6;3;12;21;7;86;4;139;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;5;;44;324;11;2;13;20;15;62;6;129;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;5;;45;296;3;1;5;19;9;58;3;98;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;6;;46;381;9;9;10;18;11;117;10;184;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;6;;47;384;3;8;8;37;18;109;14;197;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;6;;48;372;3;2;8;23;13;87;7;143;4
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;6;;49;362;4;12;11;20;16;79;20;162;0
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;6;;50;366;8;5;5;16;16;99;15;164;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;6;;51;360;9;5;21;23;21;103;13;195;1
310;Jacques-Cartier;2022-10-03;G;Beaconsfield, v;7;;52;343;6;0;8;19;5;117;6;161;1
