Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bérubé-Simard Félix-Antoine P.V.Q./G.P.Q.;Gamache Christiane C.A.Q.-E.F.L.;Ledoux Mario C.Q.;Moreau Claude P.M.L.Q.;Perreault Lucie D.D.;Peter Denise P.C.Q-E.E.D.;Potvin Michaël P.Q.;Robert Charles P.L.Q./Q.L.P.;Zanetti Sol Q.S.;B.V.;B.R.
736;Jean-Lesage;2022-10-03;G;Québec, v;59;;1;371;2;19;0;0;0;12;11;4;95;143;4
736;Jean-Lesage;2022-10-03;G;Québec, v;59;;2;366;0;40;1;0;0;20;13;4;87;165;1
736;Jean-Lesage;2022-10-03;G;Québec, v;59;;3;368;0;19;1;0;0;29;15;5;89;158;3
736;Jean-Lesage;2022-10-03;G;Québec, v;59;;4;363;0;42;1;0;0;10;20;1;101;175;0
736;Jean-Lesage;2022-10-03;G;Québec, v;59;;5;416;2;39;0;0;1;20;25;5;80;172;4
736;Jean-Lesage;2022-10-03;G;Québec, v;59;;6;370;1;19;0;0;0;13;16;5;114;168;1
736;Jean-Lesage;2022-10-03;G;Québec, v;59;;7;380;1;26;0;0;0;8;16;5;119;175;0
736;Jean-Lesage;2022-10-03;G;Québec, v;59;;8;372;0;18;0;1;0;12;16;3;110;160;0
736;Jean-Lesage;2022-10-03;G;Québec, v;59;;9;356;0;20;0;1;0;11;17;2;86;137;2
736;Jean-Lesage;2022-10-03;G;Québec, v;60;;10;353;1;18;0;0;0;12;21;4;97;153;1
736;Jean-Lesage;2022-10-03;G;Québec, v;60;;11;353;1;30;0;0;0;9;23;6;105;174;2
736;Jean-Lesage;2022-10-03;G;Québec, v;60;;12;345;0;30;0;0;0;5;12;5;93;145;1
736;Jean-Lesage;2022-10-03;G;Québec, v;60;;13;346;3;20;0;0;0;23;13;2;85;146;2
736;Jean-Lesage;2022-10-03;G;Québec, v;60;;14;340;2;24;0;0;0;17;16;3;111;173;1
736;Jean-Lesage;2022-10-03;G;Québec, v;61;;15;362;1;26;0;0;0;11;19;3;109;169;2
736;Jean-Lesage;2022-10-03;G;Québec, v;61;;16;405;0;31;0;0;0;10;16;2;115;174;4
736;Jean-Lesage;2022-10-03;G;Québec, v;61;;17;397;2;18;0;1;0;10;24;4;143;202;2
736;Jean-Lesage;2022-10-03;G;Québec, v;61;;18;377;3;27;0;0;0;11;13;3;132;189;2
736;Jean-Lesage;2022-10-03;G;Québec, v;61;;19;408;0;31;0;0;0;19;20;5;110;185;1
736;Jean-Lesage;2022-10-03;G;Québec, v;61;;20;385;0;19;0;0;0;14;15;6;92;146;2
736;Jean-Lesage;2022-10-03;G;Québec, v;62;;21;425;1;55;0;1;3;31;19;5;86;201;3
736;Jean-Lesage;2022-10-03;G;Québec, v;62;;22A;217;1;16;0;0;0;7;8;2;68;102;1
736;Jean-Lesage;2022-10-03;G;Québec, v;62;;22B;221;0;27;0;2;0;7;6;4;62;108;2
736;Jean-Lesage;2022-10-03;G;Québec, v;62;;23;332;0;24;0;0;2;25;16;3;84;154;1
736;Jean-Lesage;2022-10-03;G;Québec, v;62;;24;366;0;32;0;0;0;19;10;5;56;122;1
736;Jean-Lesage;2022-10-03;G;Québec, v;62;;25;336;1;28;0;1;0;21;18;9;64;142;3
736;Jean-Lesage;2022-10-03;G;Québec, v;62;;26;386;2;28;1;2;0;23;26;2;91;175;4
736;Jean-Lesage;2022-10-03;G;Québec, v;62;;27;335;3;25;0;0;1;21;9;4;57;120;2
