Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Olivier Q.S.;Boutin Joëlle C.A.Q.-E.F.L.;Cardinal Julien C.Q.;Clavet Sébastien P.C.Q-E.E.D.;Coulombe Gabriel P.Q.;Dallaire Alexandre P.V.Q./G.P.Q.;Pouleur Stéphane E.A.;White Julie P.L.Q./Q.L.P.;B.V.;B.R.
702;Jean-Talon;2022-10-03;G;Québec, v;21;;1;398;44;38;1;20;35;0;0;20;158;4
702;Jean-Talon;2022-10-03;G;Québec, v;21;;2;421;44;48;0;36;27;0;0;24;179;2
702;Jean-Talon;2022-10-03;G;Québec, v;21;;3;419;55;76;0;17;49;2;0;27;226;1
702;Jean-Talon;2022-10-03;G;Québec, v;21;;4;417;72;64;0;20;44;2;0;24;226;3
702;Jean-Talon;2022-10-03;G;Québec, v;22;;5;370;43;59;1;29;17;2;1;23;175;1
702;Jean-Talon;2022-10-03;G;Québec, v;22;;6;362;29;64;0;29;25;2;0;18;167;4
702;Jean-Talon;2022-10-03;G;Québec, v;22;;7;333;39;48;1;21;24;3;0;17;153;1
702;Jean-Talon;2022-10-03;G;Québec, v;22;;8;366;56;65;1;18;45;0;0;29;214;0
702;Jean-Talon;2022-10-03;G;Québec, v;22;;9;367;53;72;1;19;44;0;0;33;222;3
702;Jean-Talon;2022-10-03;G;Québec, v;22;;10;326;42;47;0;25;20;0;0;21;155;2
702;Jean-Talon;2022-10-03;G;Québec, v;22;;11;372;49;45;2;13;13;3;0;22;147;1
702;Jean-Talon;2022-10-03;G;Québec, v;22;;12;335;35;30;0;25;20;0;0;24;134;3
702;Jean-Talon;2022-10-03;G;Québec, v;23;;13;380;19;58;1;11;18;2;1;12;122;3
702;Jean-Talon;2022-10-03;G;Québec, v;23;;14;405;48;57;0;30;23;2;1;16;177;2
702;Jean-Talon;2022-10-03;G;Québec, v;23;;15;399;40;55;0;14;32;0;0;40;181;5
702;Jean-Talon;2022-10-03;G;Québec, v;23;;16;426;65;48;0;25;32;3;0;29;202;0
702;Jean-Talon;2022-10-03;G;Québec, v;23;;17;365;53;42;0;26;39;3;0;28;191;1
702;Jean-Talon;2022-10-03;G;Québec, v;23;;18;395;31;62;0;26;40;1;1;30;191;1
702;Jean-Talon;2022-10-03;G;Québec, v;23;;19;388;44;60;1;30;47;3;0;21;206;1
702;Jean-Talon;2022-10-03;G;Québec, v;23;;20;391;38;61;0;29;34;2;0;19;183;3
702;Jean-Talon;2022-10-03;G;Québec, v;24;;21;405;39;42;1;21;18;2;0;19;142;4
702;Jean-Talon;2022-10-03;G;Québec, v;24;;22;402;63;27;0;22;9;2;0;27;150;2
702;Jean-Talon;2022-10-03;G;Québec, v;24;;23;388;54;65;1;20;25;2;0;28;195;2
702;Jean-Talon;2022-10-03;G;Québec, v;24;;24;368;32;46;1;22;25;4;0;14;144;0
702;Jean-Talon;2022-10-03;G;Québec, v;24;;25;421;38;85;1;23;29;1;0;25;202;1
702;Jean-Talon;2022-10-03;G;Québec, v;24;;26A;224;38;25;0;9;12;0;0;14;98;5
702;Jean-Talon;2022-10-03;G;Québec, v;24;;26B;239;29;27;1;14;18;3;0;18;110;2
702;Jean-Talon;2022-10-03;G;Québec, v;24;;27;387;56;52;0;24;20;5;0;23;180;2
702;Jean-Talon;2022-10-03;G;Québec, v;24;;28;397;39;57;1;18;28;0;0;33;176;3
702;Jean-Talon;2022-10-03;G;Québec, v;25;;29;372;37;45;1;9;39;1;0;20;152;2
702;Jean-Talon;2022-10-03;G;Québec, v;25;;30;355;25;36;0;22;20;1;1;26;131;3
702;Jean-Talon;2022-10-03;G;Québec, v;25;;31;376;47;45;1;15;25;4;1;15;153;0
702;Jean-Talon;2022-10-03;G;Québec, v;25;;32;385;37;32;0;19;22;1;0;29;140;1
702;Jean-Talon;2022-10-03;G;Québec, v;25;;33;374;61;30;0;17;16;0;0;24;148;2
702;Jean-Talon;2022-10-03;G;Québec, v;25;;34;363;50;40;1;13;21;1;0;17;143;2
702;Jean-Talon;2022-10-03;G;Québec, v;25;;35;398;55;31;1;24;14;2;1;13;141;2
702;Jean-Talon;2022-10-03;G;Québec, v;26;;36;342;43;22;0;28;11;0;0;15;119;1
702;Jean-Talon;2022-10-03;G;Québec, v;26;;37;337;41;39;0;26;21;3;1;16;147;2
702;Jean-Talon;2022-10-03;G;Québec, v;26;;38;349;35;45;1;25;22;5;1;15;149;3
702;Jean-Talon;2022-10-03;G;Québec, v;26;;39;381;51;62;1;23;20;2;0;29;188;2
702;Jean-Talon;2022-10-03;G;Québec, v;26;;40;352;42;41;1;11;22;6;0;29;152;2
702;Jean-Talon;2022-10-03;G;Québec, v;26;;41;366;46;50;1;22;32;2;0;25;178;4
702;Jean-Talon;2022-10-03;G;Québec, v;26;;42;351;60;21;1;23;11;2;0;23;141;2
702;Jean-Talon;2022-10-03;G;Québec, v;27;;43;362;28;44;1;12;28;1;0;22;136;4
702;Jean-Talon;2022-10-03;G;Québec, v;27;;44;374;40;43;1;24;19;0;0;30;157;1
702;Jean-Talon;2022-10-03;G;Québec, v;27;;45;345;48;27;1;28;11;3;0;29;147;4
702;Jean-Talon;2022-10-03;G;Québec, v;27;;46;304;24;24;0;11;29;0;1;11;100;1
702;Jean-Talon;2022-10-03;G;Québec, v;27;;47;390;30;44;0;15;31;2;0;10;132;2
702;Jean-Talon;2022-10-03;G;Québec, v;27;;48;385;30;42;1;15;18;2;0;24;132;1
702;Jean-Talon;2022-10-03;G;Québec, v;27;;49;368;35;52;0;17;35;1;0;7;147;1
702;Jean-Talon;2022-10-03;G;Québec, v;27;;50;387;44;37;2;23;38;2;1;20;167;2
702;Jean-Talon;2022-10-03;G;Québec, v;27;;51;353;30;50;0;26;31;0;0;18;155;1
702;Jean-Talon;2022-10-03;G;Québec, v;27;;52;355;44;36;1;7;32;0;0;15;135;2
702;Jean-Talon;2022-10-03;G;Québec, v;28;;53;342;78;17;0;13;14;0;1;7;130;2
702;Jean-Talon;2022-10-03;G;Québec, v;28;;54;344;72;40;0;15;11;0;1;10;149;2
702;Jean-Talon;2022-10-03;G;Québec, v;28;;55;343;66;31;1;14;17;4;0;11;144;5
702;Jean-Talon;2022-10-03;G;Québec, v;28;;56;378;70;28;0;19;23;1;0;13;154;3
702;Jean-Talon;2022-10-03;G;Québec, v;28;;57;336;66;26;0;11;26;0;0;6;135;1
702;Jean-Talon;2022-10-03;G;Québec, v;28;;58;322;52;31;0;21;14;1;1;13;133;0
702;Jean-Talon;2022-10-03;G;Québec, v;29;;59;358;59;47;1;9;27;5;2;22;172;1
702;Jean-Talon;2022-10-03;G;Québec, v;29;;60;354;62;36;2;8;42;2;0;8;160;2
702;Jean-Talon;2022-10-03;G;Québec, v;29;;61;350;39;51;0;11;39;3;0;18;161;1
702;Jean-Talon;2022-10-03;G;Québec, v;29;;62A;288;50;24;0;16;17;0;1;15;123;1
702;Jean-Talon;2022-10-03;G;Québec, v;29;;62B;303;39;32;0;15;21;0;2;28;137;2
702;Jean-Talon;2022-10-03;G;Québec, v;29;;63;361;42;35;0;16;35;4;2;17;151;0
702;Jean-Talon;2022-10-03;G;Québec, v;29;;64;324;25;26;1;12;18;2;0;7;91;1
702;Jean-Talon;2022-10-03;G;Québec, v;30;;65;388;31;40;1;17;21;0;0;14;124;5
702;Jean-Talon;2022-10-03;G;Québec, v;30;;66;381;23;93;0;9;33;0;0;21;179;4
702;Jean-Talon;2022-10-03;G;Québec, v;30;;67;349;25;111;0;9;66;0;0;49;260;4
702;Jean-Talon;2022-10-03;G;Québec, v;31;;68;372;41;33;0;8;18;1;0;9;110;1
702;Jean-Talon;2022-10-03;G;Québec, v;31;;69;385;32;46;0;9;33;3;0;21;144;1
702;Jean-Talon;2022-10-03;G;Québec, v;31;;70;362;42;37;0;10;28;1;0;14;132;1
702;Jean-Talon;2022-10-03;G;Québec, v;31;;71;389;35;49;0;20;24;0;0;18;146;0
702;Jean-Talon;2022-10-03;G;Québec, v;31;;72;385;18;49;0;24;19;1;0;29;140;0
702;Jean-Talon;2022-10-03;G;Québec, v;31;;73A;241;15;20;0;18;11;0;0;10;74;0
702;Jean-Talon;2022-10-03;G;Québec, v;31;;73B;230;11;30;0;19;15;0;0;8;83;0
702;Jean-Talon;2022-10-03;G;Québec, v;31;;74;360;57;17;0;10;14;3;1;17;119;1
702;Jean-Talon;2022-10-03;G;Québec, v;31;;75;362;43;21;1;19;14;1;2;19;120;1
702;Jean-Talon;2022-10-03;G;Québec, v;31;;76A;233;19;31;0;9;15;0;1;10;85;0
702;Jean-Talon;2022-10-03;G;Québec, v;31;;76B;225;23;27;0;9;17;1;0;13;90;3
702;Jean-Talon;2022-10-03;G;Québec, v;31;;77;352;28;31;0;23;19;2;0;20;123;0
702;Jean-Talon;2022-10-03;G;Québec, v;32;;78;379;46;51;0;11;39;2;0;46;195;0
702;Jean-Talon;2022-10-03;G;Québec, v;32;;79;402;54;56;0;21;51;3;0;38;223;1
702;Jean-Talon;2022-10-03;G;Québec, v;32;;80;399;41;62;0;15;37;0;0;39;194;1
702;Jean-Talon;2022-10-03;G;Québec, v;32;;81;352;62;39;0;21;17;2;0;10;151;5
702;Jean-Talon;2022-10-03;G;Québec, v;32;;82;339;27;49;1;26;20;0;2;23;148;0
702;Jean-Talon;2022-10-03;G;Québec, v;32;;83;379;54;49;1;32;46;3;1;26;212;2
702;Jean-Talon;2022-10-03;G;Québec, v;32;;84;381;40;46;0;22;44;3;0;34;189;2
702;Jean-Talon;2022-10-03;G;Québec, v;32;;85;390;31;81;2;16;40;5;0;37;212;2
702;Jean-Talon;2022-10-03;G;Québec, v;33;;86;382;27;56;0;13;36;3;0;28;163;1
702;Jean-Talon;2022-10-03;G;Québec, v;33;;87;369;36;61;1;13;36;1;0;56;204;1
702;Jean-Talon;2022-10-03;G;Québec, v;33;;88;378;40;48;0;19;45;1;0;30;183;0
702;Jean-Talon;2022-10-03;G;Québec, v;33;;89;369;50;58;1;13;51;2;1;38;214;1
702;Jean-Talon;2022-10-03;G;Québec, v;33;;90;352;49;51;1;25;37;1;0;21;185;1
702;Jean-Talon;2022-10-03;G;Québec, v;33;;91;383;38;38;0;34;45;0;0;39;194;3
702;Jean-Talon;2022-10-03;G;Québec, v;33;;92;398;59;50;0;16;42;2;0;17;186;2
702;Jean-Talon;2022-10-03;G;Québec, v;33;;93;386;32;62;0;18;32;1;0;23;168;2
702;Jean-Talon;2022-10-03;G;Québec, v;34;;94A;300;37;41;0;14;16;0;0;20;128;0
702;Jean-Talon;2022-10-03;G;Québec, v;34;;94B;291;49;32;0;11;17;0;0;11;120;2
702;Jean-Talon;2022-10-03;G;Québec, v;34;;95;369;34;56;1;8;55;0;0;25;179;4
702;Jean-Talon;2022-10-03;G;Québec, v;34;;96;358;39;46;3;19;31;3;0;23;164;0
702;Jean-Talon;2022-10-03;G;Québec, v;34;;97;382;49;33;0;19;37;1;1;35;175;2
702;Jean-Talon;2022-10-03;G;Québec, v;34;;98;376;28;69;0;25;40;1;1;31;195;3
702;Jean-Talon;2022-10-03;G;Québec, v;34;;99;372;41;53;0;21;26;5;1;41;188;1
702;Jean-Talon;2022-10-03;G;Québec, v;34;;100;358;42;41;0;19;30;1;0;35;168;0
702;Jean-Talon;2022-10-03;G;Québec, v;34;;101;360;21;54;0;6;29;1;0;34;145;2
702;Jean-Talon;2022-10-03;G;Québec, v;35;;102;386;33;57;0;16;36;1;0;32;175;0
702;Jean-Talon;2022-10-03;G;Québec, v;35;;103A;208;15;31;0;5;18;0;0;14;83;1
702;Jean-Talon;2022-10-03;G;Québec, v;35;;103B;219;5;31;0;5;26;0;0;11;78;0
702;Jean-Talon;2022-10-03;G;Québec, v;35;;104;423;24;70;2;23;42;3;0;19;183;0
702;Jean-Talon;2022-10-03;G;Québec, v;35;;105;396;21;61;2;15;40;1;0;31;171;1
702;Jean-Talon;2022-10-03;G;Québec, v;35;;106A;202;31;28;0;3;26;1;0;20;109;1
702;Jean-Talon;2022-10-03;G;Québec, v;35;;106B;234;29;36;0;6;14;0;0;15;100;1
702;Jean-Talon;2022-10-03;G;Québec, v;36;;107;372;71;54;1;6;33;7;0;19;191;1
702;Jean-Talon;2022-10-03;G;Québec, v;36;;108;409;33;42;0;16;35;1;0;28;155;1
702;Jean-Talon;2022-10-03;G;Québec, v;36;;109;410;64;44;0;14;49;0;0;28;199;0
702;Jean-Talon;2022-10-03;G;Québec, v;36;;110;366;55;33;0;6;46;0;0;29;169;0
702;Jean-Talon;2022-10-03;G;Québec, v;36;;111;380;94;37;0;14;60;2;0;19;226;1
702;Jean-Talon;2022-10-03;G;Québec, v;36;;112;386;63;40;2;11;47;3;0;30;196;1
702;Jean-Talon;2022-10-03;G;Québec, v;37;;113;363;24;27;0;7;26;1;0;13;98;0
702;Jean-Talon;2022-10-03;G;Québec, v;37;;114;376;73;36;0;14;40;1;0;19;183;1
702;Jean-Talon;2022-10-03;G;Québec, v;37;;115;418;47;52;0;11;45;0;0;26;181;1
702;Jean-Talon;2022-10-03;G;Québec, v;37;;116;369;14;36;0;6;20;0;0;13;89;0
702;Jean-Talon;2022-10-03;G;Québec, v;37;;117;387;40;48;1;16;40;3;0;39;187;2
702;Jean-Talon;2022-10-03;G;Québec, v;21;Regr. BVO-4;500;58;0;0;0;0;0;0;0;0;0;0
702;Jean-Talon;2022-10-03;G;Québec, v;27;Regr. BVO-51;501;215;0;0;0;0;0;0;0;0;0;0
702;Jean-Talon;2022-10-03;G;Québec, v;28;Regr. BVO-54;502;364;0;0;0;0;0;0;0;0;0;0
702;Jean-Talon;2022-10-03;G;Québec, v;28;Regr. BVO-53;503;44;0;0;0;0;0;0;0;0;0;0
702;Jean-Talon;2022-10-03;G;Québec, v;29;Regr. BVO-112;504;108;0;0;0;0;0;0;0;0;0;0
702;Jean-Talon;2022-10-03;G;Québec, v;30;Regr. BVO-67;505;93;0;0;0;0;0;0;0;0;0;0
702;Jean-Talon;2022-10-03;G;Québec, v;33;Regr. BVO-86;506;165;0;0;0;0;0;0;0;0;0;0
