Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Courtemanche Cindy D.D.;Daneau Luce P.C.Q-E.E.D.;Lamontagne André C.A.Q.-E.F.L.;Mongeau Nancy Q.S.;Poirier Jérémie P.Q.;Younoussa Mounirou P.L.Q./Q.L.P.;B.V.;B.R.
126;Johnson;2022-10-03;G;Drummondville, v;10;;1;393;1;28;84;23;23;5;164;1
126;Johnson;2022-10-03;G;Drummondville, v;10;;2;388;1;33;92;19;43;7;195;1
126;Johnson;2022-10-03;G;Drummondville, v;10;;3;393;3;55;85;22;44;3;212;6
126;Johnson;2022-10-03;G;Drummondville, v;10;;4;377;4;46;83;28;21;4;186;5
126;Johnson;2022-10-03;G;Drummondville, v;10;;5;397;3;50;113;28;27;4;225;5
126;Johnson;2022-10-03;G;Drummondville, v;10;;6;382;1;42;88;15;25;4;175;4
126;Johnson;2022-10-03;G;Drummondville, v;10;;7;380;0;36;71;26;34;5;172;9
126;Johnson;2022-10-03;G;Drummondville, v;10;;8;380;2;24;75;20;29;13;163;2
126;Johnson;2022-10-03;G;Drummondville, v;10;;9;430;0;26;89;40;26;8;189;3
126;Johnson;2022-10-03;G;Drummondville, v;10;;10;398;1;20;62;30;34;11;158;3
126;Johnson;2022-10-03;G;Drummondville, v;10;;11A;249;1;24;21;42;10;4;102;4
126;Johnson;2022-10-03;G;Drummondville, v;10;;11B;238;0;17;21;34;9;7;88;2
126;Johnson;2022-10-03;G;Drummondville, v;10;;12;392;2;27;61;36;22;14;162;1
126;Johnson;2022-10-03;G;Drummondville, v;10;;13;373;1;30;82;16;23;5;157;3
126;Johnson;2022-10-03;G;Drummondville, v;10;;14;381;1;17;83;30;33;7;171;2
126;Johnson;2022-10-03;G;Drummondville, v;11;;15;358;1;14;126;32;20;6;199;2
126;Johnson;2022-10-03;G;Drummondville, v;11;;16;368;5;16;85;26;27;11;170;5
126;Johnson;2022-10-03;G;Drummondville, v;11;;17;347;1;35;53;18;22;4;133;2
126;Johnson;2022-10-03;G;Drummondville, v;11;;18;346;1;20;65;26;29;4;145;2
126;Johnson;2022-10-03;G;Drummondville, v;11;;19;354;0;21;52;19;21;11;124;5
126;Johnson;2022-10-03;G;Drummondville, v;11;;20;350;2;24;55;21;19;4;125;2
126;Johnson;2022-10-03;G;Drummondville, v;11;;21;347;0;22;66;29;27;7;151;0
126;Johnson;2022-10-03;G;Drummondville, v;12;;22;357;0;26;46;45;15;4;136;2
126;Johnson;2022-10-03;G;Drummondville, v;12;;23;353;3;38;79;32;32;4;188;2
126;Johnson;2022-10-03;G;Drummondville, v;12;;24;418;0;27;65;41;24;20;177;4
126;Johnson;2022-10-03;G;Drummondville, v;12;;25;360;0;30;79;37;28;7;181;3
126;Johnson;2022-10-03;G;Drummondville, v;12;;26;362;1;38;72;24;25;11;171;3
126;Johnson;2022-10-03;G;Drummondville, v;13;;27;381;0;17;86;24;11;5;143;6
126;Johnson;2022-10-03;G;Drummondville, v;13;;28;396;0;19;64;35;31;8;157;2
126;Johnson;2022-10-03;G;Drummondville, v;13;;29;372;3;27;66;38;32;7;173;2
126;Johnson;2022-10-03;G;Drummondville, v;13;;30;405;1;27;99;19;23;2;171;5
126;Johnson;2022-10-03;G;Drummondville, v;13;;31;375;2;24;65;20;33;9;153;4
126;Johnson;2022-10-03;G;Drummondville, v;13;;32;365;0;19;67;18;23;6;133;0
126;Johnson;2022-10-03;G;Drummondville, v;13;;33;406;1;35;60;36;28;6;166;3
126;Johnson;2022-10-03;G;Drummondville, v;14;;34;401;3;24;87;26;18;6;164;6
126;Johnson;2022-10-03;G;Drummondville, v;14;;35;403;0;23;72;28;22;3;148;6
126;Johnson;2022-10-03;G;Drummondville, v;14;;36;396;0;22;85;26;15;5;153;4
126;Johnson;2022-10-03;G;Drummondville, v;14;;37;402;1;17;99;29;19;10;175;3
126;Johnson;2022-10-03;G;Drummondville, v;14;;38;398;1;31;105;19;25;6;187;2
126;Johnson;2022-10-03;G;Drummondville, v;15;;39;380;2;31;59;25;21;9;147;2
126;Johnson;2022-10-03;G;Drummondville, v;15;;40;381;0;21;73;23;21;3;141;6
126;Johnson;2022-10-03;G;Drummondville, v;15;;41;392;2;24;49;17;19;1;112;3
126;Johnson;2022-10-03;G;Drummondville, v;15;;42;389;2;19;41;35;19;3;119;5
126;Johnson;2022-10-03;G;Drummondville, v;15;;43;379;1;21;39;22;14;3;100;3
126;Johnson;2022-10-03;G;Drummondville, v;15;;44;379;3;24;52;28;20;6;133;4
126;Johnson;2022-10-03;G;Drummondville, v;16;;45;368;2;24;38;21;7;5;97;6
126;Johnson;2022-10-03;G;Drummondville, v;16;;46;379;1;17;44;19;10;4;95;5
126;Johnson;2022-10-03;G;Drummondville, v;16;;47;379;1;28;46;8;23;3;109;2
126;Johnson;2022-10-03;G;Drummondville, v;16;;48;374;0;20;54;28;18;2;122;2
126;Johnson;2022-10-03;G;Drummondville, v;16;;49;366;0;32;49;25;24;6;136;3
126;Johnson;2022-10-03;G;Drummondville, v;16;;50;371;0;29;61;31;27;8;156;2
126;Johnson;2022-10-03;G;Drummondville, v;17;;51;383;0;21;73;24;26;8;152;2
126;Johnson;2022-10-03;G;Drummondville, v;17;;52;369;1;20;81;36;22;6;166;5
126;Johnson;2022-10-03;G;Drummondville, v;17;;53;390;4;27;47;21;18;9;126;5
126;Johnson;2022-10-03;G;Drummondville, v;17;;54;391;1;21;86;20;43;7;178;3
126;Johnson;2022-10-03;G;Drummondville, v;17;;55;391;2;22;51;29;22;1;127;7
126;Johnson;2022-10-03;G;Drummondville, v;17;;56;351;2;27;55;25;23;2;134;3
126;Johnson;2022-10-03;G;Drummondville, v;17;;57;372;0;19;96;24;25;11;175;1
126;Johnson;2022-10-03;G;Drummondville, v;18;;58;375;0;19;93;19;18;8;157;2
126;Johnson;2022-10-03;G;Drummondville, v;18;;59;352;0;25;53;25;14;5;122;0
126;Johnson;2022-10-03;G;Drummondville, v;18;;60;369;0;26;68;13;20;5;132;1
126;Johnson;2022-10-03;G;Drummondville, v;18;;61;358;0;14;70;12;8;5;109;1
126;Johnson;2022-10-03;G;Drummondville, v;18;;62;354;0;16;84;22;17;9;148;3
126;Johnson;2022-10-03;G;Drummondville, v;18;;63;379;0;14;105;25;31;10;185;1
126;Johnson;2022-10-03;G;Drummondville, v;18;;64;371;0;20;99;18;15;9;161;4
126;Johnson;2022-10-03;G;Drummondville, v;18;;65;356;0;25;87;30;18;8;168;5
126;Johnson;2022-10-03;G;Drummondville, v;18;;66;379;0;21;113;23;17;7;181;3
126;Johnson;2022-10-03;G;Drummondville, v;18;;67;382;1;38;94;25;14;4;176;3
126;Johnson;2022-10-03;G;Drummondville, v;18;;68;371;1;31;81;30;26;4;173;3
126;Johnson;2022-10-03;G;Drummondville, v;20;;69;388;1;33;72;15;24;4;149;1
126;Johnson;2022-10-03;G;Drummondville, v;20;;70;388;1;29;58;22;22;5;137;1
126;Johnson;2022-10-03;G;Drummondville, v;20;;71;390;2;18;67;23;18;3;131;0
126;Johnson;2022-10-03;G;Drummondville, v;20;;72;374;0;14;104;24;19;7;168;3
126;Johnson;2022-10-03;G;Drummondville, v;20;;73;392;2;28;74;20;24;9;157;1
126;Johnson;2022-10-03;G;Drummondville, v;20;;74;390;0;15;70;32;33;8;158;3
126;Johnson;2022-10-03;G;Drummondville, v;20;;75;405;1;24;110;14;27;5;181;5
126;Johnson;2022-10-03;G;Drummondville, v;20;;76;395;1;25;89;25;31;5;176;3
126;Johnson;2022-10-03;G;Drummondville, v;20;;77;385;1;14;49;37;12;5;118;4
126;Johnson;2022-10-03;G;Drummondville, v;20;;78;392;0;26;91;19;46;4;186;4
126;Johnson;2022-10-03;G;Drummondville, v;20;;79;403;3;28;71;38;24;4;168;4
126;Johnson;2022-10-03;G;L'Avenir, m;1;;80;373;0;51;76;24;31;3;185;7
126;Johnson;2022-10-03;G;L'Avenir, m;1;;81;374;1;49;112;26;33;8;229;6
126;Johnson;2022-10-03;G;L'Avenir, m;1;;82;384;3;26;139;42;27;7;244;4
126;Johnson;2022-10-03;G;Wickham, m;1;;83;392;3;43;80;23;30;2;181;2
126;Johnson;2022-10-03;G;Wickham, m;1;;84;391;1;40;106;28;36;5;216;3
126;Johnson;2022-10-03;G;Wickham, m;1;;85;385;0;40;83;36;29;0;188;5
126;Johnson;2022-10-03;G;Wickham, m;1;;86;382;1;34;102;30;21;10;198;4
126;Johnson;2022-10-03;G;Wickham, m;1;;87;384;0;39;100;17;30;2;188;5
126;Johnson;2022-10-03;G;Lefebvre, m;1;;88;370;5;63;100;28;27;7;230;1
126;Johnson;2022-10-03;G;Lefebvre, m;1;;89;371;2;53;79;27;39;8;208;7
126;Johnson;2022-10-03;G;Durham-Sud, m;1;;90;404;0;54;103;48;31;4;240;7
126;Johnson;2022-10-03;G;Durham-Sud, m;1;;91;397;2;54;97;42;26;12;233;7
126;Johnson;2022-10-03;G;Sainte-Christine, p;1;;92;302;0;41;73;26;20;4;164;4
126;Johnson;2022-10-03;G;Sainte-Christine, p;1;;93;305;0;34;105;18;36;3;196;3
126;Johnson;2022-10-03;G;Roxton, ct;1;;94;420;0;38;117;22;41;10;228;7
126;Johnson;2022-10-03;G;Roxton, ct;1;;95A;232;0;26;49;17;16;7;115;2
126;Johnson;2022-10-03;G;Roxton, ct;1;;95B;197;1;19;54;15;20;3;112;4
126;Johnson;2022-10-03;G;Roxton Falls, vl;1;;96;363;5;29;112;22;38;7;213;1
126;Johnson;2022-10-03;G;Roxton Falls, vl;1;;97;377;0;32;114;23;35;6;210;5
126;Johnson;2022-10-03;G;Roxton Falls, vl;1;;98;374;3;27;137;30;25;3;225;11
126;Johnson;2022-10-03;G;Béthanie, m;1;;99;257;1;26;91;20;33;8;179;4
126;Johnson;2022-10-03;G;Saint-Joachim-de-Shefford, m;1;;100;386;3;34;87;22;49;12;207;3
126;Johnson;2022-10-03;G;Saint-Joachim-de-Shefford, m;1;;101;379;3;39;99;51;53;9;254;2
126;Johnson;2022-10-03;G;Saint-Joachim-de-Shefford, m;1;;102;388;3;38;109;20;33;8;211;2
126;Johnson;2022-10-03;G;Roxton Pond, m;1;;103;384;0;34;100;29;11;5;179;1
126;Johnson;2022-10-03;G;Roxton Pond, m;1;;104;382;3;39;83;35;12;5;177;7
126;Johnson;2022-10-03;G;Roxton Pond, m;1;;105;390;2;36;79;30;25;5;177;4
126;Johnson;2022-10-03;G;Roxton Pond, m;1;;106;392;2;52;68;11;21;11;165;4
126;Johnson;2022-10-03;G;Roxton Pond, m;1;;107;407;0;24;92;25;24;8;173;3
126;Johnson;2022-10-03;G;Roxton Pond, m;1;;108;413;1;27;72;41;28;3;172;4
126;Johnson;2022-10-03;G;Roxton Pond, m;1;;109;385;1;28;73;24;25;7;158;4
126;Johnson;2022-10-03;G;Roxton Pond, m;1;;110;395;0;27;88;16;25;7;163;0
126;Johnson;2022-10-03;G;Roxton Pond, m;1;;111;383;0;13;76;25;19;4;137;6
126;Johnson;2022-10-03;G;Sainte-Cécile-de-Milton, m;1;;112;420;1;30;130;40;57;2;260;2
126;Johnson;2022-10-03;G;Sainte-Cécile-de-Milton, m;1;;113;408;3;40;93;22;28;8;194;5
126;Johnson;2022-10-03;G;Sainte-Cécile-de-Milton, m;1;;114;406;0;53;100;21;37;2;213;8
126;Johnson;2022-10-03;G;Sainte-Cécile-de-Milton, m;1;;115;408;1;54;98;20;34;6;213;7
126;Johnson;2022-10-03;G;Saint-Valérien-de-Milton, m;1;;116;340;0;34;114;31;21;5;205;9
126;Johnson;2022-10-03;G;Saint-Valérien-de-Milton, m;1;;117;371;0;30;114;26;41;4;215;2
126;Johnson;2022-10-03;G;Saint-Valérien-de-Milton, m;1;;118;349;2;29;118;27;37;6;219;5
126;Johnson;2022-10-03;G;Saint-Valérien-de-Milton, m;1;;119;374;3;29;120;21;35;9;217;2
