Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Almeida Ernesto P.C.Q-E.E.D.;Ano-Dumas Thomas P.L.Q./Q.L.P.;Lefebvre Martin Q.S.;Legault François C.A.Q.-E.F.L.;Provost Catherine P.Q.;B.V.;B.R.
554;L'Assomption;2022-10-03;G;Charlemagne, v;1;;1;369;19;17;30;76;20;162;3
554;L'Assomption;2022-10-03;G;Charlemagne, v;1;;2;396;14;14;30;93;22;173;3
554;L'Assomption;2022-10-03;G;Charlemagne, v;1;;3;373;11;19;24;96;20;170;2
554;L'Assomption;2022-10-03;G;Charlemagne, v;1;;4;370;12;12;16;73;17;130;1
554;L'Assomption;2022-10-03;G;Charlemagne, v;1;;5;363;10;6;36;67;33;152;3
554;L'Assomption;2022-10-03;G;Charlemagne, v;1;;6;387;19;6;20;77;25;147;5
554;L'Assomption;2022-10-03;G;Charlemagne, v;1;;7;386;22;16;17;73;28;156;3
554;L'Assomption;2022-10-03;G;Charlemagne, v;1;;8;389;22;7;31;61;22;143;1
554;L'Assomption;2022-10-03;G;Charlemagne, v;2;;9;330;12;4;17;61;19;113;4
554;L'Assomption;2022-10-03;G;Charlemagne, v;2;;10;342;14;5;28;42;15;104;7
554;L'Assomption;2022-10-03;G;Charlemagne, v;2;;11;334;13;7;6;61;13;100;2
554;L'Assomption;2022-10-03;G;Charlemagne, v;2;;12;376;19;3;19;59;26;126;6
554;L'Assomption;2022-10-03;G;Charlemagne, v;2;;13;384;18;10;23;85;12;148;5
554;L'Assomption;2022-10-03;G;Charlemagne, v;2;;14;346;10;15;22;71;27;145;4
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;15A;208;14;8;24;42;10;98;2
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;15B;226;7;21;13;65;10;116;0
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;16;407;12;42;45;96;23;218;4
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;17;416;13;34;36;104;25;212;6
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;18;407;13;34;33;78;25;183;1
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;19;406;17;26;33;110;29;215;5
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;20;413;7;18;31;113;23;192;3
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;21;408;17;6;43;88;40;194;6
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;22;417;25;16;39;84;28;192;1
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;23;416;7;31;37;105;22;202;4
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;24;414;17;12;46;80;32;187;2
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;25;400;13;18;25;75;28;159;2
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;26;423;10;17;26;77;23;153;5
554;L'Assomption;2022-10-03;G;Repentigny, v;1;;27;415;20;9;21;79;29;158;4
554;L'Assomption;2022-10-03;G;Repentigny, v;2;;28;367;13;3;12;104;35;167;2
554;L'Assomption;2022-10-03;G;Repentigny, v;2;;29;381;12;22;29;84;24;171;1
554;L'Assomption;2022-10-03;G;Repentigny, v;2;;30;367;8;23;30;83;21;165;0
