Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bratkova Tzarevna P.C.Q-E.E.D.;Caron Linda P.L.Q./Q.L.P.;Gagnon Suzanne P.Q.;Gatien Samuel C.A.Q.-E.F.L.;Mugaba Jean-Claude Q.S.;Newbergher Ryan Akshay P.V.Q./G.P.Q.;Pinel Donna P.C.Q./C.P.Q;B.V.;B.R.
236;La Pinière;2022-10-03;G;Brossard, v;1;;1A;302;7;40;12;27;9;0;1;96;0
236;La Pinière;2022-10-03;G;Brossard, v;1;;1B;306;12;29;21;26;21;0;0;109;1
236;La Pinière;2022-10-03;G;Brossard, v;1;;2;367;14;81;3;25;6;2;0;131;1
236;La Pinière;2022-10-03;G;Brossard, v;1;;3;342;18;61;2;11;2;4;2;100;0
236;La Pinière;2022-10-03;G;Brossard, v;1;;4;355;11;45;4;15;14;0;3;92;0
236;La Pinière;2022-10-03;G;Brossard, v;1;;5;348;19;74;1;19;10;1;2;126;3
236;La Pinière;2022-10-03;G;Brossard, v;1;;6;357;9;82;4;12;8;4;0;119;0
236;La Pinière;2022-10-03;G;Brossard, v;1;;7;377;13;71;5;7;7;0;2;105;1
236;La Pinière;2022-10-03;G;Brossard, v;1;;8;350;20;72;3;11;5;1;2;114;1
236;La Pinière;2022-10-03;G;Brossard, v;1;;9;371;9;90;9;27;15;4;0;154;2
236;La Pinière;2022-10-03;G;Brossard, v;1;;10;378;15;76;9;29;10;0;2;141;1
236;La Pinière;2022-10-03;G;Brossard, v;1;;11;352;19;41;2;25;5;1;0;93;0
236;La Pinière;2022-10-03;G;Brossard, v;1;;12;362;23;70;5;17;5;0;5;125;3
236;La Pinière;2022-10-03;G;Brossard, v;1;;13;384;5;31;14;37;6;1;1;95;0
236;La Pinière;2022-10-03;G;Brossard, v;1;;14A;258;12;33;12;34;5;0;0;96;0
236;La Pinière;2022-10-03;G;Brossard, v;1;;14B;260;5;22;7;34;4;0;0;72;0
236;La Pinière;2022-10-03;G;Brossard, v;2;;15;379;18;60;6;41;29;3;0;157;1
236;La Pinière;2022-10-03;G;Brossard, v;2;;16;368;13;73;15;25;26;4;0;156;3
236;La Pinière;2022-10-03;G;Brossard, v;2;;17;373;28;69;9;29;18;2;2;157;0
236;La Pinière;2022-10-03;G;Brossard, v;2;;18;384;19;91;12;19;20;4;2;167;3
236;La Pinière;2022-10-03;G;Brossard, v;2;;19;362;19;59;5;17;12;3;0;115;1
236;La Pinière;2022-10-03;G;Brossard, v;2;;20;399;15;65;8;25;14;3;2;132;1
236;La Pinière;2022-10-03;G;Brossard, v;2;;21;359;20;62;3;26;17;0;8;136;5
236;La Pinière;2022-10-03;G;Brossard, v;2;;22;373;14;76;11;37;14;6;4;162;0
236;La Pinière;2022-10-03;G;Brossard, v;2;;23;354;10;67;7;47;17;1;0;149;2
236;La Pinière;2022-10-03;G;Brossard, v;2;;24;366;15;71;10;28;16;3;1;144;2
236;La Pinière;2022-10-03;G;Brossard, v;2;;25;379;16;51;16;25;14;2;1;125;0
236;La Pinière;2022-10-03;G;Brossard, v;2;;26;367;12;52;7;31;10;2;0;114;1
236;La Pinière;2022-10-03;G;Brossard, v;2;;27;370;16;67;7;17;10;1;5;123;0
236;La Pinière;2022-10-03;G;Brossard, v;2;;28;359;16;48;11;34;14;1;1;125;1
236;La Pinière;2022-10-03;G;Brossard, v;3;;29;331;1;32;23;63;14;2;0;135;0
236;La Pinière;2022-10-03;G;Brossard, v;3;;30;371;10;25;16;64;9;1;0;125;1
236;La Pinière;2022-10-03;G;Brossard, v;3;;31;326;9;31;18;71;8;2;1;140;1
236;La Pinière;2022-10-03;G;Brossard, v;4;;32;368;9;68;1;21;13;1;1;114;1
236;La Pinière;2022-10-03;G;Brossard, v;4;;33;377;7;69;9;28;9;5;2;129;0
236;La Pinière;2022-10-03;G;Brossard, v;4;;34;359;14;63;12;41;18;0;0;148;0
236;La Pinière;2022-10-03;G;Brossard, v;4;;35;377;17;49;7;39;23;1;0;136;1
236;La Pinière;2022-10-03;G;Brossard, v;4;;36;379;20;72;21;19;22;2;2;158;0
236;La Pinière;2022-10-03;G;Brossard, v;4;;37;369;17;61;16;42;13;0;1;150;3
236;La Pinière;2022-10-03;G;Brossard, v;4;;38;370;14;74;12;33;25;1;3;162;1
236;La Pinière;2022-10-03;G;Brossard, v;4;;39;369;15;78;3;35;11;1;2;145;0
236;La Pinière;2022-10-03;G;Brossard, v;4;;40;375;22;65;12;29;13;1;1;143;0
236;La Pinière;2022-10-03;G;Brossard, v;4;;41;393;13;69;11;29;13;4;2;141;4
236;La Pinière;2022-10-03;G;Brossard, v;4;;42;370;22;61;6;22;8;1;1;121;1
236;La Pinière;2022-10-03;G;Brossard, v;6;;43;349;15;48;7;31;10;5;2;118;2
236;La Pinière;2022-10-03;G;Brossard, v;6;;44;351;11;74;0;12;6;3;2;108;0
236;La Pinière;2022-10-03;G;Brossard, v;6;;45;329;16;54;3;28;5;2;1;109;3
236;La Pinière;2022-10-03;G;Brossard, v;6;;46;337;17;41;4;26;20;5;0;113;2
236;La Pinière;2022-10-03;G;Brossard, v;6;;47;348;23;59;7;21;15;3;3;131;2
236;La Pinière;2022-10-03;G;Brossard, v;6;;48;321;20;42;8;31;12;2;1;116;2
236;La Pinière;2022-10-03;G;Brossard, v;7;;49;374;30;57;5;33;13;2;1;141;0
236;La Pinière;2022-10-03;G;Brossard, v;7;;50;371;13;80;12;47;12;1;3;168;2
236;La Pinière;2022-10-03;G;Brossard, v;7;;51;384;13;73;11;41;12;2;7;159;5
236;La Pinière;2022-10-03;G;Brossard, v;7;;52;383;17;67;10;39;27;0;1;161;0
236;La Pinière;2022-10-03;G;Brossard, v;7;;53;362;18;64;10;36;20;2;4;154;0
236;La Pinière;2022-10-03;G;Brossard, v;7;;54;366;5;63;6;33;13;2;0;122;0
236;La Pinière;2022-10-03;G;Brossard, v;7;;55;375;9;65;9;47;16;1;0;147;2
236;La Pinière;2022-10-03;G;Brossard, v;7;;56;379;13;79;5;33;9;1;2;142;0
236;La Pinière;2022-10-03;G;Brossard, v;7;;57;383;10;65;12;33;17;2;1;140;3
236;La Pinière;2022-10-03;G;Brossard, v;7;;58;367;23;54;8;26;12;4;1;128;0
236;La Pinière;2022-10-03;G;Brossard, v;7;;59;387;18;86;1;22;7;2;0;136;0
236;La Pinière;2022-10-03;G;Brossard, v;7;;60;356;19;59;8;29;9;1;1;126;1
236;La Pinière;2022-10-03;G;Brossard, v;7;;61;391;12;73;3;24;20;3;2;137;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;62;349;16;48;6;33;19;0;1;123;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;63;419;32;51;9;17;25;0;2;136;2
236;La Pinière;2022-10-03;G;Brossard, v;8;;64;345;28;42;7;23;29;1;1;131;2
236;La Pinière;2022-10-03;G;Brossard, v;8;;65;343;14;53;7;43;24;4;2;147;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;66A;268;13;22;12;42;6;0;0;95;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;66B;266;17;41;1;15;11;2;1;88;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;67;373;17;52;12;38;20;6;0;145;2
236;La Pinière;2022-10-03;G;Brossard, v;8;;68;386;20;59;13;37;20;4;1;154;3
236;La Pinière;2022-10-03;G;Brossard, v;8;;69;350;20;44;5;22;14;0;1;106;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;70;361;17;67;3;25;2;1;5;120;1
236;La Pinière;2022-10-03;G;Brossard, v;8;;71;368;20;82;8;26;7;3;0;146;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;72;368;10;58;6;41;11;2;1;129;1
236;La Pinière;2022-10-03;G;Brossard, v;8;;73;374;22;38;12;48;15;3;0;138;0
