Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire-Daly Pierre-Marc Q.S.;Chouinard Normand P.M.L.Q.;Dubé Christian C.A.Q.-E.F.L.;Guertin Julie P.L.Q./Q.L.P.;Joannette Barbara C.Q.;Joly-Simard Sarah P.Q.;Pelletier Marie P.C.Q-E.E.D.;B.V.;B.R.
232;La Prairie;2022-10-03;G;La Prairie, v;1;;1;400;32;0;84;30;3;20;10;179;0
232;La Prairie;2022-10-03;G;La Prairie, v;1;;2;412;28;0;120;29;1;21;16;215;1
232;La Prairie;2022-10-03;G;La Prairie, v;1;;3;396;27;0;72;37;4;13;13;166;0
232;La Prairie;2022-10-03;G;La Prairie, v;1;;4;399;19;0;124;35;1;14;16;209;2
232;La Prairie;2022-10-03;G;La Prairie, v;1;;5;393;22;0;69;35;0;18;13;157;2
232;La Prairie;2022-10-03;G;La Prairie, v;1;;6;399;37;1;55;19;2;20;18;152;2
232;La Prairie;2022-10-03;G;La Prairie, v;1;;7;380;39;0;31;16;1;18;15;120;4
232;La Prairie;2022-10-03;G;La Prairie, v;1;;8;387;36;1;49;18;1;22;8;135;3
232;La Prairie;2022-10-03;G;La Prairie, v;1;;9;403;22;1;44;24;4;24;12;131;3
232;La Prairie;2022-10-03;G;La Prairie, v;1;;10;405;23;0;57;14;0;26;19;139;1
232;La Prairie;2022-10-03;G;La Prairie, v;1;;11;393;36;0;55;15;1;17;18;142;5
232;La Prairie;2022-10-03;G;La Prairie, v;1;;12;399;31;0;59;12;0;22;17;141;1
232;La Prairie;2022-10-03;G;La Prairie, v;2;;13;407;34;0;70;12;1;14;25;156;2
232;La Prairie;2022-10-03;G;La Prairie, v;2;;14;409;24;0;53;25;0;16;20;138;4
232;La Prairie;2022-10-03;G;La Prairie, v;2;;15;407;43;0;54;19;4;32;19;171;2
232;La Prairie;2022-10-03;G;La Prairie, v;2;;16;417;44;0;66;15;2;19;27;173;2
232;La Prairie;2022-10-03;G;La Prairie, v;2;;17;397;20;0;66;22;0;20;10;138;3
232;La Prairie;2022-10-03;G;La Prairie, v;2;;18;408;26;1;62;25;3;21;14;152;2
232;La Prairie;2022-10-03;G;La Prairie, v;2;;19;410;19;0;74;16;2;25;12;148;4
232;La Prairie;2022-10-03;G;La Prairie, v;2;;20;393;20;0;70;15;1;21;11;138;2
232;La Prairie;2022-10-03;G;La Prairie, v;3;;21;365;8;1;56;26;2;9;14;116;1
232;La Prairie;2022-10-03;G;La Prairie, v;3;;22;373;18;0;49;35;3;18;19;142;3
232;La Prairie;2022-10-03;G;La Prairie, v;3;;23;355;14;0;64;28;2;23;17;148;0
232;La Prairie;2022-10-03;G;La Prairie, v;3;;24;353;36;0;65;30;0;18;8;157;0
232;La Prairie;2022-10-03;G;La Prairie, v;3;;25;351;24;1;41;14;1;13;10;104;2
232;La Prairie;2022-10-03;G;La Prairie, v;3;;26;363;21;1;55;13;1;23;24;138;0
232;La Prairie;2022-10-03;G;La Prairie, v;3;;27;353;20;0;61;25;1;26;12;145;1
232;La Prairie;2022-10-03;G;La Prairie, v;3;;28;363;24;0;79;26;0;16;18;163;4
232;La Prairie;2022-10-03;G;La Prairie, v;3;;29;351;27;2;60;26;0;19;7;141;2
232;La Prairie;2022-10-03;G;La Prairie, v;4;;30;379;15;0;84;31;4;19;18;171;0
232;La Prairie;2022-10-03;G;La Prairie, v;4;;31;389;31;0;80;42;5;17;13;188;1
232;La Prairie;2022-10-03;G;La Prairie, v;4;;32;380;25;0;73;38;1;22;7;166;0
232;La Prairie;2022-10-03;G;La Prairie, v;4;;33;387;40;0;76;40;1;26;14;197;3
232;La Prairie;2022-10-03;G;La Prairie, v;4;;34;391;38;0;97;36;4;21;23;219;1
232;La Prairie;2022-10-03;G;La Prairie, v;4;;35;389;16;0;82;34;1;25;27;185;0
232;La Prairie;2022-10-03;G;La Prairie, v;4;;36;387;24;0;78;34;1;25;23;185;2
232;La Prairie;2022-10-03;G;La Prairie, v;4;;37;390;24;0;71;44;0;15;22;176;1
232;La Prairie;2022-10-03;G;La Prairie, v;4;;38;369;20;0;56;50;1;9;18;154;2
232;La Prairie;2022-10-03;G;La Prairie, v;4;;39;378;18;0;74;21;4;15;12;144;1
232;La Prairie;2022-10-03;G;La Prairie, v;4;;40;380;16;0;69;28;1;11;11;136;3
232;La Prairie;2022-10-03;G;La Prairie, v;4;;41A;228;15;0;39;8;1;11;11;85;0
232;La Prairie;2022-10-03;G;La Prairie, v;4;;41B;261;18;0;36;10;1;17;7;89;0
232;La Prairie;2022-10-03;G;La Prairie, v;5;;42;371;33;0;92;13;2;20;17;177;2
232;La Prairie;2022-10-03;G;La Prairie, v;5;;43;421;24;0;81;17;5;27;11;165;2
232;La Prairie;2022-10-03;G;La Prairie, v;5;;44;376;29;0;103;21;3;20;16;192;0
232;La Prairie;2022-10-03;G;La Prairie, v;5;;45;388;27;0;86;21;3;16;19;172;2
232;La Prairie;2022-10-03;G;La Prairie, v;5;;46;384;36;0;83;22;1;21;12;175;2
232;La Prairie;2022-10-03;G;La Prairie, v;5;;47;386;38;0;88;23;1;17;20;187;0
232;La Prairie;2022-10-03;G;La Prairie, v;5;;48;385;30;1;89;40;6;23;11;200;0
232;La Prairie;2022-10-03;G;La Prairie, v;5;;49;367;28;0;101;20;3;36;8;196;0
232;La Prairie;2022-10-03;G;Candiac, v;1;;50;379;19;0;55;54;2;12;13;155;3
232;La Prairie;2022-10-03;G;Candiac, v;1;;51;373;20;0;91;31;5;20;13;180;0
232;La Prairie;2022-10-03;G;Candiac, v;1;;52;364;24;0;79;34;1;30;17;185;1
232;La Prairie;2022-10-03;G;Candiac, v;1;;53;372;23;0;73;37;2;15;11;161;0
232;La Prairie;2022-10-03;G;Candiac, v;1;;54;397;26;0;66;25;3;26;17;163;1
232;La Prairie;2022-10-03;G;Candiac, v;1;;55;381;32;0;43;20;1;18;21;135;1
232;La Prairie;2022-10-03;G;Candiac, v;1;;56;409;34;0;68;32;0;26;7;167;1
232;La Prairie;2022-10-03;G;Candiac, v;1;;57;375;42;0;73;22;2;29;3;171;0
232;La Prairie;2022-10-03;G;Candiac, v;1;;58;363;17;1;70;41;2;17;13;161;3
232;La Prairie;2022-10-03;G;Candiac, v;1;;59;378;43;1;58;28;3;26;16;175;0
232;La Prairie;2022-10-03;G;Candiac, v;1;;60;380;20;0;73;32;2;18;26;171;0
232;La Prairie;2022-10-03;G;Candiac, v;2;;61;383;49;0;59;27;1;24;15;175;0
232;La Prairie;2022-10-03;G;Candiac, v;2;;62;388;29;0;65;23;3;20;16;156;2
232;La Prairie;2022-10-03;G;Candiac, v;2;;63;378;20;1;74;29;6;30;14;174;0
232;La Prairie;2022-10-03;G;Candiac, v;2;;64;378;25;0;78;30;0;22;10;165;5
232;La Prairie;2022-10-03;G;Candiac, v;2;;65;384;23;0;78;43;0;24;14;182;1
232;La Prairie;2022-10-03;G;Candiac, v;2;;66;400;24;0;62;24;0;22;10;142;2
232;La Prairie;2022-10-03;G;Candiac, v;2;;67;383;29;0;53;38;4;28;10;162;0
232;La Prairie;2022-10-03;G;Candiac, v;2;;68;386;28;0;71;37;2;26;11;175;1
232;La Prairie;2022-10-03;G;Candiac, v;2;;69;366;39;0;51;19;0;19;7;135;2
232;La Prairie;2022-10-03;G;Candiac, v;2;;70;380;28;0;63;28;1;22;18;160;0
232;La Prairie;2022-10-03;G;Candiac, v;2;;71;404;14;1;79;31;2;14;20;161;1
232;La Prairie;2022-10-03;G;Candiac, v;2;;72;389;26;0;76;53;2;14;8;179;1
232;La Prairie;2022-10-03;G;Candiac, v;3;;73;402;19;0;61;55;0;14;30;179;1
232;La Prairie;2022-10-03;G;Candiac, v;3;;74;387;26;0;86;32;0;12;19;175;2
232;La Prairie;2022-10-03;G;Candiac, v;3;;75;381;19;1;78;49;1;26;7;181;0
232;La Prairie;2022-10-03;G;Candiac, v;3;;76;387;20;0;62;49;2;20;13;166;2
232;La Prairie;2022-10-03;G;Candiac, v;3;;77;381;18;0;83;18;1;17;22;159;4
232;La Prairie;2022-10-03;G;Candiac, v;3;;78;381;13;0;85;54;0;11;12;175;0
232;La Prairie;2022-10-03;G;Candiac, v;3;;79;415;19;0;73;42;0;23;19;176;1
232;La Prairie;2022-10-03;G;Candiac, v;4;;80;396;25;0;70;24;1;25;14;159;1
