Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charest Jean-Philippe P.V.Q./G.P.Q.;Fremont Herby P.C.Q./C.P.Q;Gratton Mathieu P.L.Q./Q.L.P.;Latreille Evelyne P.C.Q-E.E.D.;Lefrançois Claude Q.S.;Orihuela-Bouchard Soledad P.Q.;Parent Ian C.Q.;Poulet Isabelle C.A.Q.-E.F.L.;B.V.;B.R.
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;1;381;3;1;43;6;30;22;1;55;161;2
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;2;385;1;0;42;4;42;36;2;62;189;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;3;394;0;0;67;4;40;20;0;51;182;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;4;382;2;0;42;0;60;24;1;54;183;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;5;373;2;3;42;2;55;36;1;57;198;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;6;393;5;1;45;8;60;26;0;41;186;2
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;7;390;0;2;26;4;16;18;0;44;110;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;8A;233;0;0;21;4;19;12;1;25;82;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;8B;234;0;3;12;10;14;12;1;26;78;2
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;9A;198;0;0;28;1;31;20;0;22;102;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;1;;9B;229;1;1;16;6;18;11;1;24;78;2
244;Laporte;2022-10-03;G;Saint-Lambert, v;2;;10;351;2;1;38;6;66;20;0;33;166;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;2;;11;356;0;2;27;7;52;32;0;31;151;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;2;;12;368;0;0;42;4;55;27;2;45;175;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;2;;13;371;1;0;51;2;62;27;2;37;182;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;2;;14;376;2;1;19;7;29;26;0;29;113;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;2;;15;360;7;0;30;11;24;11;0;27;110;2
244;Laporte;2022-10-03;G;Saint-Lambert, v;2;;16;360;1;2;28;4;45;23;0;43;146;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;2;;17;354;0;3;30;3;17;14;0;20;87;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;2;;18;374;1;1;30;8;53;16;1;26;136;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;3;;19;346;1;1;40;9;40;26;0;47;164;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;3;;20;344;1;0;54;8;26;17;0;57;163;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;3;;21;339;1;0;32;12;17;20;0;41;123;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;3;;22;328;3;1;28;11;32;20;1;32;128;2
244;Laporte;2022-10-03;G;Saint-Lambert, v;3;;23;331;4;3;33;10;40;13;1;50;154;3
244;Laporte;2022-10-03;G;Saint-Lambert, v;3;;24;347;1;1;39;9;51;31;1;46;179;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;4;;25;394;4;1;66;5;37;28;0;63;204;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;4;;26;395;4;1;61;11;54;22;1;58;212;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;4;;27;390;4;5;84;13;19;12;0;50;187;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;4;;28;381;1;4;58;17;30;29;0;59;198;3
244;Laporte;2022-10-03;G;Saint-Lambert, v;4;;29;376;7;2;50;18;31;16;0;24;148;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;5;;30;366;1;5;34;12;12;11;0;23;98;3
244;Laporte;2022-10-03;G;Saint-Lambert, v;5;;31;356;2;0;53;14;25;18;0;34;146;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;5;;32;384;2;0;36;4;12;15;0;33;102;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;5;;33;383;3;5;70;10;24;21;1;47;181;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;5;;34;378;1;1;47;3;32;18;0;37;139;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;35;379;3;3;32;8;28;16;0;47;137;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;36;382;4;1;57;9;38;26;2;50;187;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;37;382;3;5;51;8;25;21;1;47;161;4
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;38;383;7;4;65;19;22;20;0;41;178;2
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;39;383;0;1;52;9;22;15;1;58;158;3
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;40;384;4;4;67;10;35;27;0;66;213;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;41;359;6;1;68;9;18;20;1;72;195;2
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;42;381;4;1;58;2;28;26;0;51;170;1
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;43;385;2;0;50;8;24;23;1;53;161;0
244;Laporte;2022-10-03;G;Saint-Lambert, v;6;;44;386;1;0;67;5;13;20;0;53;159;1
244;Laporte;2022-10-03;G;Longueuil, v;1;;45;375;3;0;14;8;39;18;0;30;112;2
244;Laporte;2022-10-03;G;Longueuil, v;1;;46;374;2;1;21;17;40;14;1;33;129;2
244;Laporte;2022-10-03;G;Longueuil, v;1;;47;359;3;0;20;15;20;30;1;40;129;2
244;Laporte;2022-10-03;G;Longueuil, v;1;;48;370;2;0;17;12;26;24;1;46;128;1
244;Laporte;2022-10-03;G;Longueuil, v;1;;49;357;5;1;20;15;31;16;0;36;124;0
244;Laporte;2022-10-03;G;Longueuil, v;1;;50;372;2;0;23;20;21;19;0;43;128;2
244;Laporte;2022-10-03;G;Longueuil, v;1;;51;383;2;1;18;17;37;19;1;38;133;1
244;Laporte;2022-10-03;G;Longueuil, v;1;;52;333;2;0;13;19;19;18;0;30;101;1
244;Laporte;2022-10-03;G;Longueuil, v;1;;53;357;6;3;26;16;35;22;0;28;136;0
244;Laporte;2022-10-03;G;Longueuil, v;2;;54;392;4;0;32;24;47;15;1;39;162;3
244;Laporte;2022-10-03;G;Longueuil, v;2;;55;384;7;0;29;9;21;20;3;32;121;1
244;Laporte;2022-10-03;G;Longueuil, v;2;;56;384;6;2;36;21;44;11;0;24;144;0
244;Laporte;2022-10-03;G;Longueuil, v;2;;57;387;4;5;34;21;33;19;1;24;141;1
244;Laporte;2022-10-03;G;Longueuil, v;2;;58A;212;2;0;17;10;17;13;0;18;77;1
244;Laporte;2022-10-03;G;Longueuil, v;2;;58B;228;1;1;14;4;14;5;1;19;59;2
244;Laporte;2022-10-03;G;Longueuil, v;3;;59;365;2;5;44;20;26;17;0;22;136;0
244;Laporte;2022-10-03;G;Longueuil, v;3;;60;338;1;0;36;9;31;12;0;30;119;0
244;Laporte;2022-10-03;G;Longueuil, v;4;;61;390;6;4;45;9;31;26;1;23;145;2
244;Laporte;2022-10-03;G;Longueuil, v;4;;62;407;3;2;57;17;28;20;0;43;170;0
244;Laporte;2022-10-03;G;Longueuil, v;4;;63;403;10;6;50;14;46;35;1;32;194;1
244;Laporte;2022-10-03;G;Longueuil, v;4;;64;384;0;6;54;14;49;19;0;46;188;1
244;Laporte;2022-10-03;G;Longueuil, v;4;;65;392;3;4;67;11;33;16;0;33;167;3
244;Laporte;2022-10-03;G;Longueuil, v;4;;66;356;3;1;34;16;11;9;0;20;94;2
244;Laporte;2022-10-03;G;Longueuil, v;5;;67;370;1;6;60;20;29;15;1;32;164;0
244;Laporte;2022-10-03;G;Longueuil, v;5;;68;377;3;3;116;8;30;19;1;27;207;1
244;Laporte;2022-10-03;G;Longueuil, v;5;;69;385;3;10;102;20;24;10;0;37;206;1
244;Laporte;2022-10-03;G;Longueuil, v;5;;70;385;2;7;77;9;29;9;1;35;169;2
244;Laporte;2022-10-03;G;Longueuil, v;5;;71;384;6;6;97;20;32;20;0;22;203;0
244;Laporte;2022-10-03;G;Longueuil, v;5;;72;395;2;4;91;8;27;15;0;37;184;4
244;Laporte;2022-10-03;G;Longueuil, v;5;;73;360;0;7;51;13;13;12;1;26;123;3
244;Laporte;2022-10-03;G;Longueuil, v;6;;74A;211;0;1;12;9;14;5;0;33;74;0
244;Laporte;2022-10-03;G;Longueuil, v;6;;74B;220;0;2;18;10;12;9;0;11;62;1
244;Laporte;2022-10-03;G;Longueuil, v;6;;75;396;3;1;41;23;26;12;0;44;150;2
244;Laporte;2022-10-03;G;Longueuil, v;6;;76;375;2;1;21;23;25;14;0;17;103;0
244;Laporte;2022-10-03;G;Longueuil, v;6;;77;413;1;5;34;15;18;16;3;35;127;2
244;Laporte;2022-10-03;G;Longueuil, v;6;;78A;241;0;1;39;24;37;19;0;40;160;5
244;Laporte;2022-10-03;G;Longueuil, v;6;Regr. BVDS-1;78B;225;0;0;0;0;0;0;0;0;0;0
244;Laporte;2022-10-03;G;Longueuil, v;6;;79;388;2;1;16;10;26;8;0;29;92;4
244;Laporte;2022-10-03;G;Longueuil, v;6;;80;416;6;0;28;17;23;15;1;30;120;0
244;Laporte;2022-10-03;G;Longueuil, v;6;;81;392;1;0;33;18;34;15;1;50;152;5
244;Laporte;2022-10-03;G;Longueuil, v;6;;82;399;1;5;31;8;28;13;0;45;131;6
