Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Awasti Deepak P.L.Q./Q.L.P.;Diotte Guy P.C.Q-E.E.D.;Fontecilla Andrés Q.S.;Khan Amir B.M.-E.B.H.;Larochelle Maxime P.Q.;Marcil Mathieu P.N.;Marcoux Vicki C.A.Q.-E.F.L.;Marega Ismaila P.V.Q./G.P.Q.;Van Duyse Anthony C.Q.;Villeneuve Amélie P.Cu.Q.;B.V.;B.R.
344;Laurier-Dorion;2022-10-03;G;Montréal, v;205;;1;348;60;23;15;10;2;0;6;3;1;0;120;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;205;;2;347;67;6;18;9;2;0;10;0;0;2;114;5
344;Laurier-Dorion;2022-10-03;G;Montréal, v;205;;3;353;92;15;20;13;1;0;6;3;0;2;152;5
344;Laurier-Dorion;2022-10-03;G;Montréal, v;205;;4;361;97;16;14;12;0;0;15;3;0;0;157;5
344;Laurier-Dorion;2022-10-03;G;Montréal, v;205;;5;363;84;17;20;6;2;0;9;0;1;0;139;12
344;Laurier-Dorion;2022-10-03;G;Montréal, v;206;;6;391;73;6;22;2;0;3;11;5;1;0;123;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;206;;7;395;79;28;15;3;1;1;6;1;0;2;136;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;206;;8;396;60;17;26;4;3;0;3;3;0;1;117;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;206;;9;400;65;21;26;4;2;0;12;3;0;0;133;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;206;;10;370;52;9;26;13;3;0;11;4;1;2;121;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;206;;11;407;64;8;15;7;6;0;11;2;0;1;114;5
344;Laurier-Dorion;2022-10-03;G;Montréal, v;206;;12;390;71;11;37;1;3;0;11;3;3;1;141;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;206;;13;389;85;21;15;13;1;3;9;3;0;0;150;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;206;;14;393;69;22;30;5;7;0;11;0;0;0;144;4
344;Laurier-Dorion;2022-10-03;G;Montréal, v;207;;15;346;53;29;22;4;0;0;3;4;0;1;116;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;207;;16;338;51;32;34;9;2;0;10;0;0;0;138;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;207;;17;337;79;21;24;3;3;1;10;3;0;0;144;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;207;;18;342;30;8;32;7;1;1;16;3;0;0;98;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;208;;19;382;70;10;38;3;3;3;10;1;1;0;139;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;208;;20;402;57;24;36;11;2;1;19;3;0;2;155;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;208;;21;399;46;18;38;6;2;0;9;2;0;0;121;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;208;;22;380;40;13;31;8;2;1;6;2;0;0;103;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;209;;23;329;50;9;33;15;2;1;8;3;0;1;122;6
344;Laurier-Dorion;2022-10-03;G;Montréal, v;209;;24;323;48;17;27;7;5;0;10;2;1;0;117;5
344;Laurier-Dorion;2022-10-03;G;Montréal, v;209;;25;309;54;21;15;2;1;0;3;0;0;1;97;6
344;Laurier-Dorion;2022-10-03;G;Montréal, v;209;;26;320;36;15;31;5;7;1;17;2;0;0;114;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;27;383;50;18;30;9;1;0;7;0;0;2;117;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;28;382;53;11;22;4;3;1;11;2;1;1;109;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;29;371;50;9;30;10;4;0;12;3;3;1;122;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;30;380;42;16;50;3;3;0;4;1;1;2;122;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;31;379;50;18;39;7;5;1;4;0;0;1;125;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;32;377;31;7;62;9;10;0;16;1;0;0;136;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;33;385;45;2;35;6;2;0;15;2;0;1;108;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;34;379;32;21;52;5;7;0;3;3;0;0;123;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;35;365;40;26;35;5;2;0;5;3;1;1;118;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;36;385;50;6;54;10;8;1;5;3;0;3;140;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;37;370;82;18;16;7;2;0;9;1;0;0;135;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;210;;38;384;45;16;51;4;6;1;7;2;1;2;135;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;211;;39;370;25;3;82;1;31;1;25;0;0;0;168;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;211;;40;353;19;6;97;0;30;1;24;6;1;0;184;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;211;;41;355;20;10;106;0;22;2;18;4;0;1;183;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;211;;42;361;18;4;109;0;27;0;17;3;1;0;179;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;211;;43;365;31;3;110;0;32;1;20;2;1;5;205;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;211;;44;370;26;4;76;2;18;2;20;4;0;1;153;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;211;;45;371;32;6;78;4;16;0;12;2;1;4;155;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;46;385;35;8;74;4;18;1;13;0;0;0;153;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;47;392;32;5;52;0;21;1;21;2;0;2;136;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;48;377;19;12;46;3;25;1;12;2;0;5;125;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;49;382;33;7;39;0;26;1;23;1;0;0;130;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;50;371;16;11;98;2;20;2;18;3;0;0;170;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;51;376;17;4;116;1;29;1;11;1;1;1;182;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;52;377;17;3;99;1;29;0;21;1;1;5;177;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;53;387;9;6;106;3;28;0;15;4;0;0;171;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;54;367;13;4;94;1;14;0;13;2;0;1;142;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;55;375;19;2;97;6;25;0;30;1;1;2;183;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;56;376;25;7;98;0;23;0;20;4;0;0;177;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;57;370;23;9;101;2;18;1;27;3;0;2;186;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;;58;372;23;7;88;2;23;0;25;2;0;1;171;4
344;Laurier-Dorion;2022-10-03;G;Montréal, v;213;;59;370;34;10;62;4;17;0;33;0;1;1;162;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;213;;60;363;60;10;77;2;14;0;11;1;0;0;175;4
344;Laurier-Dorion;2022-10-03;G;Montréal, v;213;;61;349;41;12;52;1;13;1;24;0;0;2;146;5
344;Laurier-Dorion;2022-10-03;G;Montréal, v;213;;62;368;18;11;116;1;16;2;20;4;0;0;188;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;213;;63;369;26;9;105;3;26;0;19;0;0;3;191;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;214;;64;368;15;8;98;0;24;2;18;4;2;0;171;2
