Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chevalier Josée Q.S.;Damergi Zied P.V.Q./G.P.Q.;Fiola Andréanne P.Q.;Haytayan Céline C.A.Q.-E.F.L.;Lussier-Clément Nicolas P.C.Q-E.E.D.;Polo Saul P.L.Q./Q.L.P.;B.V.;B.R.
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;1;383;23;1;12;45;12;49;142;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;2;376;29;2;20;38;17;86;192;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;3;376;32;4;17;71;21;67;212;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;4;373;23;4;18;60;17;58;180;6
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;5;356;27;1;14;44;34;60;180;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;6;357;23;1;16;37;16;70;163;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;7;378;25;4;14;46;20;77;186;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;8;369;28;1;15;61;17;58;180;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;9;370;26;1;19;35;16;72;169;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;38;;10;390;22;3;24;54;26;85;214;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;39;;11;359;13;3;12;29;22;71;150;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;39;;12;385;26;0;29;53;18;69;195;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;39;;13;366;16;3;20;42;29;70;180;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;39;;14;379;27;1;8;31;19;70;156;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;39;;15;374;23;1;13;34;24;89;184;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;39;;16;365;17;1;14;43;23;68;166;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;39;;17;371;30;1;25;45;22;57;180;5
454;Laval-des-Rapides;2022-10-03;G;Laval, v;39;;18;385;32;1;18;39;37;68;195;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;39;;19;376;23;2;6;31;14;77;153;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;40;;20;345;16;2;11;34;10;74;147;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;40;;21;368;20;1;10;37;23;33;124;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;40;;22;341;24;3;10;27;6;33;103;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;40;;23;384;26;3;16;21;18;40;124;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;40;;24;360;18;3;23;28;15;31;118;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;41;;25;384;28;1;15;37;14;47;142;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;41;;26;361;40;3;17;40;17;35;152;5
454;Laval-des-Rapides;2022-10-03;G;Laval, v;41;;27;353;31;1;30;21;17;46;146;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;41;;28;333;40;3;26;26;15;33;143;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;41;;29;315;30;4;14;17;6;24;95;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;42;;30;340;28;1;20;23;23;37;132;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;42;;31A;289;23;3;15;31;27;18;117;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;42;;31B;241;20;2;11;21;8;20;82;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;42;;32;357;26;4;8;35;12;44;129;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;42;;33;377;25;0;17;50;10;72;174;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;42;;34;352;25;2;24;47;19;33;150;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;42;;35;367;21;1;33;35;13;54;157;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;42;;36;351;37;3;17;18;13;54;142;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;42;;37;324;32;2;9;36;18;39;136;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;43;;38;341;13;2;19;27;26;51;138;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;43;;39;323;24;3;32;41;20;38;158;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;43;;40;341;34;0;22;39;19;62;176;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;43;;41;351;29;1;22;40;12;62;166;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;43;;42;309;34;2;33;44;8;42;163;6
454;Laval-des-Rapides;2022-10-03;G;Laval, v;43;;43;331;27;2;30;34;25;23;141;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;44;;44;395;40;9;25;51;15;33;173;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;44;;45;385;15;1;19;74;12;47;168;7
454;Laval-des-Rapides;2022-10-03;G;Laval, v;44;;46;363;29;2;24;25;17;41;138;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;44;;47;391;27;0;20;36;14;55;152;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;44;;48;396;33;3;16;29;8;66;155;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;44;;49;361;23;2;16;32;6;39;118;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;50;381;32;6;19;44;18;44;163;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;51;359;21;4;25;36;14;46;146;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;52;369;36;3;13;25;18;51;146;5
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;53;364;34;2;11;16;18;27;108;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;54;356;34;2;16;38;7;40;137;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;55;367;19;3;9;20;15;48;114;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;56;372;49;0;18;27;8;34;136;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;57;345;37;2;15;33;12;11;110;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;58;357;29;4;18;38;6;20;115;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;59;369;32;1;11;33;12;58;147;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;45;;60;374;36;2;13;39;18;43;151;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;46;;61;380;28;1;14;36;11;66;156;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;46;;62;393;27;1;15;47;28;32;150;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;46;;63;363;21;1;17;28;21;59;147;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;46;;64;397;33;1;12;27;22;72;167;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;46;;65;386;29;1;15;43;14;20;122;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;46;;66;392;25;1;20;64;17;21;148;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;46;;67;419;28;2;25;70;14;24;163;8
454;Laval-des-Rapides;2022-10-03;G;Laval, v;46;;68;401;26;0;28;61;14;37;166;5
454;Laval-des-Rapides;2022-10-03;G;Laval, v;47;;69;393;25;5;8;38;7;65;148;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;47;;70;360;27;1;14;42;16;31;131;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;47;;71;359;11;6;15;33;8;39;112;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;47;;72;349;23;2;12;36;11;50;134;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;47;;73;360;23;1;12;27;25;56;144;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;47;;74;368;21;6;11;38;10;71;157;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;;75;364;33;4;22;30;12;53;154;5
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;;76;384;22;1;18;28;16;57;142;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;;77;348;22;1;18;25;14;67;147;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;;78;376;35;3;18;33;15;54;158;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;;79;379;22;3;14;21;39;57;156;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;;80;356;29;3;37;33;11;63;176;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;;81;382;25;1;17;47;11;56;157;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;;82;376;30;2;15;61;11;52;171;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;49;;83;386;28;4;9;42;12;39;134;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;49;;84;396;24;1;17;36;7;43;128;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;49;;85;386;29;2;13;48;16;48;156;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;49;;86;381;36;0;12;46;12;41;147;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;49;;87;396;36;3;11;39;12;44;145;5
454;Laval-des-Rapides;2022-10-03;G;Laval, v;49;;88;400;23;1;18;32;11;87;172;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;49;;89;387;41;4;9;32;21;47;154;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;49;;90;394;24;2;13;34;10;55;138;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;49;;91;404;39;1;17;40;19;60;176;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;50;;92;346;41;1;24;43;20;27;156;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;50;;93;356;47;2;17;40;9;43;158;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;50;;94;371;35;4;21;40;19;39;158;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;50;;95;354;57;6;36;50;13;29;191;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;50;;96;353;35;3;31;41;14;32;156;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;51;;97A;219;29;1;16;22;11;26;105;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;51;;97B;247;12;2;18;34;7;31;104;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;51;;98;366;11;1;47;69;8;37;173;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;51;;99;411;39;2;28;44;18;38;169;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;51;;100;392;50;1;36;32;21;34;174;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;51;;101;366;22;2;25;60;7;60;176;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;52;;102;388;35;4;21;33;20;32;145;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;52;;103;381;51;0;18;19;16;36;140;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;52;;104;392;36;4;17;33;19;48;157;5
454;Laval-des-Rapides;2022-10-03;G;Laval, v;52;;105;385;47;0;12;40;14;56;169;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;52;;106;380;29;1;17;26;28;42;143;5
454;Laval-des-Rapides;2022-10-03;G;Laval, v;52;;107;383;44;2;22;47;8;56;179;6
454;Laval-des-Rapides;2022-10-03;G;Laval, v;52;;108;359;46;0;17;36;13;42;154;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;53;;109;394;35;2;14;47;11;58;167;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;53;;110;375;26;3;21;32;24;36;142;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;53;;111;390;40;2;27;23;29;30;151;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;53;;112;406;29;4;16;35;13;45;142;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;53;;113;410;36;3;18;37;13;31;138;8
454;Laval-des-Rapides;2022-10-03;G;Laval, v;53;;114;401;33;5;16;27;17;37;135;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;91;;115;359;24;3;11;19;4;48;109;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;91;;116;385;20;2;5;21;12;43;103;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;91;;117;390;26;0;24;83;20;36;189;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;91;;118;365;33;4;24;50;14;70;195;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;91;;119;374;19;1;23;31;9;47;130;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;91;;120;379;35;3;18;38;18;48;160;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;91;;121;392;17;4;16;38;18;36;129;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;92;;122;388;27;2;20;34;10;60;153;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;92;;123;375;32;1;20;40;13;44;150;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;92;;124;391;25;5;17;29;26;70;172;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;92;;125;375;31;2;27;41;12;76;189;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;92;;126;401;25;3;25;47;13;85;198;4
454;Laval-des-Rapides;2022-10-03;G;Laval, v;92;;127;382;41;1;29;38;14;55;178;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;92;;128;387;39;3;27;56;11;43;179;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;92;;129;390;29;3;30;52;7;54;175;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;93;;130;371;18;5;19;36;18;45;141;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;93;;131;383;25;1;20;41;11;37;135;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;93;;132;371;8;1;24;64;15;40;152;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;93;;133;379;19;0;14;53;17;66;169;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;93;;134;386;31;1;30;52;18;40;172;3
454;Laval-des-Rapides;2022-10-03;G;Laval, v;94;;135;365;24;1;27;55;14;40;161;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;94;;136;378;24;3;28;66;12;76;209;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;94;;137;366;36;0;28;49;17;53;183;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;94;;138;364;22;0;26;53;21;84;206;5
454;Laval-des-Rapides;2022-10-03;G;Laval, v;94;;139;358;22;2;23;57;18;67;189;2
454;Laval-des-Rapides;2022-10-03;G;Laval, v;94;;140;371;31;1;28;58;18;60;196;1
454;Laval-des-Rapides;2022-10-03;G;Laval, v;40;Regr. BVO-22;500;239;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;41;Regr. BVO-20;501;621;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;43;Regr. BVO-42;502;273;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;Regr. BVO-77;503;167;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;48;Regr. BVO-75;504;221;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;51;Regr. BVO-98;505;315;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;51;Regr. BVO-97A;506;248;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;93;Regr. BVO-131;507;195;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Laval, v;93;Regr. BVO-130;508;147;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;BVA1: SV no 13 à 19;;;;0;23;2;40;173;24;128;390;1
454;Laval-des-Rapides;2022-10-03;G;BVA2: SV no 10 à 12, 23 à 24;;;;0;21;1;37;111;15;71;256;8
454;Laval-des-Rapides;2022-10-03;G;BVA3: SV no 1 à 3, 6 à 9;;;;0;30;0;43;140;22;87;322;10
454;Laval-des-Rapides;2022-10-03;G;BVA4: SV no 4 à 5, 20, 25 à 27;;;;0;35;0;36;143;18;82;314;0
454;Laval-des-Rapides;2022-10-03;G;BVA5: SV no 28 à 30, 53 à 54, 64 à 65;;;;0;60;5;47;169;31;82;394;4
454;Laval-des-Rapides;2022-10-03;G;BVA6: SV no 58 à 63;;;;0;67;2;61;190;27;94;441;5
454;Laval-des-Rapides;2022-10-03;G;BVA7: SV no 31 à 33, 52, 55 à 57;;;;0;61;3;80;226;25;103;498;6
454;Laval-des-Rapides;2022-10-03;G;BVA8: SV no 21 à 22, 34 à 37;;;;0;56;1;69;153;20;72;371;3
454;Laval-des-Rapides;2022-10-03;G;BVA9: SV no 48 à 51, 66 à 67;;;;0;57;5;63;183;26;59;393;8
454;Laval-des-Rapides;2022-10-03;G;BVA10: SV no 45 à 47, 87 à 89;;;;0;79;6;65;168;28;95;441;4
454;Laval-des-Rapides;2022-10-03;G;BVA11: SV no 38 à 41, 86, 90;;;;0;46;5;50;121;22;82;326;2
454;Laval-des-Rapides;2022-10-03;G;BVA12: SV no 42 à 44, 84 à 85, 91;;;;0;27;2;49;100;34;49;261;5
454;Laval-des-Rapides;2022-10-03;G;BVA13: SV no 80 à 83, 92;;;;0;27;1;51;111;13;49;252;6
454;Laval-des-Rapides;2022-10-03;G;BVA14: SV no 68 à 71, 93 à 94;;;;0;43;1;52;175;20;52;343;2
454;Laval-des-Rapides;2022-10-03;G;BVA15: SV no 95 à 99;;;;0;53;3;65;177;14;78;390;8
454;Laval-des-Rapides;2022-10-03;G;BVA16: SV no 74 à 79;;;;0;48;4;47;151;22;126;398;3
454;Laval-des-Rapides;2022-10-03;G;BVA17: SV no 115 à 116, 119 à 121, 139 à 140;;;;0;45;4;56;196;11;104;416;3
454;Laval-des-Rapides;2022-10-03;G;BVA18: SV no 117 à 118, 122 à 123, 137 à 138;;;;0;42;1;43;149;21;72;328;9
454;Laval-des-Rapides;2022-10-03;G;BVA19: SV no 113 à 114, 124 à 125, 135 à 136;;;;0;43;5;63;189;26;110;436;16
454;Laval-des-Rapides;2022-10-03;G;BVA20: SV no 105 à 108, 111 à 112;;;;0;52;5;42;187;12;53;351;8
454;Laval-des-Rapides;2022-10-03;G;BVA21: SV no 72 à 73, 126, 132 à 134;;;;0;56;3;75;244;23;143;544;6
454;Laval-des-Rapides;2022-10-03;G;BVA22: SV no 127 à 131;;;;0;47;5;90;162;24;76;404;7
454;Laval-des-Rapides;2022-10-03;G;BVA23: SV no 100 à 104, 109 à 110;;;;0;80;3;84;168;25;72;432;6
454;Laval-des-Rapides;2022-10-03;G;Vote en installation d'hébergement;;;;0;66;12;175;952;31;320;1556;50
454;Laval-des-Rapides;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;139;8;67;208;53;165;640;14
454;Laval-des-Rapides;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Vote hors circonscription;;;;0;184;6;43;82;30;119;464;16
454;Laval-des-Rapides;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;23;0;0;0;0;0;0;0;0
454;Laval-des-Rapides;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;17;0;0;0;0;0;0;0;0
