Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benmoumene Mohamed P.V.Q./G.P.Q.;Lavallée Ian P.C.Q-E.E.D.;Leblanc Richard Jr Q.S.;Lecours Lucie C.A.Q.-E.F.L.;Ouellette Normand P.Q.;Stavrakakis Elizabeth P.L.Q./Q.L.P.;B.V.;B.R.
530;Les Plaines;2022-10-03;G;Mirabel, v;5;;1;356;4;27;18;54;22;6;131;5
530;Les Plaines;2022-10-03;G;Mirabel, v;5;;2;368;2;18;33;82;42;7;184;1
530;Les Plaines;2022-10-03;G;Mirabel, v;5;;3;407;0;10;11;83;24;8;136;1
530;Les Plaines;2022-10-03;G;Mirabel, v;5;;4;375;5;17;25;83;25;13;168;3
530;Les Plaines;2022-10-03;G;Mirabel, v;5;;5;356;2;30;28;56;30;11;157;3
530;Les Plaines;2022-10-03;G;Mirabel, v;5;;6A;228;1;9;14;32;8;7;71;2
530;Les Plaines;2022-10-03;G;Mirabel, v;5;;6B;225;1;14;16;22;16;2;71;3
530;Les Plaines;2022-10-03;G;Mirabel, v;5;;7;355;1;12;8;78;22;2;123;5
530;Les Plaines;2022-10-03;G;Mirabel, v;5;;8;360;2;19;38;86;27;10;182;1
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;9A;227;2;14;12;67;14;3;112;2
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;9B;207;3;13;14;49;28;9;116;0
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;10;426;0;33;33;69;34;5;174;4
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;11;411;0;28;36;63;40;16;183;2
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;12;387;2;33;19;91;36;7;188;4
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;13;393;4;13;34;101;34;10;196;0
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;14;399;5;20;33;98;36;8;200;4
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;15;389;2;19;36;82;20;6;165;0
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;16;401;0;21;25;65;34;10;155;2
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;17;400;1;18;35;75;38;9;176;5
530;Les Plaines;2022-10-03;G;Mirabel, v;6;;18;405;4;30;19;49;21;12;135;4
530;Les Plaines;2022-10-03;G;Mirabel, v;7;;19;410;2;20;28;54;45;6;155;3
530;Les Plaines;2022-10-03;G;Mirabel, v;7;;20;405;3;21;37;81;39;9;190;4
530;Les Plaines;2022-10-03;G;Mirabel, v;7;;21;392;0;25;16;73;28;2;144;0
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;22;380;1;30;28;65;17;12;153;4
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;23;367;0;14;21;59;26;7;127;2
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;24;367;6;16;33;76;31;5;167;2
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;25;373;0;18;29;76;33;6;162;4
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;26;360;5;19;15;81;33;6;159;1
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;27;365;0;9;19;66;18;9;121;2
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;28;416;0;11;25;82;16;4;138;2
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;29;376;4;24;34;70;43;6;181;3
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;30;381;1;18;44;65;45;8;181;7
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;31;367;4;22;37;54;24;10;151;3
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;32;374;4;27;27;91;29;5;183;5
530;Les Plaines;2022-10-03;G;Mirabel, v;8;;33;395;0;20;30;103;19;11;183;5
530;Les Plaines;2022-10-03;G;Sainte-Anne-des-Plaines, v;1;;34;368;3;19;20;72;22;6;142;6
530;Les Plaines;2022-10-03;G;Sainte-Anne-des-Plaines, v;1;;35;348;3;20;30;91;36;10;190;4
530;Les Plaines;2022-10-03;G;Sainte-Anne-des-Plaines, v;1;;36;374;2;24;22;101;27;21;197;4
530;Les Plaines;2022-10-03;G;Sainte-Anne-des-Plaines, v;1;;37;346;3;19;31;72;37;6;168;3
530;Les Plaines;2022-10-03;G;Sainte-Anne-des-Plaines, v;1;;38;353;3;18;32;82;47;1;183;6
530;Les Plaines;2022-10-03;G;Sainte-Anne-des-Plaines, v;1;;39;353;3;24;36;88;45;2;198;3
