Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchemin Fred P.L.Q./Q.L.P.;Bellemare Serge C.Q.;Clarke Keeton B.M.-E.B.H.;Drakul Aleksa P.C.Q-E.E.D.;Lavoie Angélique Soleil Q.S.;Michaud Vicky C.A.Q.-E.F.L.;Thériault Carole P.V.Q./G.P.Q.;Tremblay Suzanne P.Q.;B.V.;B.R.
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;52;;1;388;64;1;3;18;13;31;1;11;142;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;52;;2;390;41;1;0;20;17;24;5;20;128;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;52;;3;387;58;1;3;24;10;30;6;7;139;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;52;;4;397;38;1;0;13;36;41;6;25;160;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;52;;5;378;47;2;3;10;21;37;2;9;131;5
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;52;;6;396;52;1;4;23;19;43;5;5;152;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;53;;7;393;66;0;7;22;14;35;2;4;150;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;53;;8;407;73;1;1;42;25;18;2;8;170;4
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;53;;9;359;61;0;2;11;7;7;6;4;98;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;53;;10;380;49;1;8;10;6;17;1;7;99;4
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;53;;11;399;50;0;1;12;10;41;2;13;129;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;54;;12;305;31;0;3;12;9;43;2;11;111;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;54;;13;318;40;0;4;34;28;40;1;19;166;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;54;;14;297;34;0;3;12;23;36;3;17;128;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;54;;15;294;45;0;3;19;15;29;1;17;129;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;55;;16;331;51;0;3;12;12;19;1;3;101;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;55;;17;326;74;0;9;12;7;20;5;4;131;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;55;;18;337;63;1;6;18;16;35;3;18;160;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;55;;19;323;66;0;4;22;10;25;1;7;135;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;55;;20;344;72;1;2;11;9;21;1;9;126;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;55;;21;337;74;1;9;20;8;12;2;4;130;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;56;;22;385;60;0;4;9;10;12;4;4;103;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;56;;23;388;101;0;3;19;11;20;3;4;161;4
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;56;;24;383;63;0;5;16;12;28;6;8;138;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;56;;25;367;77;0;1;21;17;23;2;7;148;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;56;;26;425;82;0;6;35;28;43;4;14;212;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;56;;27;405;73;1;1;25;19;12;2;7;140;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;56;;28;396;66;1;5;20;17;41;5;19;174;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;56;;29;411;74;1;0;21;19;41;4;5;165;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;57;;30;365;62;0;4;12;23;24;3;8;136;9
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;57;;31;380;73;0;2;23;11;21;0;6;136;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;57;;32;354;96;0;5;21;9;16;0;7;154;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;57;;33;374;103;2;6;16;3;15;2;3;150;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;58;;34;355;68;1;3;22;15;29;0;5;143;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;58;;35;346;107;0;4;11;11;12;3;5;153;2
