Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baaklini Marc C.A.Q.-E.F.L.;Ciccone Enrico P.L.Q./Q.L.P.;Côté Jérémy Q.S.;Jauffur Shameem P.V.Q./G.P.Q.;Nassr Sam P.C.Q-E.E.D.;Richard Stéphane P.Q.;Vincent Ardea Félix Ind;B.V.;B.R.
306;Marquette;2022-10-03;G;Dorval, v;1;;1;368;16;84;6;7;30;2;0;145;0
306;Marquette;2022-10-03;G;Dorval, v;1;;2;390;7;87;12;9;18;1;0;134;2
306;Marquette;2022-10-03;G;Dorval, v;1;;3;395;14;132;10;9;15;5;3;188;3
306;Marquette;2022-10-03;G;Dorval, v;1;;4;382;14;131;12;11;19;0;1;188;0
306;Marquette;2022-10-03;G;Dorval, v;1;;5;383;20;102;12;4;16;4;1;159;2
306;Marquette;2022-10-03;G;Dorval, v;1;;6;384;19;102;7;7;21;9;1;166;1
306;Marquette;2022-10-03;G;Dorval, v;1;;7;377;6;116;8;3;13;3;0;149;3
306;Marquette;2022-10-03;G;Dorval, v;2;;8;389;18;89;11;8;17;10;0;153;1
306;Marquette;2022-10-03;G;Dorval, v;2;;9;405;17;109;15;12;7;13;0;173;3
306;Marquette;2022-10-03;G;Dorval, v;2;;10;416;13;134;13;5;21;3;0;189;1
306;Marquette;2022-10-03;G;Dorval, v;2;;11;414;19;132;19;19;24;3;1;217;1
306;Marquette;2022-10-03;G;Dorval, v;2;;12;414;15;119;18;9;22;10;0;193;1
306;Marquette;2022-10-03;G;Dorval, v;3;;13;364;18;82;6;11;12;3;0;132;0
306;Marquette;2022-10-03;G;Dorval, v;3;;14;370;16;96;11;10;19;1;1;154;0
306;Marquette;2022-10-03;G;Dorval, v;3;;15;374;21;109;16;3;18;5;2;174;1
306;Marquette;2022-10-03;G;Dorval, v;3;;16;384;8;117;10;5;18;7;1;166;2
306;Marquette;2022-10-03;G;Dorval, v;3;;17;379;6;94;14;4;21;3;0;142;1
306;Marquette;2022-10-03;G;Dorval, v;4;;18;365;18;94;9;7;24;4;0;156;3
306;Marquette;2022-10-03;G;Dorval, v;4;;19;353;10;67;10;13;15;8;0;123;0
306;Marquette;2022-10-03;G;Dorval, v;4;;20;360;22;79;10;2;10;6;0;129;1
306;Marquette;2022-10-03;G;Dorval, v;4;;21;364;21;67;8;2;12;3;0;113;1
306;Marquette;2022-10-03;G;Dorval, v;4;;22;366;13;81;9;6;13;5;1;128;3
306;Marquette;2022-10-03;G;Dorval, v;4;;23;363;13;71;6;4;9;2;2;107;1
306;Marquette;2022-10-03;G;Dorval, v;4;;24;357;16;58;4;5;12;1;0;96;0
306;Marquette;2022-10-03;G;Dorval, v;5;;25;358;11;83;12;2;12;6;0;126;0
306;Marquette;2022-10-03;G;Dorval, v;5;;26A;236;7;35;6;5;3;6;0;62;0
306;Marquette;2022-10-03;G;Dorval, v;5;;26B;195;4;31;2;0;16;1;0;54;1
306;Marquette;2022-10-03;G;Dorval, v;5;;27;364;15;68;8;5;23;10;0;129;0
306;Marquette;2022-10-03;G;Dorval, v;5;;28;345;33;91;22;3;5;7;0;161;1
306;Marquette;2022-10-03;G;Dorval, v;5;;29;350;20;80;22;9;15;4;0;150;2
306;Marquette;2022-10-03;G;Dorval, v;5;;30;333;18;53;14;3;14;9;0;111;1
306;Marquette;2022-10-03;G;Dorval, v;6;;31;340;27;47;11;3;18;4;0;110;1
306;Marquette;2022-10-03;G;Dorval, v;6;;32;378;20;72;14;4;13;8;0;131;0
306;Marquette;2022-10-03;G;Dorval, v;6;;33A;254;22;44;3;1;13;6;0;89;0
306;Marquette;2022-10-03;G;Dorval, v;6;;33B;248;8;25;6;1;4;3;0;47;0
306;Marquette;2022-10-03;G;Dorval, v;6;;34;357;27;65;13;2;23;13;2;145;0
306;Marquette;2022-10-03;G;Dorval, v;6;;35;336;19;86;11;3;19;3;0;141;0
306;Marquette;2022-10-03;G;Dorval, v;6;;36;341;17;84;14;6;24;4;1;150;0
