Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélisle Marc-André P.V.Q./G.P.Q.;Bellerose-Simard Émile Q.S.;Bourret Gabriel P.L.Q./Q.L.P.;Handfield Stéphane P.Q.;Lemay Mathieu C.A.Q.-E.F.L.;Truchon François P.C.Q-E.E.D.;B.V.;B.R.
548;Masson;2022-10-03;G;Terrebonne, v;20;;1;348;2;21;10;17;61;13;124;2
548;Masson;2022-10-03;G;Terrebonne, v;20;;2;363;1;17;3;29;41;16;107;1
548;Masson;2022-10-03;G;Terrebonne, v;20;;3;365;0;39;25;30;81;11;186;2
548;Masson;2022-10-03;G;Terrebonne, v;20;;4;353;4;23;11;23;97;23;181;2
548;Masson;2022-10-03;G;Terrebonne, v;21;;5;404;0;29;58;30;87;27;231;2
548;Masson;2022-10-03;G;Terrebonne, v;21;;6;389;0;26;16;40;86;19;187;0
548;Masson;2022-10-03;G;Terrebonne, v;21;;7;368;0;15;10;24;79;14;142;2
548;Masson;2022-10-03;G;Terrebonne, v;21;;8;383;0;21;15;28;87;6;157;2
548;Masson;2022-10-03;G;Terrebonne, v;21;;9;390;1;13;20;27;86;15;162;2
548;Masson;2022-10-03;G;Terrebonne, v;21;;10;387;3;44;44;18;97;19;225;0
548;Masson;2022-10-03;G;Terrebonne, v;21;;11;392;7;24;38;30;84;8;191;1
548;Masson;2022-10-03;G;Terrebonne, v;21;;12;391;0;25;21;15;64;15;140;0
548;Masson;2022-10-03;G;Terrebonne, v;21;;13;407;4;25;43;30;69;15;186;4
548;Masson;2022-10-03;G;Terrebonne, v;21;;14;383;0;28;53;24;54;8;167;3
548;Masson;2022-10-03;G;Terrebonne, v;21;;15;394;2;20;27;31;53;12;145;1
548;Masson;2022-10-03;G;Terrebonne, v;21;;16;391;1;29;20;33;71;22;176;5
548;Masson;2022-10-03;G;Terrebonne, v;22;;17;397;1;20;26;30;94;12;183;4
548;Masson;2022-10-03;G;Terrebonne, v;22;;18;388;3;17;29;31;70;7;157;2
548;Masson;2022-10-03;G;Terrebonne, v;22;;19;412;1;33;40;30;73;28;205;3
548;Masson;2022-10-03;G;Terrebonne, v;22;;20;395;4;23;39;31;93;19;209;2
548;Masson;2022-10-03;G;Terrebonne, v;22;;21;402;0;25;33;45;101;18;222;4
548;Masson;2022-10-03;G;Terrebonne, v;22;;22;390;1;27;23;35;59;18;163;2
548;Masson;2022-10-03;G;Terrebonne, v;22;;23;399;3;33;26;42;81;25;210;0
548;Masson;2022-10-03;G;Terrebonne, v;22;;24;422;1;50;26;27;76;11;191;3
548;Masson;2022-10-03;G;Terrebonne, v;22;;25;404;2;32;39;20;72;23;188;5
548;Masson;2022-10-03;G;Terrebonne, v;22;;26;405;4;22;29;22;54;18;149;1
548;Masson;2022-10-03;G;Terrebonne, v;22;;27;413;2;24;44;15;87;26;198;5
548;Masson;2022-10-03;G;Mascouche, v;1;;28;382;1;22;6;26;71;23;149;4
548;Masson;2022-10-03;G;Mascouche, v;1;;29;383;4;33;1;31;55;30;154;6
548;Masson;2022-10-03;G;Mascouche, v;1;;30;381;0;34;2;25;77;20;158;1
548;Masson;2022-10-03;G;Mascouche, v;1;;31;393;0;24;13;54;98;12;201;3
548;Masson;2022-10-03;G;Mascouche, v;1;;32;393;1;33;12;34;96;26;202;3
548;Masson;2022-10-03;G;Mascouche, v;1;;33;375;0;25;8;31;98;19;181;5
548;Masson;2022-10-03;G;Mascouche, v;1;;34;381;0;22;8;54;81;14;179;3
