Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barriault Jean-Sébastien C.A.Q.-E.F.L.;Bérubé Pascal P.Q.;Boucher Marie-Phare Q.S.;Leblanc Alexandre P.C.Q-E.E.D.;Lounsbury Harley Ryan P.L.Q./Q.L.P.;Rose Madeleine U.F.F.;B.V.;B.R.
842;Matane-Matapédia;2022-10-03;G;Les Méchins, m;1;;1;282;40;80;2;10;2;3;137;1
842;Matane-Matapédia;2022-10-03;G;Les Méchins, m;1;;2;285;32;103;3;6;6;0;150;0
842;Matane-Matapédia;2022-10-03;G;Les Méchins, m;1;;3;299;55;101;4;8;2;0;170;3
842;Matane-Matapédia;2022-10-03;G;Grosses-Roches, m;1;;4;334;38;76;3;13;1;0;131;2
842;Matane-Matapédia;2022-10-03;G;Saint-Jean-de-Cherbourg, p;1;;5;131;10;56;0;1;0;0;67;1
842;Matane-Matapédia;2022-10-03;G;Sainte-Félicité, m;1;;6;299;23;121;8;12;4;0;168;1
842;Matane-Matapédia;2022-10-03;G;Sainte-Félicité, m;1;;7;307;17;108;5;8;5;2;145;0
842;Matane-Matapédia;2022-10-03;G;Sainte-Félicité, m;1;;8;303;32;123;9;9;2;0;175;2
842;Matane-Matapédia;2022-10-03;G;Saint-Adelme, p;1;;9;382;39;157;6;23;2;3;230;3
842;Matane-Matapédia;2022-10-03;G;Saint-René-de-Matane, m;1;;10;389;34;153;1;21;4;3;216;3
842;Matane-Matapédia;2022-10-03;G;Saint-René-de-Matane, m;1;;11;398;44;120;8;19;1;0;192;1
842;Matane-Matapédia;2022-10-03;G;Matane, v;1;;12;370;28;110;5;14;1;1;159;3
842;Matane-Matapédia;2022-10-03;G;Matane, v;1;;13;356;30;95;9;12;3;0;149;0
842;Matane-Matapédia;2022-10-03;G;Matane, v;1;;14;370;31;105;5;9;7;0;157;1
842;Matane-Matapédia;2022-10-03;G;Matane, v;1;;15;353;29;84;3;6;1;0;123;1
842;Matane-Matapédia;2022-10-03;G;Matane, v;1;;16;346;15;80;5;10;3;1;114;1
842;Matane-Matapédia;2022-10-03;G;Matane, v;1;;17;360;24;84;5;4;2;2;121;2
842;Matane-Matapédia;2022-10-03;G;Matane, v;2;;18;373;26;96;2;6;4;2;136;2
