Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouazzi Haroun Q.S.;Bouchardy Patrick C.Q.;Chéry Théodat Kassandre Ind;Di Stefano Andrea B.M.-E.B.H.;Fournelle Gilles P.V.Q./G.P.Q.;Jorg Chantal P.Q.;Marleau Jonathan P.L.Q./Q.L.P.;Murray Audrey C.A.Q.-E.F.L.;Sexton Louise P.C.Q-E.E.D.;B.V.;B.R.
340;Maurice-Richard;2022-10-03;G;Montréal, v;242;;1;349;36;1;0;1;1;37;21;47;9;153;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;242;;2;349;66;0;0;2;2;41;24;41;6;182;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;242;;3;344;80;0;0;0;2;26;19;23;3;153;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;242;;4;355;53;2;2;0;3;24;13;48;6;151;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;242;;5;360;56;0;0;0;1;27;29;36;11;160;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;242;;6;356;51;0;0;0;1;28;31;29;7;147;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;242;;7;350;44;0;1;1;0;30;22;41;2;141;5
340;Maurice-Richard;2022-10-03;G;Montréal, v;243;;8;355;74;1;1;1;0;16;37;36;4;170;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;243;;9;353;53;0;0;1;1;23;22;71;8;179;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;243;;10;350;73;0;0;1;1;37;18;36;2;168;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;243;;11;349;61;0;1;1;0;21;17;25;2;128;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;243;;12;353;101;0;1;0;3;23;24;18;6;176;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;244;;13;325;47;0;2;0;2;13;34;25;8;131;5
340;Maurice-Richard;2022-10-03;G;Montréal, v;244;;14;337;61;0;0;0;3;17;26;46;3;156;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;244;;15;340;63;0;0;0;1;18;25;20;11;138;0
