Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boundjia Catherine P.L.Q./Q.L.P.;Cartwright Jenny P.N.;Da Costa Emmanuel P.C.Q-E.E.D.;Ghazal Ruba Q.S.;Langlois Véronique P.V.Q./G.P.Q.;Lavictoire Florence C.A.Q.-E.F.L.;Mercier-Ullhorn Sabrina P.Q.;B.V.;B.R.
350;Mercier;2022-10-03;G;Montréal, v;174;;1;379;31;0;9;66;9;10;8;133;0
350;Mercier;2022-10-03;G;Montréal, v;174;;2;371;28;0;5;63;5;10;9;120;2
350;Mercier;2022-10-03;G;Montréal, v;174;;3;369;28;1;10;76;9;15;10;149;0
350;Mercier;2022-10-03;G;Montréal, v;174;;4;360;34;0;10;49;8;5;4;110;4
350;Mercier;2022-10-03;G;Montréal, v;174;;5;367;47;0;3;56;16;7;10;139;1
350;Mercier;2022-10-03;G;Montréal, v;174;;6;344;25;2;6;36;5;12;12;98;0
350;Mercier;2022-10-03;G;Montréal, v;174;;7;333;24;0;8;50;5;6;9;102;0
350;Mercier;2022-10-03;G;Montréal, v;175;;8;342;34;0;12;30;2;5;2;85;1
350;Mercier;2022-10-03;G;Montréal, v;175;;9;341;37;1;3;63;5;6;13;128;1
350;Mercier;2022-10-03;G;Montréal, v;175;;10;358;26;1;13;48;1;4;1;94;1
350;Mercier;2022-10-03;G;Montréal, v;175;;11;354;21;0;10;33;1;10;3;78;0
350;Mercier;2022-10-03;G;Montréal, v;175;;12;347;10;0;10;33;7;5;5;70;0
350;Mercier;2022-10-03;G;Montréal, v;175;;13;366;25;0;5;36;3;9;2;80;2
350;Mercier;2022-10-03;G;Montréal, v;175;;14;349;25;1;8;77;5;8;18;142;2
350;Mercier;2022-10-03;G;Montréal, v;175;;15;365;15;0;5;22;2;21;1;66;0
350;Mercier;2022-10-03;G;Montréal, v;175;;16;348;37;0;15;67;6;10;12;147;2
350;Mercier;2022-10-03;G;Montréal, v;176;;17;382;48;0;15;92;7;3;17;182;0
350;Mercier;2022-10-03;G;Montréal, v;176;;18;409;38;4;9;105;5;3;21;185;3
350;Mercier;2022-10-03;G;Montréal, v;176;;19;420;52;1;9;101;10;4;15;192;2
350;Mercier;2022-10-03;G;Montréal, v;176;;20;370;38;1;5;88;10;5;19;166;0
350;Mercier;2022-10-03;G;Montréal, v;176;;21;392;45;2;11;90;9;15;11;183;2
350;Mercier;2022-10-03;G;Montréal, v;176;;22;384;48;2;10;77;11;12;8;168;1
350;Mercier;2022-10-03;G;Montréal, v;177;;23;385;36;0;7;77;15;5;13;153;3
350;Mercier;2022-10-03;G;Montréal, v;177;;24;370;45;1;9;66;6;10;8;145;0
350;Mercier;2022-10-03;G;Montréal, v;177;;25;384;37;0;7;63;8;17;15;147;1
350;Mercier;2022-10-03;G;Montréal, v;177;;26;362;29;1;11;77;7;28;13;166;2
350;Mercier;2022-10-03;G;Montréal, v;177;;27;419;30;0;3;109;13;15;13;183;1
350;Mercier;2022-10-03;G;Montréal, v;177;;28;293;25;0;7;65;9;16;24;146;0
350;Mercier;2022-10-03;G;Montréal, v;178;;29;407;52;0;11;65;7;13;18;166;2
350;Mercier;2022-10-03;G;Montréal, v;178;;30;389;50;1;7;81;6;13;17;175;1
350;Mercier;2022-10-03;G;Montréal, v;178;;31;376;44;0;4;65;9;22;7;151;1
350;Mercier;2022-10-03;G;Montréal, v;178;;32;390;50;1;8;56;7;9;11;142;2
350;Mercier;2022-10-03;G;Montréal, v;178;;33;376;38;0;4;72;4;4;12;134;1
350;Mercier;2022-10-03;G;Montréal, v;178;;34;391;63;0;15;62;5;12;6;163;0
350;Mercier;2022-10-03;G;Montréal, v;179;;35;364;40;1;19;47;1;8;8;124;1
350;Mercier;2022-10-03;G;Montréal, v;179;;36;341;32;0;3;61;7;5;3;111;3
350;Mercier;2022-10-03;G;Montréal, v;179;;37;332;25;2;5;52;7;8;9;108;0
350;Mercier;2022-10-03;G;Montréal, v;179;;38;380;33;0;4;66;7;8;6;124;2
350;Mercier;2022-10-03;G;Montréal, v;179;;39;334;24;0;3;55;10;12;17;121;1
350;Mercier;2022-10-03;G;Montréal, v;179;;40;362;37;0;0;83;6;4;18;148;1
350;Mercier;2022-10-03;G;Montréal, v;180;;41;338;23;0;14;72;2;12;16;139;1
350;Mercier;2022-10-03;G;Montréal, v;180;;42;352;22;0;7;79;2;7;13;130;1
350;Mercier;2022-10-03;G;Montréal, v;180;;43;371;24;2;4;64;4;9;32;139;0
350;Mercier;2022-10-03;G;Montréal, v;180;;44;367;16;0;1;75;6;12;33;143;1
350;Mercier;2022-10-03;G;Montréal, v;180;;45;372;28;1;8;77;5;6;27;152;0
350;Mercier;2022-10-03;G;Montréal, v;180;;46;367;17;0;8;60;2;15;21;123;2
