Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bigilimana Ange Claude P.C.Q-E.E.D.;Dufour Virginie P.L.Q./Q.L.P.;Jitaru Bianca P.V.Q./G.P.Q.;Lachance Michel P.Q.;Lajoie Guillaume Q.S.;Séide Julie C.A.Q.-E.F.L.;B.V.;B.R.
482;Mille-Îles;2022-10-03;G;Laval, v;77;;1;375;16;46;5;22;24;44;157;3
482;Mille-Îles;2022-10-03;G;Laval, v;77;;2;381;16;78;3;23;26;40;186;1
482;Mille-Îles;2022-10-03;G;Laval, v;77;;3;392;13;64;1;19;25;36;158;2
482;Mille-Îles;2022-10-03;G;Laval, v;77;;4;379;23;65;8;14;20;51;181;0
482;Mille-Îles;2022-10-03;G;Laval, v;77;;5;362;17;74;3;17;13;57;181;1
482;Mille-Îles;2022-10-03;G;Laval, v;77;;6;378;24;83;1;22;29;43;202;2
482;Mille-Îles;2022-10-03;G;Laval, v;77;;7;386;10;58;0;18;14;36;136;2
482;Mille-Îles;2022-10-03;G;Laval, v;78;;8;365;7;35;2;32;12;56;144;1
482;Mille-Îles;2022-10-03;G;Laval, v;78;;9;401;13;60;3;35;37;54;202;3
482;Mille-Îles;2022-10-03;G;Laval, v;78;;10;375;18;46;5;16;36;67;188;2
482;Mille-Îles;2022-10-03;G;Laval, v;78;;11;371;12;44;2;18;23;49;148;7
482;Mille-Îles;2022-10-03;G;Laval, v;78;;12;385;14;53;2;26;30;56;181;2
482;Mille-Îles;2022-10-03;G;Laval, v;78;;13;383;17;65;3;25;29;47;186;0
482;Mille-Îles;2022-10-03;G;Laval, v;78;;14;379;20;92;6;17;18;48;201;2
482;Mille-Îles;2022-10-03;G;Laval, v;79;;15;398;22;71;4;17;39;52;205;2
482;Mille-Îles;2022-10-03;G;Laval, v;79;;16;396;43;81;1;20;10;25;180;1
482;Mille-Îles;2022-10-03;G;Laval, v;79;;17;397;19;60;2;19;29;67;196;0
