Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ait Akil Sabrina P.C.Q-E.E.D.;Bastien Ophélie P.Q.;Beaumier Sarah C.A.Q.-E.F.L.;Cherniak David A P.N.;Goldberg Harrison Anne P.C.Q./C.P.Q;Guelmi Malik P.V.Q./G.P.Q.;Leblanc Isabelle Q.S.;Setlakwe Michelle P.L.Q./Q.L.P.;B.V.;B.R.
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;1;;1;392;25;6;10;1;3;2;18;61;126;0
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;2;;2;383;30;4;12;1;9;5;8;78;147;0
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;2;;3;398;13;6;29;0;6;4;13;86;157;4
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;2;;4;389;34;1;25;0;6;6;13;92;177;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;2;;5;386;18;3;24;0;9;7;15;82;158;0
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;2;;6;392;17;18;27;0;6;5;19;61;153;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;2;;7;393;25;9;18;0;14;3;11;99;179;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;3;;8;370;16;11;34;1;2;4;17;77;162;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;3;;9;379;19;12;17;0;3;3;21;84;159;3
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;3;;10;402;14;11;16;0;0;1;33;74;149;0
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;3;;11;375;14;18;35;1;3;2;11;79;163;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;3;;12;381;28;3;22;0;4;5;9;78;149;2
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;3;;13;374;21;3;20;0;8;0;11;74;137;4
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;3;;14;365;23;7;25;0;1;1;6;70;133;0
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;4;;15;383;17;7;14;0;6;1;14;68;127;2
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;4;;16;376;28;5;12;1;4;1;6;76;133;3
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;4;;17;376;18;1;12;0;1;3;16;67;118;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;4;;18;383;13;18;30;0;2;4;22;75;164;0
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;4;;19;371;24;14;17;0;3;3;8;88;157;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;5;;20;375;31;6;21;0;0;1;8;62;129;6
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;5;;21;376;43;7;19;0;2;2;6;70;149;0
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;5;;22;377;32;9;20;0;1;3;5;78;148;2
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;5;;23;382;29;5;20;0;13;2;12;80;161;4
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;5;;24;367;17;17;24;1;4;2;25;56;146;0
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;6;;25;330;18;20;24;1;3;6;21;62;155;5
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;6;;26;329;13;25;27;3;4;9;12;70;163;3
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;6;;27;327;6;19;37;1;2;3;23;53;144;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;6;;28;334;13;25;29;1;2;5;18;46;139;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;6;;29;321;11;10;13;0;5;1;15;46;101;2
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;7;;30;403;22;7;25;0;1;8;14;91;168;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;7;;31;393;11;11;20;0;6;11;13;66;138;3
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;7;;32;398;22;11;14;1;3;4;23;55;133;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;7;;33;381;17;16;22;0;6;8;13;72;154;3
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;7;;34;404;19;15;27;0;3;11;26;62;163;2
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;7;;35;386;27;8;16;1;1;6;28;87;174;1
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;8;;36;281;17;4;11;0;1;3;13;32;81;2
336;Mont-Royal-Outremont;2022-10-03;G;Mont-Royal, v;8;;37;297;22;8;24;0;2;2;9;54;121;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;139;;38;376;17;6;11;0;1;4;16;48;103;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;139;;39;366;23;6;12;1;5;2;11;72;132;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;139;;40;356;11;2;6;1;5;3;13;57;98;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;139;;41;371;13;5;9;0;2;5;7;62;103;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;139;;42;370;16;1;6;0;4;2;19;56;104;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;139;;43;388;8;1;6;0;2;2;6;99;124;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;140;;44;342;25;7;6;1;1;1;19;63;123;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;140;;45;338;15;3;10;1;2;4;15;58;108;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;140;;46;340;17;0;19;0;5;1;16;35;93;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;140;;47;318;22;4;7;1;3;1;15;53;106;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;140;;48;327;18;7;21;0;5;2;12;46;111;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;141;;49;369;3;2;15;0;1;4;13;95;133;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;141;;50;398;10;2;5;1;0;1;15;74;108;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;141;;51;379;7;8;8;0;3;3;12;73;114;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;141;;52;395;6;1;10;1;2;2;16;82;120;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;142;;53;390;13;4;14;0;2;4;13;62;112;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;142;;54;376;9;17;29;1;0;6;32;76;170;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;142;;55;371;16;6;27;4;2;2;16;68;141;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;143;;56;356;10;5;11;1;3;2;22;70;124;4
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;143;;57;356;11;3;15;1;5;1;20;82;138;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;143;;58;353;11;2;13;1;0;3;27;63;120;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;143;;59;330;12;3;6;0;11;1;26;45;104;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;143;;60;334;10;5;9;0;4;1;7;35;71;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;143;;61;355;11;1;3;0;1;14;5;20;55;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;143;;62;350;2;4;7;0;4;4;18;57;96;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;143;;63;367;7;12;9;0;2;4;25;52;111;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;143;;64;332;2;5;8;1;2;3;21;36;78;3
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;144;;65;398;15;2;14;1;1;2;32;67;134;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;144;;66;409;24;2;12;1;2;0;24;59;124;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;144;;67;411;15;4;12;0;5;4;32;69;141;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;144;;68;424;15;10;15;0;2;2;44;54;142;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;144;;69;398;16;22;20;0;7;3;46;49;163;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;144;;70;410;13;26;14;0;1;6;45;50;155;4
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;144;;71;417;7;22;22;0;1;6;71;36;165;3
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;145;;72;353;6;11;11;2;0;5;34;25;94;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;145;;73;378;8;4;11;1;2;5;28;51;110;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;145;;74;395;5;11;7;0;2;1;21;48;95;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;145;;75;388;13;8;10;2;2;2;34;48;119;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;145;;76;380;8;6;14;0;1;6;30;55;120;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;145;;77;366;13;3;15;0;3;0;15;55;104;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;145;;78;383;11;9;9;2;1;2;39;35;108;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;146;;79;359;11;14;15;0;1;11;33;31;116;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;146;;80;342;11;19;14;0;3;3;31;45;126;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;146;;81;334;21;1;11;0;1;0;14;54;102;4
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;146;;82;348;10;28;28;0;1;3;23;36;129;2
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;146;;83;341;7;9;16;0;0;1;13;35;81;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;146;;84;357;14;9;15;0;0;2;30;34;104;1
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;147;;85;384;4;17;21;0;1;2;26;34;105;2
