Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chenard Mathieu P.C.Q-E.E.D.;Duncan André P.Q.;Gagné Eloïse P.L.Q./Q.L.P.;Giguère André P51;Jacques François C.A.Q.-E.F.L.;Ouellet Marilyn Q.S.;B.V.;B.R.
104;Mégantic;2022-10-03;G;Audet, m;1;;1;264;63;7;3;0;83;14;170;3
104;Mégantic;2022-10-03;G;Audet, m;1;;2;242;48;10;7;0;62;16;143;1
104;Mégantic;2022-10-03;G;Lac-Drolet, m;1;;3;305;60;22;13;0;77;24;196;1
104;Mégantic;2022-10-03;G;Lac-Drolet, m;1;;4;297;57;20;7;0;91;23;198;3
104;Mégantic;2022-10-03;G;Lac-Drolet, m;1;;5;280;45;32;6;1;74;7;165;2
104;Mégantic;2022-10-03;G;Saint-Sébastien, m;1;;6;270;42;31;5;1;73;10;162;1
104;Mégantic;2022-10-03;G;Saint-Sébastien, m;1;;7;273;67;18;5;0;78;10;178;2
104;Mégantic;2022-10-03;G;Lambton, m;1;;8;333;30;14;5;0;55;9;113;0
104;Mégantic;2022-10-03;G;Lambton, m;1;;9;301;44;11;3;0;39;9;106;0
104;Mégantic;2022-10-03;G;Lambton, m;1;;10;308;27;6;4;0;41;8;86;1
104;Mégantic;2022-10-03;G;Lambton, m;1;;11;321;36;22;5;1;53;8;125;2
104;Mégantic;2022-10-03;G;Sainte-Praxède, p;1;;12;287;42;22;0;1;81;13;159;0
104;Mégantic;2022-10-03;G;Disraeli, p;1;;13;326;43;10;6;0;61;9;129;4
104;Mégantic;2022-10-03;G;Disraeli, p;1;;14;328;38;16;7;0;52;10;123;1
104;Mégantic;2022-10-03;G;Disraeli, p;1;;15;328;49;15;3;0;53;9;129;1
104;Mégantic;2022-10-03;G;Disraeli, v;1;;16;387;49;22;3;0;70;10;154;5
104;Mégantic;2022-10-03;G;Disraeli, v;1;;17;396;34;10;5;2;51;6;108;2
104;Mégantic;2022-10-03;G;Disraeli, v;1;;18;403;48;28;7;2;56;8;149;6
104;Mégantic;2022-10-03;G;Disraeli, v;1;;19;380;48;16;3;2;53;10;132;7
104;Mégantic;2022-10-03;G;Disraeli, v;1;;20;376;41;28;9;4;47;12;141;2
104;Mégantic;2022-10-03;G;Beaulac-Garthby, m;1;;21;423;40;25;2;1;88;16;172;5
104;Mégantic;2022-10-03;G;Beaulac-Garthby, m;1;;22;430;26;20;8;0;116;10;180;3
104;Mégantic;2022-10-03;G;Stratford, ct;1;;23;299;21;15;8;0;91;14;149;3
104;Mégantic;2022-10-03;G;Stratford, ct;1;;24;288;20;15;9;1;92;11;148;1
104;Mégantic;2022-10-03;G;Stratford, ct;1;;25;295;21;26;7;0;87;16;157;2
104;Mégantic;2022-10-03;G;Stornoway, m;1;;26;220;45;24;7;1;69;8;154;3
104;Mégantic;2022-10-03;G;Stornoway, m;1;;27;223;49;10;10;0;63;14;146;1
104;Mégantic;2022-10-03;G;Saint-Romain, m;1;;28;294;49;23;10;0;63;8;153;0
