Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caron Jocelyn P.Q.;Charles Gary P.C.Q-E.E.D.;Derraji Monsef P.L.Q./Q.L.P.;Hanif Neena B.M.-E.B.H.;Hennawy Michael D.D.;Lapierre Cynthia C.A.Q.-E.F.L.;Larue-Bourdages Maxime Q.S.;Marier Jean P.C.Q./C.P.Q;Reiniger Daniel P.V.Q./G.P.Q.;B.V.;B.R.
312;Nelligan;2022-10-03;G;Kirkland, v;1;;1;403;3;27;101;14;0;9;4;11;3;172;3
312;Nelligan;2022-10-03;G;Kirkland, v;1;;2;415;2;43;102;1;0;15;5;23;2;193;0
312;Nelligan;2022-10-03;G;Kirkland, v;1;;3;414;0;36;125;3;0;13;7;15;8;207;1
312;Nelligan;2022-10-03;G;Kirkland, v;1;;4;408;4;38;88;4;0;17;9;8;2;170;1
312;Nelligan;2022-10-03;G;Kirkland, v;1;;5;413;6;41;104;4;0;20;4;8;7;194;1
312;Nelligan;2022-10-03;G;Kirkland, v;1;;6;405;5;32;129;7;0;18;8;5;1;205;0
312;Nelligan;2022-10-03;G;Kirkland, v;1;;7;398;0;37;98;5;0;15;6;13;4;178;0
312;Nelligan;2022-10-03;G;Kirkland, v;2;;8;356;2;33;125;1;0;12;3;7;3;186;1
312;Nelligan;2022-10-03;G;Kirkland, v;2;;9;369;4;24;121;4;0;23;5;10;2;193;0
312;Nelligan;2022-10-03;G;Kirkland, v;2;;10;365;7;40;108;0;0;18;1;6;6;186;2
312;Nelligan;2022-10-03;G;Kirkland, v;2;;11;370;5;34;102;3;0;11;3;7;3;168;2
312;Nelligan;2022-10-03;G;Kirkland, v;2;;12;360;6;17;103;0;2;19;3;11;5;166;0
312;Nelligan;2022-10-03;G;Kirkland, v;2;;13;362;2;33;86;1;0;26;7;9;5;169;0
312;Nelligan;2022-10-03;G;Kirkland, v;2;;14;366;4;19;85;1;0;13;7;12;7;148;0
312;Nelligan;2022-10-03;G;Kirkland, v;3;;15;371;1;48;93;1;1;11;5;6;3;169;1
312;Nelligan;2022-10-03;G;Kirkland, v;3;;16;377;1;32;87;6;0;19;5;8;3;161;4
312;Nelligan;2022-10-03;G;Kirkland, v;3;;17;382;4;29;127;2;0;15;3;12;2;194;2
