Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allard Monique P.Q.;Bélanger Gilles C.A.Q.-E.F.L.;Gandey Mark P.C.Q./C.P.Q;Hamm Vicki-May P.L.Q./Q.L.P.;Lacroix Joel D.D.;Lamontagne Lacasse Martin P.C.Q-E.E.D.;Sassi Kenza Q.S.;B.V.;B.R.
120;Orford;2022-10-03;G;Stanstead, v;1;;1;365;7;24;9;36;1;33;17;127;2
120;Orford;2022-10-03;G;Stanstead, v;1;;2;366;4;17;16;39;0;28;5;109;1
120;Orford;2022-10-03;G;Stanstead, v;1;;3;370;1;29;13;50;1;21;5;120;4
120;Orford;2022-10-03;G;Stanstead, v;1;;4;368;7;12;4;39;4;32;5;103;1
120;Orford;2022-10-03;G;Stanstead, v;1;;5;364;8;16;7;44;0;15;17;107;0
120;Orford;2022-10-03;G;Stanstead, v;1;;6;371;5;30;7;34;0;33;7;116;0
120;Orford;2022-10-03;G;Ogden, m;1;;7;302;7;37;6;41;0;15;3;109;1
120;Orford;2022-10-03;G;Ogden, m;1;;8;305;1;23;3;39;0;35;7;108;2
120;Orford;2022-10-03;G;Stanstead, ct;1;;9;308;36;55;3;36;2;18;21;171;0
120;Orford;2022-10-03;G;Stanstead, ct;1;;10;307;28;64;5;30;0;26;15;168;0
120;Orford;2022-10-03;G;Stanstead, ct;1;;11;311;11;28;2;86;1;30;15;173;0
120;Orford;2022-10-03;G;Potton, ct;1;;12;405;21;52;6;68;0;22;14;183;0
120;Orford;2022-10-03;G;Potton, ct;1;;13;416;19;42;7;67;1;30;8;174;1
120;Orford;2022-10-03;G;Potton, ct;1;;14;411;18;49;5;49;0;36;25;182;1
120;Orford;2022-10-03;G;Potton, ct;1;;15;407;27;35;6;62;1;28;22;181;1
120;Orford;2022-10-03;G;Bolton-Est, m;1;;16;323;17;36;5;32;1;27;26;144;2
120;Orford;2022-10-03;G;Bolton-Est, m;1;;17;319;21;53;1;25;0;23;31;154;2
120;Orford;2022-10-03;G;Bolton-Est, m;1;;18;327;31;72;1;22;0;14;32;172;1
120;Orford;2022-10-03;G;Saint-Étienne-de-Bolton, m;1;;19;366;39;67;3;23;0;26;58;216;3
120;Orford;2022-10-03;G;Saint-Étienne-de-Bolton, m;1;;20;358;33;66;1;21;1;14;28;164;2
120;Orford;2022-10-03;G;Stukely-Sud, vl;1;;21;351;22;80;1;18;2;32;21;176;4
120;Orford;2022-10-03;G;Stukely-Sud, vl;1;;22;333;26;40;3;31;0;65;23;188;3
120;Orford;2022-10-03;G;Stukely-Sud, vl;1;;23;345;21;73;1;13;1;22;29;160;4
120;Orford;2022-10-03;G;Sainte-Anne-de-la-Rochelle, m;1;;24;237;22;83;0;4;5;26;19;159;4
