Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arbour Melissa P.V.Q./G.P.Q.;Brazeau Cédric D.D.;Carrière Marc P.C.Q-E.E.D.;Chicoine Audrey-Ann P.Q.;Lacombe Mathieu C.A.Q.-E.F.L.;Latourelle Marie-Claude Q.S.;Semervil Wittlyn Kate P.L.Q./Q.L.P.;B.V.;B.R.
626;Papineau;2022-10-03;G;Gatineau, v;46;;1;388;2;0;13;15;60;17;15;122;3
626;Papineau;2022-10-03;G;Gatineau, v;46;;2;355;4;0;10;17;42;16;13;102;3
626;Papineau;2022-10-03;G;Gatineau, v;46;;3;401;0;0;9;6;31;20;9;75;1
626;Papineau;2022-10-03;G;Gatineau, v;46;;4;372;2;0;14;7;59;10;13;105;5
626;Papineau;2022-10-03;G;Gatineau, v;46;;5;373;3;2;25;18;44;11;13;116;2
626;Papineau;2022-10-03;G;Gatineau, v;46;;6;380;0;0;36;9;51;21;9;126;3
626;Papineau;2022-10-03;G;Gatineau, v;46;;7;339;6;0;27;9;67;16;7;132;1
626;Papineau;2022-10-03;G;Gatineau, v;46;;8;370;2;0;22;4;48;23;18;117;3
626;Papineau;2022-10-03;G;Gatineau, v;47;;9;398;2;0;21;17;58;21;25;144;1
626;Papineau;2022-10-03;G;Gatineau, v;47;;10;412;4;0;23;10;58;29;22;146;5
626;Papineau;2022-10-03;G;Gatineau, v;47;;11;425;5;0;25;12;51;25;16;134;0
626;Papineau;2022-10-03;G;Gatineau, v;47;;12;410;0;0;30;11;51;19;12;123;1
626;Papineau;2022-10-03;G;Gatineau, v;47;;13;381;5;1;25;14;69;16;13;143;2
626;Papineau;2022-10-03;G;Gatineau, v;47;;14;387;1;2;28;10;80;26;15;162;2
626;Papineau;2022-10-03;G;Gatineau, v;47;;15;357;0;0;12;18;70;29;18;147;4
626;Papineau;2022-10-03;G;Gatineau, v;47;;16;388;3;0;12;18;66;40;17;156;0
626;Papineau;2022-10-03;G;Gatineau, v;48;;17;376;3;0;19;20;99;31;19;191;2
626;Papineau;2022-10-03;G;Gatineau, v;48;;18;386;5;0;23;20;100;26;35;209;0
626;Papineau;2022-10-03;G;Gatineau, v;48;;19;374;0;0;21;19;97;29;34;200;0
626;Papineau;2022-10-03;G;Gatineau, v;48;;20;386;4;0;12;13;94;32;25;180;3
626;Papineau;2022-10-03;G;Gatineau, v;48;;21;386;2;2;18;8;78;25;29;162;1
626;Papineau;2022-10-03;G;Gatineau, v;48;;22;380;1;0;28;10;27;41;15;122;0
626;Papineau;2022-10-03;G;Gatineau, v;48;;23;379;1;0;26;11;59;24;3;124;1
626;Papineau;2022-10-03;G;Gatineau, v;48;;24;392;5;1;25;22;83;31;16;183;0
626;Papineau;2022-10-03;G;Gatineau, v;48;;25A;281;3;0;18;6;34;30;25;116;1
626;Papineau;2022-10-03;G;Gatineau, v;48;;25B;289;1;0;14;12;47;25;22;121;3
626;Papineau;2022-10-03;G;Gatineau, v;48;;26;385;2;0;24;15;73;20;19;153;2
626;Papineau;2022-10-03;G;Gatineau, v;49;;27;364;1;1;18;15;87;26;18;166;0
626;Papineau;2022-10-03;G;Gatineau, v;49;;28;372;2;0;22;15;53;22;12;126;0
626;Papineau;2022-10-03;G;Gatineau, v;49;;29;379;4;0;35;7;69;28;15;158;1
626;Papineau;2022-10-03;G;Gatineau, v;49;;30;354;4;0;16;18;72;17;22;149;2
626;Papineau;2022-10-03;G;Gatineau, v;49;;31;366;2;0;15;22;82;21;9;151;1
626;Papineau;2022-10-03;G;Gatineau, v;49;;32;385;4;2;23;6;65;29;18;147;1
626;Papineau;2022-10-03;G;Gatineau, v;49;;33;354;3;0;20;14;47;25;9;118;3
626;Papineau;2022-10-03;G;Gatineau, v;49;;34;363;3;0;32;19;96;31;15;196;0
626;Papineau;2022-10-03;G;Gatineau, v;49;;35;365;3;2;21;24;122;29;21;222;2
626;Papineau;2022-10-03;G;Gatineau, v;50;;36A;212;0;0;7;12;55;21;16;111;1
626;Papineau;2022-10-03;G;Gatineau, v;50;;36B;246;2;0;21;11;40;19;15;108;0
626;Papineau;2022-10-03;G;Gatineau, v;50;;37;424;5;0;14;18;82;23;34;176;1
626;Papineau;2022-10-03;G;Gatineau, v;50;;38;388;2;0;24;15;69;36;22;168;3
626;Papineau;2022-10-03;G;Gatineau, v;50;;39;359;1;0;20;16;93;22;18;170;0
626;Papineau;2022-10-03;G;Gatineau, v;50;;40;370;5;0;24;19;90;35;22;195;2
626;Papineau;2022-10-03;G;Gatineau, v;50;;41;366;3;1;30;15;59;26;13;147;0
626;Papineau;2022-10-03;G;Gatineau, v;50;;42A;247;0;0;9;3;33;14;21;80;0
626;Papineau;2022-10-03;G;Gatineau, v;50;;42B;251;0;0;16;11;31;14;21;93;0
626;Papineau;2022-10-03;G;Gatineau, v;50;;43;400;2;0;34;9;61;30;10;146;0
626;Papineau;2022-10-03;G;Gatineau, v;50;;44;369;2;1;17;17;56;27;17;137;4
626;Papineau;2022-10-03;G;Gatineau, v;50;;45;383;1;0;17;16;61;20;14;129;0
626;Papineau;2022-10-03;G;Gatineau, v;50;;46;376;2;0;36;15;42;29;20;144;0
626;Papineau;2022-10-03;G;Gatineau, v;51;;47;391;4;0;31;6;58;17;8;124;2
626;Papineau;2022-10-03;G;Gatineau, v;51;;48;414;0;1;33;12;74;33;6;159;0
626;Papineau;2022-10-03;G;Gatineau, v;51;;49;423;1;0;21;21;83;23;12;161;2
626;Papineau;2022-10-03;G;Gatineau, v;51;;50A;218;3;0;12;13;31;15;11;85;0
626;Papineau;2022-10-03;G;Gatineau, v;51;;50B;214;0;0;12;10;28;12;3;65;1
626;Papineau;2022-10-03;G;Gatineau, v;51;;51A;256;2;0;16;8;44;11;10;91;2
626;Papineau;2022-10-03;G;Gatineau, v;51;;51B;292;1;1;21;6;54;16;8;107;1
626;Papineau;2022-10-03;G;Gatineau, v;51;;52;424;0;0;43;12;55;27;6;143;1
626;Papineau;2022-10-03;G;Gatineau, v;52;;53;397;1;0;25;10;83;15;9;143;6
626;Papineau;2022-10-03;G;Gatineau, v;52;;54;383;1;0;41;17;71;25;6;161;4
626;Papineau;2022-10-03;G;Gatineau, v;52;;55;412;1;0;33;14;69;34;23;174;3
626;Papineau;2022-10-03;G;Gatineau, v;52;;56;403;3;1;17;10;81;37;13;162;2
626;Papineau;2022-10-03;G;Gatineau, v;52;;57;410;0;0;24;9;100;25;20;178;1
626;Papineau;2022-10-03;G;Gatineau, v;52;;58A;255;0;1;15;7;50;25;10;108;0
626;Papineau;2022-10-03;G;Gatineau, v;52;;58B;246;0;0;11;9;42;19;18;99;2
626;Papineau;2022-10-03;G;Gatineau, v;52;;59;406;3;0;27;23;82;33;12;180;2
626;Papineau;2022-10-03;G;Gatineau, v;53;;60;350;0;0;23;10;65;11;7;116;4
626;Papineau;2022-10-03;G;Gatineau, v;53;;61;362;3;0;35;12;44;14;8;116;2
626;Papineau;2022-10-03;G;Gatineau, v;53;;62;351;6;0;29;19;53;14;14;135;1
626;Papineau;2022-10-03;G;Gatineau, v;53;;63;384;1;1;34;8;54;16;7;121;0
626;Papineau;2022-10-03;G;Gatineau, v;53;;64;351;1;0;22;13;57;9;8;110;1
626;Papineau;2022-10-03;G;Gatineau, v;53;;65;352;3;0;19;9;69;16;3;119;0
626;Papineau;2022-10-03;G;Gatineau, v;53;;66;346;2;0;23;8;64;23;26;146;3
626;Papineau;2022-10-03;G;Gatineau, v;54;;67;373;5;0;21;21;77;25;18;167;2
626;Papineau;2022-10-03;G;Gatineau, v;54;;68;402;3;1;29;16;67;32;13;161;4
626;Papineau;2022-10-03;G;Gatineau, v;54;;69;407;0;0;27;21;71;27;17;163;3
626;Papineau;2022-10-03;G;Gatineau, v;54;;70;401;1;2;37;9;59;37;8;153;2
626;Papineau;2022-10-03;G;Gatineau, v;54;;71A;252;0;1;16;12;39;19;8;95;0
626;Papineau;2022-10-03;G;Gatineau, v;54;;71B;276;0;0;17;14;47;11;7;96;3
626;Papineau;2022-10-03;G;Gatineau, v;54;;72;381;6;0;16;11;72;14;6;125;4
626;Papineau;2022-10-03;G;Gatineau, v;54;;73;384;6;0;20;15;94;25;6;166;3
626;Papineau;2022-10-03;G;Gatineau, v;54;;74;411;1;1;31;15;67;21;11;147;2
626;Papineau;2022-10-03;G;Gatineau, v;54;;75;375;3;1;25;23;82;19;3;156;2
626;Papineau;2022-10-03;G;Gatineau, v;55;;76;368;0;0;28;15;64;37;10;154;1
626;Papineau;2022-10-03;G;Gatineau, v;55;;77;367;0;0;11;22;59;22;11;125;0
626;Papineau;2022-10-03;G;Gatineau, v;55;;78;365;0;0;11;13;72;29;15;140;0
626;Papineau;2022-10-03;G;Gatineau, v;55;;79;356;0;0;33;15;62;16;17;143;1
626;Papineau;2022-10-03;G;Gatineau, v;55;;80;346;1;0;14;11;48;24;15;113;1
626;Papineau;2022-10-03;G;Gatineau, v;55;;81;354;3;0;24;15;38;25;15;120;1
626;Papineau;2022-10-03;G;Gatineau, v;55;;82;386;4;1;31;18;63;29;15;161;0
626;Papineau;2022-10-03;G;Gatineau, v;65;;83;413;1;0;30;11;59;21;6;128;2
626;Papineau;2022-10-03;G;Gatineau, v;65;;84;421;2;0;23;13;61;16;5;120;2
626;Papineau;2022-10-03;G;Gatineau, v;66;;85;377;0;0;13;14;41;11;8;87;0
626;Papineau;2022-10-03;G;Gatineau, v;66;;86;409;1;1;27;10;40;16;9;104;4
626;Papineau;2022-10-03;G;Gatineau, v;66;;87;415;8;0;28;4;57;14;15;126;0
626;Papineau;2022-10-03;G;Gatineau, v;66;;88;394;5;0;36;13;59;16;16;145;2
626;Papineau;2022-10-03;G;Gatineau, v;66;;89;387;4;0;18;18;56;27;18;141;2
626;Papineau;2022-10-03;G;Gatineau, v;66;;90;414;1;0;28;13;52;25;13;132;0
626;Papineau;2022-10-03;G;Gatineau, v;66;;91;395;1;0;18;19;42;16;14;110;2
626;Papineau;2022-10-03;G;Gatineau, v;66;;92A;230;3;0;9;8;26;7;6;59;2
626;Papineau;2022-10-03;G;Gatineau, v;66;;92B;205;0;0;8;4;28;14;9;63;2
626;Papineau;2022-10-03;G;Gatineau, v;66;;93A;293;0;0;7;12;41;10;13;83;0
626;Papineau;2022-10-03;G;Gatineau, v;66;;93B;313;1;0;8;8;48;6;10;81;1
626;Papineau;2022-10-03;G;Gatineau, v;66;;94;374;0;0;10;10;47;15;7;89;2
626;Papineau;2022-10-03;G;Gatineau, v;66;;95A;216;1;0;9;10;49;13;7;89;0
626;Papineau;2022-10-03;G;Gatineau, v;66;;95B;211;0;0;6;10;38;7;12;73;1
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;1;;96;406;2;0;17;18;86;35;13;171;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;1;;97;352;5;0;28;25;75;19;8;160;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;1;;98;414;3;3;32;22;82;18;18;178;2
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;1;;99;361;2;0;27;18;83;27;11;168;1
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;1;;100;385;6;0;17;21;69;24;12;149;1
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;1;;101;381;3;1;24;17;64;16;10;135;3
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;102A;202;0;1;19;10;29;14;12;85;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;102B;230;2;0;14;3;26;11;6;62;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;103A;235;2;1;9;6;52;19;15;104;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;103B;210;1;0;8;11;52;15;10;97;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;104A;245;1;1;7;11;58;20;11;109;2
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;104B;215;2;0;22;10;48;15;15;112;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;105A;234;0;0;15;11;45;14;5;90;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;105B;222;0;0;9;7;51;12;10;89;1
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;106A;234;0;0;16;9;52;17;11;105;1
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;106B;228;8;0;18;14;43;14;6;103;2
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;107;404;6;0;41;21;72;21;18;179;4
