Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Sonia C.A.Q.-E.F.L.;Chabot Thérèse P.Q.;Cloutier Benoit P.C.Q-E.E.D.;Crevier-Dagenais Rose Q.S.;Leclerc Michel P.H.Q.;Pomerleau Suzanne P.L.Q./Q.L.P.;Vaz Michelle P.V.Q./G.P.Q.;B.V.;B.R.
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;1;397;42;30;27;22;0;4;1;126;4
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;2;375;48;30;20;26;1;4;1;130;0
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;3;379;53;29;19;23;1;4;5;134;2
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;4;381;88;32;20;34;0;2;5;181;3
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;5;381;65;30;21;37;0;5;0;158;2
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;6;371;43;44;27;31;0;4;0;149;1
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;7;374;57;28;37;29;1;1;1;154;5
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;8;364;53;31;27;30;0;4;2;147;2
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;9;378;47;25;21;36;0;2;2;133;4
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;10;371;68;32;26;28;0;9;1;164;4
582;Prévost;2022-10-03;G;Sainte-Sophie, m;1;;11;382;39;48;38;24;0;1;3;153;6
582;Prévost;2022-10-03;G;Sainte-Sophie, m;2;;12;392;63;33;37;37;1;5;4;180;5
582;Prévost;2022-10-03;G;Sainte-Sophie, m;2;;13;388;46;50;37;12;0;4;5;154;6
582;Prévost;2022-10-03;G;Sainte-Sophie, m;2;;14;393;56;26;34;23;0;4;4;147;5
582;Prévost;2022-10-03;G;Sainte-Sophie, m;2;;15;398;50;26;32;20;0;2;1;131;6
582;Prévost;2022-10-03;G;Sainte-Sophie, m;2;;16;387;70;29;35;21;2;7;1;165;2
