Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bachand André C.A.Q.-E.F.L.;Bélair Marylaine P.C.Q-E.E.D.;Caron Jacinthe P.Q.;de Martin Raymond Ind;Louis-Jean Mona P.L.Q./Q.L.P.;Magnan Richard D.D.;Pagé Philippe Q.S.;B.V.;B.R.
132;Richmond;2022-10-03;G;Ulverton, m;1;;1;371;72;40;43;0;15;0;38;208;4
132;Richmond;2022-10-03;G;Melbourne, ct;1;;2;301;48;33;9;1;24;0;21;136;1
132;Richmond;2022-10-03;G;Melbourne, ct;1;;3;321;41;43;22;2;25;2;19;154;0
132;Richmond;2022-10-03;G;Melbourne, ct;1;;4;280;35;28;19;1;32;0;21;136;3
132;Richmond;2022-10-03;G;Kingsbury, vl;1;;5;111;24;15;14;0;10;1;14;78;0
132;Richmond;2022-10-03;G;Richmond, v;1;;6;373;63;40;10;0;14;0;29;156;2
132;Richmond;2022-10-03;G;Richmond, v;1;;7;357;45;28;14;1;18;1;26;133;4
132;Richmond;2022-10-03;G;Richmond, v;1;;8;383;32;45;8;2;10;0;28;125;0
132;Richmond;2022-10-03;G;Richmond, v;1;;9;352;44;37;16;4;16;0;17;134;1
132;Richmond;2022-10-03;G;Richmond, v;1;;10;366;36;34;11;0;31;0;22;134;3
132;Richmond;2022-10-03;G;Richmond, v;1;;11;343;39;25;6;0;25;0;21;116;5
132;Richmond;2022-10-03;G;Richmond, v;1;;12;373;33;44;12;2;21;0;27;139;4
132;Richmond;2022-10-03;G;Cleveland, ct;1;;13;390;46;47;22;0;23;0;28;166;1
132;Richmond;2022-10-03;G;Cleveland, ct;1;;14;393;61;48;17;1;23;0;33;183;2
132;Richmond;2022-10-03;G;Cleveland, ct;1;;15;367;55;43;13;0;18;0;24;153;1
132;Richmond;2022-10-03;G;Saint-Claude, m;1;;16;307;55;34;26;1;4;1;37;158;2
132;Richmond;2022-10-03;G;Saint-Claude, m;1;;17;291;47;34;22;1;9;1;16;130;2
132;Richmond;2022-10-03;G;Saint-Claude, m;1;;18;335;74;25;15;0;3;0;22;139;3
132;Richmond;2022-10-03;G;Saint-Georges-de-Windsor, m;1;;19;362;90;33;37;0;2;0;35;197;5
132;Richmond;2022-10-03;G;Saint-Georges-de-Windsor, m;1;;20;362;93;32;28;2;19;1;45;220;3
132;Richmond;2022-10-03;G;Danville, v;1;;21;389;64;36;27;0;4;0;16;147;6
132;Richmond;2022-10-03;G;Danville, v;1;;22;400;48;53;20;0;4;0;29;154;0
132;Richmond;2022-10-03;G;Danville, v;1;;23A;228;33;31;10;1;13;2;12;102;0
132;Richmond;2022-10-03;G;Danville, v;1;;23B;217;37;28;9;0;3;0;18;95;2
132;Richmond;2022-10-03;G;Danville, v;1;;24;380;53;53;34;0;5;0;27;172;1
132;Richmond;2022-10-03;G;Danville, v;1;;25;385;62;47;20;0;9;1;22;161;0
132;Richmond;2022-10-03;G;Danville, v;1;;26;389;47;33;31;0;12;0;22;145;1
132;Richmond;2022-10-03;G;Danville, v;1;;27;388;64;51;27;0;6;1;23;172;8
132;Richmond;2022-10-03;G;Danville, v;1;;28;389;72;41;25;1;11;0;31;181;2
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;;29;357;52;52;20;1;6;0;16;147;1
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;;30;396;63;48;19;0;4;0;33;167;2
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;;31;396;92;49;28;0;2;1;20;192;6
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;;32;377;76;47;30;0;4;1;20;178;2
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;;33;380;71;32;26;0;3;0;27;159;2
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;;34;391;81;23;4;0;8;0;19;135;2
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;;35;403;68;18;30;1;7;0;25;149;2
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;;36;379;64;38;13;1;9;0;19;144;5
