Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Maïté C.A.Q.-E.F.L.;Choudhry Qaiser B.M.-E.B.H.;Garceau Brigitte P.L.Q./Q.L.P.;Gray Jonathan P.C.Q./C.P.Q;Lellouche Axel P.C.Q-E.E.D.;MacFarquhar David P.V.Q./G.P.Q.;Martel Alix P.Q.;Ruel Marieve Q.S.;B.V.;B.R.
316;Robert-Baldwin;2022-10-03;G;Montréal, v;14;;1;376;14;7;89;6;19;5;5;6;151;5
316;Robert-Baldwin;2022-10-03;G;Montréal, v;14;;2;373;10;1;119;6;39;2;1;9;187;3
316;Robert-Baldwin;2022-10-03;G;Montréal, v;14;;3;362;10;2;128;24;28;7;2;7;208;4
316;Robert-Baldwin;2022-10-03;G;Montréal, v;14;;4;361;16;3;95;9;29;5;8;6;171;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;14;;5;361;12;2;93;6;25;7;3;6;154;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;14;;6;377;21;8;93;8;33;5;7;9;184;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;14;;7;387;12;1;75;2;27;3;4;8;132;5
316;Robert-Baldwin;2022-10-03;G;Montréal, v;14;;8;365;7;3;63;4;30;3;1;12;123;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;14;;9;337;11;2;63;3;13;2;1;10;105;2
316;Robert-Baldwin;2022-10-03;G;Montréal, v;15;;10;343;17;2;67;7;12;2;4;7;118;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;15;;11;342;13;2;57;6;24;4;0;3;109;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;15;;12;335;10;2;75;7;14;4;6;8;126;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;15;;13;335;10;4;69;6;28;3;6;4;130;2
316;Robert-Baldwin;2022-10-03;G;Montréal, v;15;;14;339;12;5;108;14;12;2;4;6;163;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;15;;15;341;9;5;68;4;30;2;4;6;128;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;16;;16;368;12;8;93;8;14;2;1;7;145;2
316;Robert-Baldwin;2022-10-03;G;Montréal, v;16;;17;373;14;4;65;5;13;4;1;8;114;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;16;;18;339;6;7;47;4;12;2;0;6;84;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;16;;19;392;13;0;59;2;15;7;4;12;112;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;16;;20;383;17;2;41;3;17;4;6;8;98;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;16;;21;367;11;6;50;2;16;3;4;12;104;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;16;;22;376;10;7;79;5;21;3;4;16;145;5
316;Robert-Baldwin;2022-10-03;G;Montréal, v;17;;23;358;13;3;51;5;15;3;4;17;111;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;17;;24;366;21;2;48;3;12;2;5;6;99;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;17;;25;360;10;12;45;3;11;3;8;13;105;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;17;;26;341;17;3;50;8;26;2;6;9;121;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;17;;27;383;18;3;54;5;26;5;10;14;135;3
316;Robert-Baldwin;2022-10-03;G;Montréal, v;17;;28;383;24;2;46;2;21;2;19;13;129;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;17;;29;373;19;7;52;3;11;8;10;17;127;2
316;Robert-Baldwin;2022-10-03;G;Montréal, v;17;;30;342;12;3;50;6;15;1;0;5;92;3
316;Robert-Baldwin;2022-10-03;G;Montréal, v;18;;31;393;26;3;73;1;28;4;10;10;155;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;18;;32;415;0;0;90;6;17;6;5;7;131;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;18;;33;382;9;4;64;9;22;4;6;19;137;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;18;;34;389;26;3;95;3;19;6;12;22;186;3
316;Robert-Baldwin;2022-10-03;G;Montréal, v;18;;35;392;18;6;76;10;30;4;11;8;163;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;18;;36;402;20;4;79;10;19;7;4;12;155;2
316;Robert-Baldwin;2022-10-03;G;Montréal, v;18;;37;397;25;3;91;6;29;8;4;17;183;3
316;Robert-Baldwin;2022-10-03;G;Montréal, v;18;;38;394;25;2;107;2;32;5;6;17;196;0
316;Robert-Baldwin;2022-10-03;G;Montréal, v;19;;39;401;14;5;78;2;6;0;4;21;130;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;19;;40;411;20;7;87;8;20;6;15;20;183;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;19;;41;385;41;2;77;7;31;6;15;21;200;2
316;Robert-Baldwin;2022-10-03;G;Montréal, v;19;;42;368;31;4;90;0;22;8;7;16;178;6
316;Robert-Baldwin;2022-10-03;G;Montréal, v;20;;43;408;29;7;83;5;24;2;5;13;168;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;20;;44;391;28;4;94;2;18;5;5;12;168;3
316;Robert-Baldwin;2022-10-03;G;Montréal, v;20;;45;405;39;12;95;3;12;5;10;28;204;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;20;;46;426;10;2;94;2;15;3;1;11;138;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;20;;47;401;9;7;97;7;16;3;3;7;149;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;20;;48;395;11;8;53;4;17;6;5;17;121;1
316;Robert-Baldwin;2022-10-03;G;Montréal, v;20;;49;425;17;12;82;2;9;5;2;14;143;2
316;Robert-Baldwin;2022-10-03;G;Montréal, v;20;;50;397;12;4;102;1;6;3;1;13;142;6
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;51;395;18;1;94;5;32;6;4;3;163;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;52;375;23;5;120;3;21;3;1;3;179;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;53;392;10;2;91;6;26;3;1;10;149;3
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;54;360;10;4;57;15;24;5;2;8;125;2
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;55;368;7;5;87;4;12;6;2;3;126;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;56;376;17;3;117;8;29;5;3;7;189;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;57;386;32;1;113;10;35;5;6;9;211;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;58;366;11;4;132;13;18;4;8;2;192;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;59;382;18;3;138;8;33;4;1;3;208;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;1;;60;369;9;6;129;10;27;2;2;7;192;5
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;2;;61;331;13;4;106;9;23;8;1;3;167;2
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;2;;62;346;11;4;98;15;28;8;8;9;181;2
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;2;;63;350;12;2;78;7;15;5;5;4;128;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;3;;64;355;9;1;64;1;19;3;4;2;103;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;3;;65;345;11;4;65;2;21;2;2;2;109;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;3;;66;383;9;3;63;10;28;2;4;9;128;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;3;;67;375;6;7;80;7;30;4;0;4;138;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;3;;68;381;8;2;88;9;17;7;7;3;141;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;69;393;6;3;105;3;27;1;5;4;154;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;70;399;15;4;102;3;33;7;0;1;165;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;71;392;28;0;81;7;33;1;1;6;157;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;72;385;1;1;74;15;34;3;0;8;136;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;73;399;5;4;90;3;32;3;0;5;142;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;74;377;7;4;87;4;39;1;2;1;145;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;75;397;13;4;113;13;41;1;0;3;188;3
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;76;387;3;1;108;5;25;4;1;2;149;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;77;397;7;1;107;8;37;5;1;3;169;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;78;394;5;3;80;7;25;4;3;10;137;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;79;404;8;2;92;6;32;1;3;8;152;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;4;;80;350;5;2;54;2;26;1;1;6;97;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;5;;81;326;9;4;77;5;13;8;2;6;124;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;5;;82;362;10;2;75;6;6;0;2;2;103;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;5;;83;353;8;1;100;2;26;2;1;3;143;2
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;5;;84;364;6;5;93;10;38;2;0;6;160;2
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;5;;85;378;7;3;95;8;38;1;2;0;154;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;5;;86;370;5;0;84;1;26;5;2;3;126;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;5;;87;355;5;2;91;8;23;2;0;3;134;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;5;;88;355;1;3;88;12;30;3;0;4;141;2
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;6;;89;379;4;4;93;8;56;4;2;3;174;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;6;;90;375;5;12;86;8;57;1;0;1;170;1
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;6;;91;374;6;1;90;13;43;2;2;2;159;0
316;Robert-Baldwin;2022-10-03;G;Dollard-Des Ormeaux, v;6;;92;379;5;5;100;5;44;2;0;3;164;0
