Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Patrice P.Q.;Gaudreault Samuel P.C.Q-E.E.D.;Guillemette Nancy C.A.Q.-E.F.L.;Lalancette Lynda C.Q.;Lavoie Maxim P.L.Q./Q.L.P.;Ottereyes Michaël Q.S.;B.V.;B.R.
930;Roberval;2022-10-03;G;Lac-Bouchette, m;1;;1;329;19;16;87;2;2;7;133;3
930;Roberval;2022-10-03;G;Lac-Bouchette, m;1;;2;318;14;17;82;3;3;5;124;0
930;Roberval;2022-10-03;G;Lac-Bouchette, m;1;;3;333;27;28;73;0;3;7;138;3
930;Roberval;2022-10-03;G;Saint-André-du-Lac-Saint-Jean, vl;1;;4;390;30;23;116;0;12;25;206;1
930;Roberval;2022-10-03;G;Saint-François-de-Sales, m;1;;5;260;35;16;97;1;4;6;159;1
930;Roberval;2022-10-03;G;Saint-François-de-Sales, m;1;;6;266;36;13;62;1;7;7;126;1
930;Roberval;2022-10-03;G;Chambord, m;1;;7;370;35;23;92;1;3;4;158;3
930;Roberval;2022-10-03;G;Chambord, m;1;;8;359;26;32;86;0;3;9;156;3
930;Roberval;2022-10-03;G;Chambord, m;1;;9;362;30;21;80;0;16;6;153;1
930;Roberval;2022-10-03;G;Chambord, m;1;;10;359;44;15;81;0;5;7;152;2
930;Roberval;2022-10-03;G;Roberval, v;1;;11;380;45;8;69;1;1;8;132;4
930;Roberval;2022-10-03;G;Roberval, v;1;;12;384;28;21;60;0;5;8;122;0
930;Roberval;2022-10-03;G;Roberval, v;1;;13;388;24;17;68;0;6;14;129;0
930;Roberval;2022-10-03;G;Roberval, v;1;;14;379;21;9;64;1;1;13;109;1
930;Roberval;2022-10-03;G;Roberval, v;1;;15;391;28;19;65;1;3;8;124;2
930;Roberval;2022-10-03;G;Roberval, v;1;;16;378;15;11;53;0;4;11;94;3
930;Roberval;2022-10-03;G;Roberval, v;1;;17;385;28;16;46;0;11;10;111;2
930;Roberval;2022-10-03;G;Roberval, v;1;;18;387;32;10;68;0;2;16;128;1
930;Roberval;2022-10-03;G;Roberval, v;1;;19;373;19;17;77;2;5;10;130;0
930;Roberval;2022-10-03;G;Roberval, v;1;;20;378;24;7;52;0;2;9;94;0
930;Roberval;2022-10-03;G;Roberval, v;2;;21;361;28;15;44;0;2;12;101;0
930;Roberval;2022-10-03;G;Roberval, v;2;;22;368;18;14;60;0;4;9;105;0
930;Roberval;2022-10-03;G;Roberval, v;2;;23;367;21;11;70;0;5;15;122;1
930;Roberval;2022-10-03;G;Roberval, v;2;;24;352;25;14;66;1;8;20;134;1
930;Roberval;2022-10-03;G;Roberval, v;2;;25;358;18;7;55;0;6;15;101;3
930;Roberval;2022-10-03;G;Roberval, v;2;;26;357;20;22;69;0;0;9;120;2
930;Roberval;2022-10-03;G;Roberval, v;3;;27;345;32;11;51;1;5;14;114;0
930;Roberval;2022-10-03;G;Roberval, v;3;;28;356;14;8;34;0;0;9;65;2
930;Roberval;2022-10-03;G;Roberval, v;3;;29;334;28;22;42;0;3;12;107;0
930;Roberval;2022-10-03;G;Roberval, v;3;;30;358;23;13;61;0;4;8;109;0
930;Roberval;2022-10-03;G;Roberval, v;3;;31;346;31;12;62;0;3;16;124;0
930;Roberval;2022-10-03;G;Mashteuiatsh, r;1;;32;372;12;7;29;0;4;26;78;0
930;Roberval;2022-10-03;G;Mashteuiatsh, r;1;;33;415;7;2;10;0;1;14;34;0
930;Roberval;2022-10-03;G;Mashteuiatsh, r;1;;34;392;11;9;21;1;5;24;71;3
930;Roberval;2022-10-03;G;Mashteuiatsh, r;1;;35;396;12;5;26;0;3;15;61;1
930;Roberval;2022-10-03;G;Sainte-Hedwidge, m;1;;36;361;21;17;102;0;0;9;149;7
930;Roberval;2022-10-03;G;Sainte-Hedwidge, m;1;;37;372;24;24;124;1;4;13;190;1
930;Roberval;2022-10-03;G;Saint-Prime, m;1;;38;352;48;18;70;0;4;20;160;0
930;Roberval;2022-10-03;G;Saint-Prime, m;1;;39;356;29;19;63;3;7;15;136;3
930;Roberval;2022-10-03;G;Saint-Prime, m;1;;40;368;39;19;71;1;8;10;148;2
930;Roberval;2022-10-03;G;Saint-Prime, m;1;;41;373;48;17;74;0;3;16;158;5
930;Roberval;2022-10-03;G;Saint-Prime, m;1;;42;356;31;23;62;2;2;21;141;1
930;Roberval;2022-10-03;G;Saint-Prime, m;1;;43;365;26;19;80;1;6;16;148;2
930;Roberval;2022-10-03;G;Saint-Félicien, v;1;;44;399;50;8;85;1;4;12;160;4
930;Roberval;2022-10-03;G;Saint-Félicien, v;1;;45;385;56;28;91;2;10;10;197;2
930;Roberval;2022-10-03;G;Saint-Félicien, v;1;;46;405;54;26;77;0;7;12;176;4
930;Roberval;2022-10-03;G;Saint-Félicien, v;1;;47;399;51;23;66;1;2;13;156;2
930;Roberval;2022-10-03;G;Saint-Félicien, v;1;;48;396;59;20;91;3;3;11;187;1
930;Roberval;2022-10-03;G;Saint-Félicien, v;1;;49;405;34;28;78;2;7;14;163;2
930;Roberval;2022-10-03;G;Saint-Félicien, v;1;;50;397;36;13;91;0;6;10;156;0
930;Roberval;2022-10-03;G;Saint-Félicien, v;2;;51;353;37;12;49;2;4;5;109;2
930;Roberval;2022-10-03;G;Saint-Félicien, v;2;;52;350;32;12;60;2;2;11;119;0
930;Roberval;2022-10-03;G;Saint-Félicien, v;2;;53;358;28;16;54;0;8;13;119;2
930;Roberval;2022-10-03;G;Saint-Félicien, v;2;;54;351;32;14;60;2;8;11;127;3
930;Roberval;2022-10-03;G;Saint-Félicien, v;2;;55;354;27;8;70;2;3;12;122;2
930;Roberval;2022-10-03;G;Saint-Félicien, v;2;;56;359;40;13;51;0;12;16;132;3
930;Roberval;2022-10-03;G;Saint-Félicien, v;2;;57;370;36;16;85;1;5;9;152;5
930;Roberval;2022-10-03;G;Saint-Félicien, v;3;;58;365;39;8;62;1;5;13;128;2
930;Roberval;2022-10-03;G;Saint-Félicien, v;3;;59;366;28;17;60;1;4;1;111;3
930;Roberval;2022-10-03;G;Saint-Félicien, v;3;;60;368;31;24;66;0;4;7;132;1
930;Roberval;2022-10-03;G;Saint-Félicien, v;3;;61;371;42;17;71;1;7;12;150;0
930;Roberval;2022-10-03;G;Saint-Félicien, v;3;;62;388;37;35;68;0;5;9;154;1
930;Roberval;2022-10-03;G;Saint-Félicien, v;3;;63;384;33;19;82;0;8;10;152;1
930;Roberval;2022-10-03;G;Saint-Félicien, v;3;;64;369;47;17;68;0;6;9;147;5
930;Roberval;2022-10-03;G;La Doré, p;1;;65;358;41;29;99;0;5;10;184;0
930;Roberval;2022-10-03;G;La Doré, p;1;;66;365;31;29;90;2;6;13;171;4
930;Roberval;2022-10-03;G;La Doré, p;1;;67;366;23;24;78;4;8;10;147;2
930;Roberval;2022-10-03;G;Normandin, v;1;;68;385;34;19;48;0;14;5;120;4
930;Roberval;2022-10-03;G;Normandin, v;1;;69;377;37;15;87;0;11;8;158;2
930;Roberval;2022-10-03;G;Normandin, v;1;;70;371;36;24;105;3;9;10;187;4
930;Roberval;2022-10-03;G;Normandin, v;1;;71;384;27;18;81;3;13;13;155;5
930;Roberval;2022-10-03;G;Normandin, v;1;;72;388;21;17;69;0;11;12;130;2
930;Roberval;2022-10-03;G;Normandin, v;1;;73;397;39;16;99;3;9;21;187;2
930;Roberval;2022-10-03;G;Saint-Thomas-Didyme, m;1;;74;293;25;12;90;0;8;13;148;1
930;Roberval;2022-10-03;G;Saint-Thomas-Didyme, m;1;;75;324;32;18;90;1;4;4;149;0
930;Roberval;2022-10-03;G;Saint-Edmond-les-Plaines, m;1;;76;286;24;21;102;3;9;7;166;3
930;Roberval;2022-10-03;G;Girardville, m;1;;77;283;12;18;51;2;10;7;100;3
930;Roberval;2022-10-03;G;Girardville, m;1;;78;281;19;15;94;1;3;4;136;0
930;Roberval;2022-10-03;G;Girardville, m;1;;79;271;7;22;80;1;4;7;121;2
930;Roberval;2022-10-03;G;Albanel, m;1;;80;340;28;19;62;3;10;13;135;2
930;Roberval;2022-10-03;G;Albanel, m;1;;81;356;36;13;79;1;1;11;141;6
930;Roberval;2022-10-03;G;Albanel, m;1;;82;348;46;29;65;3;4;11;158;2
930;Roberval;2022-10-03;G;Albanel, m;1;;83;343;36;35;68;0;3;7;149;2
930;Roberval;2022-10-03;G;Albanel, m;1;;84;363;24;17;58;1;5;9;114;2
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;1;;85;348;25;16;76;0;10;6;133;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;1;;86;352;25;22;65;4;8;6;130;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;1;;87;347;27;17;66;0;9;10;129;2
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;1;;88;351;31;21;57;0;6;3;118;0
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;1;;89;356;31;12;44;0;2;5;94;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;1;;90;346;43;15;45;1;2;7;113;3
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;91;400;37;21;59;1;9;12;139;0
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;92;383;47;11;102;0;9;15;184;2
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;93;382;45;13;94;1;10;5;168;2
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;94;382;40;10;78;1;2;7;138;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;95;385;39;12;111;0;2;7;171;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;96;369;38;5;59;0;4;7;113;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;97;389;30;17;74;0;9;7;137;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;98;381;30;11;60;2;6;9;118;0
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;99;389;17;17;46;0;4;10;94;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;2;;100;378;23;4;71;0;11;6;115;2
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;101;407;35;25;69;0;7;6;142;2
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;102;395;27;21;59;1;12;6;126;0
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;103;399;22;22;71;0;5;12;132;6
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;104;404;19;14;68;2;6;10;119;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;105;396;33;14;80;0;11;9;147;0
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;106;388;29;22;67;0;4;9;131;3
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;107;409;25;22;68;1;7;8;131;2
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;108;389;22;24;61;1;7;8;123;0
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;109;387;36;22;50;0;3;6;117;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;110;388;34;14;69;4;8;5;134;0
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;111;383;30;19;94;1;3;6;153;1
930;Roberval;2022-10-03;G;Dolbeau-Mistassini, v;3;;112;401;50;17;83;0;6;8;164;3
930;Roberval;2022-10-03;G;Péribonka, m;1;;113;216;37;18;61;0;3;10;129;1
930;Roberval;2022-10-03;G;Péribonka, m;1;;114;219;29;5;61;1;9;9;114;1
930;Roberval;2022-10-03;G;Saint-Augustin, p;1;;115;285;21;30;79;1;10;9;150;0
930;Roberval;2022-10-03;G;Sainte-Jeanne-d'Arc, vl;1;;116;296;15;9;71;1;0;5;101;0
930;Roberval;2022-10-03;G;Sainte-Jeanne-d'Arc, vl;1;;117;305;30;20;53;0;8;6;117;0
930;Roberval;2022-10-03;G;Sainte-Jeanne-d'Arc, vl;1;;118;300;21;17;63;3;9;5;118;1
930;Roberval;2022-10-03;G;Passes-Dangereuses, no;1;;119;146;18;5;40;0;2;1;66;0
930;Roberval;2022-10-03;G;Saint-Stanislas, m;1;;120;304;37;21;85;0;5;6;154;0
930;Roberval;2022-10-03;G;Saint-Eugène-d'Argentenay, m;1;;121;402;45;38;82;1;3;15;184;3
