Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brillant Pierre-Luc P.Q.;D'Souza Jamie P.V.Q./G.P.Q.;Duverneau Sherlyne P.L.Q./Q.L.P.;Lemay Marie-France P.C.Q-E.E.D.;Marissal Vincent Q.S.;O'Connor Sandra C.A.Q.-E.F.L.;Racine Jean-François C.Q.;B.V.;B.R.
356;Rosemont;2022-10-03;G;Montréal, v;308;;1A;257;14;0;10;2;45;7;1;79;1
356;Rosemont;2022-10-03;G;Montréal, v;308;;1B;232;23;1;10;6;41;10;0;91;0
356;Rosemont;2022-10-03;G;Montréal, v;308;;2;249;24;0;7;6;17;18;0;72;2
356;Rosemont;2022-10-03;G;Montréal, v;308;;3;345;42;2;21;5;46;19;0;135;0
356;Rosemont;2022-10-03;G;Montréal, v;308;;4;300;9;0;16;7;39;7;0;78;4
356;Rosemont;2022-10-03;G;Montréal, v;308;;5;307;19;4;6;3;86;12;0;130;1
356;Rosemont;2022-10-03;G;Montréal, v;308;;6;337;20;2;13;3;60;20;1;119;3
356;Rosemont;2022-10-03;G;Montréal, v;309;;7;254;12;4;26;5;45;18;0;110;1
356;Rosemont;2022-10-03;G;Montréal, v;309;;8A;271;22;1;12;1;36;18;1;91;0
356;Rosemont;2022-10-03;G;Montréal, v;309;;8B;272;16;4;17;1;45;20;1;104;0
356;Rosemont;2022-10-03;G;Montréal, v;309;;9A;250;25;0;19;4;46;19;0;113;0
356;Rosemont;2022-10-03;G;Montréal, v;309;;9B;288;24;0;19;6;63;20;1;133;0
356;Rosemont;2022-10-03;G;Montréal, v;309;;10;294;28;3;9;4;61;27;1;133;2
356;Rosemont;2022-10-03;G;Montréal, v;309;;11;311;31;4;13;2;52;13;0;115;1
356;Rosemont;2022-10-03;G;Montréal, v;310;;12;367;36;1;11;6;50;43;2;149;1
356;Rosemont;2022-10-03;G;Montréal, v;310;;13;353;37;3;18;7;48;35;1;149;0
356;Rosemont;2022-10-03;G;Montréal, v;310;;14;361;17;0;10;12;47;35;0;121;1
356;Rosemont;2022-10-03;G;Montréal, v;310;;15;370;29;5;31;6;41;30;2;144;0
356;Rosemont;2022-10-03;G;Montréal, v;311;;16;347;30;0;11;1;55;33;0;130;1
356;Rosemont;2022-10-03;G;Montréal, v;311;;17;317;23;3;13;8;64;20;2;133;2
356;Rosemont;2022-10-03;G;Montréal, v;311;;18;303;24;0;8;8;34;23;0;97;2
356;Rosemont;2022-10-03;G;Montréal, v;311;;19;336;22;1;9;6;29;23;0;90;1
356;Rosemont;2022-10-03;G;Montréal, v;312;;20;354;38;3;24;6;58;22;0;151;2
356;Rosemont;2022-10-03;G;Montréal, v;312;;21;361;26;2;19;10;63;33;0;153;1
356;Rosemont;2022-10-03;G;Montréal, v;312;;22;377;22;6;28;9;52;34;5;156;1
356;Rosemont;2022-10-03;G;Montréal, v;312;;23;345;35;2;14;6;51;19;1;128;4
356;Rosemont;2022-10-03;G;Montréal, v;313;;24;311;24;1;15;4;51;21;1;117;0
356;Rosemont;2022-10-03;G;Montréal, v;313;;25;324;28;0;16;6;61;19;2;132;5
356;Rosemont;2022-10-03;G;Montréal, v;313;;26;337;34;3;16;4;61;22;0;140;7
356;Rosemont;2022-10-03;G;Montréal, v;313;;27;322;19;0;22;11;34;18;1;105;7
356;Rosemont;2022-10-03;G;Montréal, v;313;;28;336;34;2;17;3;66;22;0;144;0
356;Rosemont;2022-10-03;G;Montréal, v;314;;29;389;32;3;32;7;55;28;0;157;2
356;Rosemont;2022-10-03;G;Montréal, v;314;;30;361;31;4;10;10;68;35;1;159;2
356;Rosemont;2022-10-03;G;Montréal, v;314;;31;334;25;2;13;10;52;20;0;122;0
356;Rosemont;2022-10-03;G;Montréal, v;314;;32;356;21;3;20;9;57;27;0;137;1
356;Rosemont;2022-10-03;G;Montréal, v;314;;33;375;24;0;10;11;64;26;2;137;4
356;Rosemont;2022-10-03;G;Montréal, v;314;;34;378;24;1;25;12;73;28;3;166;0
356;Rosemont;2022-10-03;G;Montréal, v;314;;35;363;35;3;10;10;72;41;1;172;2
356;Rosemont;2022-10-03;G;Montréal, v;314;;36;364;27;4;18;9;65;36;1;160;0
356;Rosemont;2022-10-03;G;Montréal, v;314;;37;355;34;1;22;10;62;35;1;165;3
356;Rosemont;2022-10-03;G;Montréal, v;314;;38;384;22;3;17;14;55;23;2;136;1
356;Rosemont;2022-10-03;G;Montréal, v;315;;39;381;33;5;22;9;72;28;0;169;4
356;Rosemont;2022-10-03;G;Montréal, v;315;;40;395;26;4;9;10;71;20;1;141;2
