Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Castro Roch Ernesto Q.S.;Desroches Gisèle P.C.Q-E.E.D.;Lokrou Estelle Regina P.L.Q./Q.L.P.;Thouin Louis-Charles C.A.Q.-E.F.L.;Vanier Pierre P.Q.;B.V.;B.R.
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;1;389;8;22;5;55;18;108;4
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;2;397;28;14;5;94;24;165;1
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;3;397;26;25;10;68;32;161;3
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;4;396;24;25;2;57;41;149;1
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;5;406;16;31;10;65;23;145;5
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;6;399;18;11;2;50;16;97;5
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;7;412;37;24;4;59;35;159;7
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;8;404;13;32;5;66;28;144;3
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;9;406;31;42;7;63;43;186;9
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;10;404;34;14;2;77;39;166;3
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;11;386;30;31;1;83;35;180;3
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;12;398;32;32;1;64;21;150;1
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;13;375;30;20;0;62;21;133;2
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;14;391;20;11;6;66;34;137;1
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;15;403;21;19;3;70;19;132;0
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;16;386;21;31;5;55;23;135;0
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;17;396;26;25;3;82;33;169;1
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;18;406;24;32;2;81;32;171;3
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;19;411;20;30;2;53;38;143;5
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;20;413;22;29;3;55;24;133;12
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;21;397;22;29;2;74;21;148;6
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;22;403;26;23;6;69;40;164;9
576;Rousseau;2022-10-03;G;Sainte-Julienne, m;1;;23;392;23;37;6;74;25;165;2
576;Rousseau;2022-10-03;G;Saint-Calixte, m;1;;24;361;27;23;4;58;25;137;0
