Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernard Daniel C.A.Q.-E.F.L.;Corswarem Chantal P.V.Q./G.P.Q.;Daigle Robert P.C.Q-E.E.D.;Lessard-Therrien Émilise Q.S.;Vachon Jean-François P.Q.;Warolin Arnaud P.L.Q./Q.L.P.;B.V.;B.R.
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Témiscaming, v;1;;1;352;27;1;20;14;6;32;100;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Témiscaming, v;1;;2;357;15;0;11;18;4;34;82;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Témiscaming, v;1;;3;350;20;3;21;11;2;22;79;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Témiscaming, v;1;;4;356;35;0;18;14;8;14;89;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Témiscaming, v;1;;5;374;52;0;9;15;2;23;101;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Kipawa, m;1;;6;264;38;1;9;12;2;21;83;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Kipawa, m;2;Regr. BVDS-1;7;136;0;0;0;0;0;0;0;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Kebaowek, r;1;Regr. BVDS-1;8;265;0;0;0;0;0;0;0;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Hunter's Point, ei;1;Regr. BVO-21;9;1;0;0;0;0;0;0;0;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Les Lacs-du-Témiscamingue, no;1;Regr. BVO-8;10;15;0;0;0;0;0;0;0;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Laniel, no;1;;11;61;13;2;3;9;1;4;32;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Saint-Édouard-de-Fabre, p;1;;12;263;44;0;31;44;11;6;136;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Saint-Édouard-de-Fabre, p;1;;13;253;48;0;11;70;14;5;148;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Duhamel-Ouest, m;1;;14;374;77;0;8;72;16;6;179;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Duhamel-Ouest, m;1;;15;384;87;4;24;63;10;4;192;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Ville-Marie, v;1;;16;401;71;1;9;63;15;7;166;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Ville-Marie, v;1;;17;387;61;4;11;67;15;10;168;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Ville-Marie, v;1;;18;407;66;1;14;66;22;3;172;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Ville-Marie, v;1;;19;385;64;2;1;52;19;6;144;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Ville-Marie, v;1;;20;391;67;0;12;53;11;6;149;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Béarn, m;1;;21;274;65;2;14;41;9;16;147;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Béarn, m;1;;22;279;72;1;10;35;19;11;148;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Lorrainville, m;1;;23;325;82;2;16;73;20;7;200;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Lorrainville, m;1;;24;323;69;2;12;61;20;7;171;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Lorrainville, m;1;;25;329;85;1;11;68;16;5;186;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Fugèreville, m;1;;26;255;49;0;10;42;9;7;117;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Latulipe-et-Gaboury, cu;1;;27;266;33;1;11;37;14;3;99;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Belleterre, v;1;;28;226;54;3;5;23;15;4;104;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Winneway, ei;1;Regr. BVDS-1;29;198;0;0;0;0;0;0;0;0
