Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Dany P.C.Q-E.E.D.;Charron Claude P.L.Q./Q.L.P.;Dion Olivier C.Q.;Généreux Mélissa Q.S.;Hébert Geneviève C.A.Q.-E.F.L.;McInerney Colleen P.C.Q./C.P.Q;Tanguay Sylvie P.Q.;B.V.;B.R.
110;Saint-François;2022-10-03;G;Stanstead-Est, m;1;;1;237;29;22;0;14;35;1;5;106;1
110;Saint-François;2022-10-03;G;Stanstead-Est, m;1;;2;229;21;21;0;11;22;7;7;89;0
110;Saint-François;2022-10-03;G;Barnston-Ouest, m;1;;3;222;17;12;1;28;42;3;2;105;2
110;Saint-François;2022-10-03;G;Barnston-Ouest, m;1;;4;231;11;15;0;22;39;3;14;104;1
110;Saint-François;2022-10-03;G;Coaticook, v;1;;5;407;34;26;4;29;80;6;23;202;0
110;Saint-François;2022-10-03;G;Coaticook, v;1;;6;405;45;15;2;25;83;1;16;187;2
110;Saint-François;2022-10-03;G;Coaticook, v;1;;7;393;19;3;2;21;105;1;14;165;3
110;Saint-François;2022-10-03;G;Coaticook, v;1;;8;393;27;9;0;36;73;0;14;159;3
110;Saint-François;2022-10-03;G;Coaticook, v;1;;9;398;25;6;0;45;75;1;8;160;2
110;Saint-François;2022-10-03;G;Coaticook, v;1;;10;400;10;7;5;48;87;0;20;177;3
110;Saint-François;2022-10-03;G;Coaticook, v;1;;11;402;28;5;0;30;69;2;10;144;4
110;Saint-François;2022-10-03;G;Coaticook, v;1;;12;388;23;11;2;24;50;0;9;119;5
110;Saint-François;2022-10-03;G;Coaticook, v;1;;13;386;18;4;0;21;54;1;16;114;1
110;Saint-François;2022-10-03;G;Coaticook, v;1;;14;397;15;9;6;25;65;3;5;128;1
110;Saint-François;2022-10-03;G;Coaticook, v;1;;15;385;23;6;2;50;57;2;18;158;2
110;Saint-François;2022-10-03;G;Coaticook, v;1;;16;416;29;11;3;31;59;0;24;157;1
110;Saint-François;2022-10-03;G;Coaticook, v;1;;17;388;22;14;0;25;57;0;16;134;2
110;Saint-François;2022-10-03;G;Coaticook, v;1;;18;407;26;4;4;37;74;1;11;157;4
110;Saint-François;2022-10-03;G;Coaticook, v;1;;19;412;42;9;1;43;56;0;9;160;1
110;Saint-François;2022-10-03;G;Coaticook, v;1;;20;411;39;5;2;30;57;1;9;143;3
110;Saint-François;2022-10-03;G;Coaticook, v;1;;21;398;40;6;0;38;79;1;8;172;5
110;Saint-François;2022-10-03;G;Dixville, m;1;;22;258;34;19;5;42;45;3;8;156;0
110;Saint-François;2022-10-03;G;Dixville, m;1;;23;268;22;9;0;33;54;0;16;134;1
110;Saint-François;2022-10-03;G;Saint-Herménégilde, m;1;;24;271;38;13;2;16;51;1;11;132;0
110;Saint-François;2022-10-03;G;Saint-Herménégilde, m;1;;25;270;31;10;0;21;39;2;6;109;0
110;Saint-François;2022-10-03;G;East Hereford, m;1;;26;204;41;7;0;27;33;1;7;116;0
110;Saint-François;2022-10-03;G;Saint-Venant-de-Paquette, m;1;;27;89;4;3;0;12;21;0;10;50;1
110;Saint-François;2022-10-03;G;Saint-Malo, m;1;;28;358;56;17;1;34;96;7;26;237;1
110;Saint-François;2022-10-03;G;Sainte-Edwidge-de-Clifton, ct;1;;29;376;33;10;2;41;95;0;21;202;2
110;Saint-François;2022-10-03;G;Martinville, m;1;;30;376;33;7;2;55;83;0;14;194;2
110;Saint-François;2022-10-03;G;Compton, m;1;;31;419;24;25;1;32;71;4;30;187;4
110;Saint-François;2022-10-03;G;Compton, m;1;;32;395;39;17;1;46;52;1;16;172;2
110;Saint-François;2022-10-03;G;Compton, m;1;;33;416;39;13;1;71;68;1;16;209;3
110;Saint-François;2022-10-03;G;Compton, m;1;;34;398;44;15;0;38;92;1;13;203;3
110;Saint-François;2022-10-03;G;Compton, m;1;;35;410;38;19;2;34;57;0;11;161;4
110;Saint-François;2022-10-03;G;Compton, m;1;;36;407;25;23;2;39;74;2;10;175;2
110;Saint-François;2022-10-03;G;Waterville, v;1;;37;392;31;29;5;59;41;5;11;181;0
110;Saint-François;2022-10-03;G;Waterville, v;1;;38;417;28;22;0;129;48;4;13;244;0
110;Saint-François;2022-10-03;G;Waterville, v;1;;39;415;44;28;6;60;59;6;12;215;2
110;Saint-François;2022-10-03;G;Waterville, v;1;;40;412;29;45;2;33;47;22;20;198;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;27;;41;386;30;61;0;31;22;4;9;157;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;27;;42;387;26;50;2;50;18;5;13;164;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;27;;43;400;12;65;0;40;21;4;16;158;0
