Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Kim P.C.Q-E.E.D.;Daigneault Gary Ind;Daigneault Philippe Q.S.;Gagné-Lebrun Alexis P.Q.;Jaalouk Mustapha P.V.Q./G.P.Q.;Raiche Julie C.Q.;Soucy Chantal C.A.Q.-E.F.L.;Wnorowska Agnieszka P.L.Q./Q.L.P.;B.V.;B.R.
260;Saint-Hyacinthe;2022-10-03;G;La Présentation, m;1;;1;412;30;0;30;34;1;0;124;3;222;5
260;Saint-Hyacinthe;2022-10-03;G;La Présentation, m;1;;2;411;32;0;23;43;1;2;101;8;210;3
260;Saint-Hyacinthe;2022-10-03;G;La Présentation, m;1;;3;406;28;1;30;33;3;0;143;9;247;4
260;Saint-Hyacinthe;2022-10-03;G;La Présentation, m;1;;4;348;18;1;28;24;2;1;101;10;185;2
260;Saint-Hyacinthe;2022-10-03;G;La Présentation, m;1;;5;409;31;0;29;29;2;1;99;12;203;3
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;1;;6;404;17;0;32;37;1;2;118;14;221;2
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;1;;7;412;11;0;24;28;0;1;99;16;179;2
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;1;;8A;232;15;0;7;14;1;0;65;2;104;1
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;1;;8B;196;13;0;21;9;1;0;35;4;83;1
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;1;;9;397;21;0;22;46;3;1;94;5;192;8
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;1;;10;376;15;0;25;34;2;0;102;6;184;7
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;1;;11;404;18;0;27;21;0;1;120;6;193;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;1;;12;398;23;0;29;18;1;0;78;13;162;5
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;1;;13;391;24;1;23;17;0;0;103;2;170;2
