Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Choquette Raymond D.D.;Girard-Duchaine Alexandre P.Q.;Lavertu Pierre-Luc Q.S.;Lemieux Louis C.A.Q.-E.F.L.;Melnitzky Dominick P.C.Q-E.E.D.;Roy Benjamin P.L.Q./Q.L.P.;Thériault Denis C.Q.;B.V.;B.R.
212;Saint-Jean;2022-10-03;G;Saint-Blaise-sur-Richelieu, m;1;;1;346;2;29;23;90;32;5;1;182;0
212;Saint-Jean;2022-10-03;G;Saint-Blaise-sur-Richelieu, m;1;;2;337;0;36;24;93;20;9;1;183;3
212;Saint-Jean;2022-10-03;G;Saint-Blaise-sur-Richelieu, m;1;;3;337;1;31;20;88;28;5;0;173;3
212;Saint-Jean;2022-10-03;G;Saint-Blaise-sur-Richelieu, m;1;;4;336;0;42;31;107;17;16;1;214;4
212;Saint-Jean;2022-10-03;G;Saint-Blaise-sur-Richelieu, m;1;;5;334;20;33;29;80;31;6;4;203;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;1;;6;393;2;39;22;76;24;6;4;173;8
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;1;;7;414;0;45;37;96;22;5;1;206;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;1;;8;399;0;52;37;116;29;9;1;244;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;1;;9;391;0;55;33;61;30;8;3;190;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;1;;10;417;0;55;30;90;30;14;2;221;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;1;;11;387;0;25;24;94;15;7;0;165;6
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;1;;12;409;1;30;22;77;21;9;1;161;12
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;1;;13;387;1;31;15;66;11;4;1;129;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;2;;14;345;1;24;18;65;11;12;1;132;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;2;;15;379;1;36;23;76;28;16;1;181;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;2;;16;331;0;40;17;59;10;17;2;145;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;2;;17;352;0;38;19;57;29;11;3;157;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;3;;18;339;0;28;29;68;6;8;0;139;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;3;;19;338;0;29;24;64;13;20;0;150;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;3;;20;321;1;29;28;50;13;8;0;129;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;3;;21;321;0;26;17;62;9;16;3;133;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;4;;22;311;0;24;23;55;4;16;1;123;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;4;;23;314;0;20;15;59;9;5;2;110;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;4;;24;306;0;18;20;42;6;11;2;99;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;4;;25;317;1;20;34;51;10;9;1;126;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;26;376;0;23;33;72;17;12;0;157;8
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;27;355;1;27;24;82;14;10;0;158;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;28;372;1;34;53;78;11;14;1;192;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;29;368;0;49;34;63;10;19;1;176;8
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;30;379;0;55;27;82;13;15;2;194;3
