Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baenninger Christopher P.L.Q./Q.L.P.;Diep Aurélie C.A.Q.-E.F.L.;Laplante Phoeby P.Q.;Marquis Stéfan P.C.Q-E.E.D.;Massé Manon Q.S.;Mercier Jency C.Q.;Roop Hailey P.V.Q./G.P.Q.;Sullivan Linda P.M.L.Q.;B.V.;B.R.
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;160;;1;374;10;11;22;6;92;0;4;0;145;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;160;;2;348;11;16;25;5;61;1;3;0;122;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;160;;3;365;14;17;15;11;75;1;4;2;139;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;160;;4;372;14;11;21;4;88;1;4;0;143;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;160;;5;317;13;9;27;4;79;1;7;1;141;6
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;160;;6;356;11;8;14;5;89;1;0;1;129;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;160;;7;320;11;17;10;4;96;1;3;0;142;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;160;;8;334;13;9;11;9;86;1;1;1;131;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;160;;9;373;12;6;22;6;83;0;2;0;131;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;10;323;21;23;21;7;54;1;2;0;129;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;11;343;14;23;14;6;58;0;1;0;116;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;12;365;16;19;13;1;85;0;7;1;142;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;13;351;17;20;13;7;70;1;4;0;132;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;14;368;13;15;14;8;95;0;2;1;148;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;15;353;11;20;22;7;83;0;3;0;146;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;16;332;13;18;7;4;59;0;3;1;105;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;17;362;8;14;15;2;95;1;4;2;141;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;18;348;6;21;17;4;87;1;1;1;138;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;19;350;13;12;15;11;71;1;1;0;124;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;20;359;13;18;14;7;78;0;2;1;133;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;161;;21;373;10;9;21;6;63;0;4;2;115;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;162;;22;363;23;10;11;5;68;1;3;1;122;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;162;;23;382;25;19;13;2;73;0;3;0;135;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;162;;24;386;26;15;20;6;105;0;2;0;174;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;162;;25;327;35;5;5;4;53;0;0;0;102;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;162;;26;395;25;27;20;10;73;0;3;0;158;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;162;;27;410;7;21;20;5;72;0;1;0;126;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;162;;28;359;22;21;12;4;54;0;3;0;116;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;162;;29A;257;12;12;12;4;38;0;4;1;83;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;162;;29B;224;11;6;8;4;40;0;1;0;70;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;163;;30;345;20;18;10;14;74;1;4;0;141;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;163;;31;384;38;14;17;7;65;0;4;0;145;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;163;;32;366;12;10;17;4;71;0;2;0;116;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;163;;33;368;21;15;11;12;59;0;6;0;124;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;163;;34A;231;9;9;19;3;42;0;2;0;84;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;163;;34B;202;12;10;13;3;21;0;2;0;61;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;164;;35;338;11;2;35;3;42;0;4;0;97;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;164;;36;318;17;14;16;7;59;1;3;0;117;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;164;;37;341;3;12;15;8;47;0;0;1;86;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;164;;38;347;19;8;10;4;62;0;6;0;109;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;164;;39;328;22;10;16;4;71;0;2;0;125;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;164;;40;356;31;22;10;3;58;1;4;1;130;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;164;;41;377;21;18;8;15;49;0;1;0;112;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;164;;42;340;23;11;11;1;41;1;6;1;95;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;164;;43;345;20;18;13;5;40;0;4;0;100;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;165;;44;387;25;13;23;8;59;2;5;1;136;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;165;;45;340;23;6;14;3;31;0;1;0;78;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;165;;46;393;29;15;21;7;63;0;2;1;138;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;165;;47;395;22;8;20;5;63;0;4;0;122;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;165;;48;417;17;14;22;2;78;2;1;0;136;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;166;;49;389;28;11;14;7;85;0;0;0;145;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;166;;50;316;11;7;6;5;46;0;2;1;78;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;166;;51;336;19;21;14;6;69;1;4;0;134;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;166;;52;351;11;11;10;5;52;0;1;1;91;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;166;;53;384;18;4;13;10;75;0;1;0;121;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;167;;54;340;6;13;21;2;96;0;5;0;143;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;167;;55;347;20;11;14;3;64;0;1;0;113;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;167;;56;352;25;15;25;0;44;0;2;0;111;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;167;;57;290;9;3;7;3;47;1;2;0;72;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;168;;58;333;17;10;25;8;49;1;3;0;113;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;168;;59;367;21;16;10;11;48;1;0;1;108;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;168;;60;380;16;18;21;7;59;0;1;0;122;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;168;;61;366;10;13;18;7;61;0;1;0;110;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;168;;62;377;19;9;18;9;57;0;9;1;122;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;168;;63;378;19;17;13;9;61;0;1;0;120;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;168;;64;356;16;17;22;6;62;1;9;0;133;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;168;;65;376;24;13;15;13;24;0;1;0;90;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;169;;66;386;21;22;12;8;41;0;2;1;107;0
