Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Alexandre D.D.;Barbier Alain C.Q.;Bérubé-Lauzière Yves P.Q.;Dompierre Raphaëlle P.N.;Karny Victoria P.V.Q./G.P.Q.;Labrie Christine Q.S.;St-Amand Zoée P.C.Q-E.E.D.;St-Hilaire Caroline C.A.Q.-E.F.L.;Vaes François P.L.Q./Q.L.P.;B.V.;B.R.
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;1;393;0;0;12;0;0;35;5;56;14;122;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;2;395;0;0;13;1;0;44;8;76;4;146;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;3;396;0;1;12;0;1;58;15;80;6;173;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;4A;219;1;0;4;0;0;42;3;40;5;95;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;4B;223;0;0;15;0;0;45;10;38;6;114;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;5;425;0;0;20;1;0;63;10;70;7;171;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;6;389;0;0;6;1;3;64;11;67;6;158;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;7;409;0;1;19;0;2;40;10;64;12;148;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;8;397;0;0;14;1;1;70;7;69;2;164;8
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;9;386;0;0;19;0;3;75;16;49;3;165;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;10;395;0;1;13;0;2;59;10;73;17;175;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;7;;11;409;0;0;16;3;2;66;11;81;15;194;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;12;416;1;0;22;0;1;60;21;69;6;180;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;13;413;0;0;22;0;2;64;18;67;8;181;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;14;408;0;0;19;1;0;64;19;57;13;173;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;15;409;0;0;13;0;1;63;21;68;15;181;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;16;420;0;0;25;0;1;60;10;68;4;168;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;17;408;0;0;20;1;0;83;20;62;20;206;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;18;394;0;1;24;0;0;61;13;55;17;171;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;19;405;0;1;18;0;1;78;15;67;9;189;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;20;397;0;0;18;1;1;36;13;82;18;169;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;21;402;0;0;22;0;0;69;16;84;8;199;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;22;382;0;1;19;1;0;34;6;90;16;167;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;23;395;1;0;17;1;0;54;7;53;12;145;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;;24;387;0;2;9;0;0;55;8;74;6;154;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;25;399;0;0;10;4;1;61;7;48;15;146;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;26;408;0;1;10;2;1;49;13;56;13;145;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;27;399;0;1;17;0;0;59;18;32;14;141;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;28;405;0;0;24;0;1;60;10;73;8;176;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;29;392;0;0;16;1;0;70;21;41;8;157;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;30;413;0;0;22;0;0;32;10;81;10;155;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;31;395;0;0;15;0;5;51;16;54;11;152;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;32;402;0;0;18;3;0;56;12;65;6;160;5
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;33;409;0;1;21;1;0;72;22;44;14;175;8
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;;34;415;1;0;14;2;0;54;22;69;9;171;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;35;390;0;0;18;0;2;69;13;58;11;171;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;36;387;0;1;15;1;1;65;9;44;10;146;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;37;395;0;1;24;1;0;81;6;63;16;192;0
