Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Coulombe Éloïse P.C.Q-E.E.D.;Patenaude Samuel P.Q.;Picard Marilyne C.A.Q.-E.F.L.;Samson Sophie Q.S.;Solarik Kristian P.V.Q./G.P.Q.;St-Amour Catherine P.L.Q./Q.L.P.;B.V.;B.R.
220;Soulanges;2022-10-03;G;Pointe-Fortune, vl;1;;1;250;20;23;57;16;7;20;143;2
220;Soulanges;2022-10-03;G;Pointe-Fortune, vl;1;;2;247;17;24;65;10;3;16;135;4
220;Soulanges;2022-10-03;G;Rigaud, v;1;;3;367;16;16;60;12;1;19;124;4
220;Soulanges;2022-10-03;G;Rigaud, v;1;;4;394;22;17;50;20;7;25;141;2
220;Soulanges;2022-10-03;G;Rigaud, v;1;;5;385;32;18;51;28;3;17;149;1
220;Soulanges;2022-10-03;G;Rigaud, v;1;;6;374;29;20;53;21;6;26;155;1
220;Soulanges;2022-10-03;G;Rigaud, v;1;;7;398;25;19;52;16;6;48;166;2
220;Soulanges;2022-10-03;G;Rigaud, v;1;;8;396;21;15;84;14;5;24;163;3
220;Soulanges;2022-10-03;G;Rigaud, v;2;;9;377;21;16;51;9;5;38;140;1
220;Soulanges;2022-10-03;G;Rigaud, v;2;;10;408;29;18;85;17;7;38;194;4
220;Soulanges;2022-10-03;G;Rigaud, v;2;;11;394;21;15;54;20;5;40;155;0
220;Soulanges;2022-10-03;G;Rigaud, v;2;;12;389;26;23;47;13;6;29;144;2
220;Soulanges;2022-10-03;G;Rigaud, v;2;;13;383;33;14;45;20;7;22;141;2
220;Soulanges;2022-10-03;G;Rigaud, v;2;;14;378;21;17;51;7;3;33;132;3
220;Soulanges;2022-10-03;G;Rigaud, v;2;;15;366;8;9;35;7;3;43;105;2
220;Soulanges;2022-10-03;G;Rigaud, v;2;;16;382;28;14;32;7;5;64;150;0
220;Soulanges;2022-10-03;G;Rigaud, v;2;;17;387;30;10;62;13;5;43;163;3
220;Soulanges;2022-10-03;G;Rigaud, v;2;;18;385;28;20;46;17;5;27;143;1
220;Soulanges;2022-10-03;G;Hudson, v;1;;19;391;18;4;20;10;8;103;163;1
220;Soulanges;2022-10-03;G;Hudson, v;1;;20A;201;19;1;7;2;0;40;69;0
