Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy E.A.;Fillion Marie-Soleil Ind;Grandmont Etienne Q.S.;Hélie Marie-Josée P.C.Q-E.E.D.;Joubert Jean-François C.Q.;Karim Andrew P.V.Q./G.P.Q.;Robin Jeanne P.Q.;St-Hilaire Pascale C.A.Q.-E.F.L.;Touré Ahmed Lamine P.L.Q./Q.L.P.;B.V.;B.R.
730;Taschereau;2022-10-03;G;Québec, v;39;;1;392;0;0;91;16;0;1;46;47;11;212;0
730;Taschereau;2022-10-03;G;Québec, v;39;;2;360;0;0;51;12;1;1;43;34;13;155;0
730;Taschereau;2022-10-03;G;Québec, v;39;;3;376;0;1;71;15;1;3;41;28;10;170;3
730;Taschereau;2022-10-03;G;Québec, v;39;;4;359;0;1;86;21;1;1;32;35;12;189;1
730;Taschereau;2022-10-03;G;Québec, v;39;;5;348;0;0;54;18;0;1;42;30;16;161;1
730;Taschereau;2022-10-03;G;Québec, v;39;;6;359;0;2;81;13;0;3;36;23;11;169;0
730;Taschereau;2022-10-03;G;Québec, v;39;;7;388;1;0;58;14;1;0;35;42;18;169;1
730;Taschereau;2022-10-03;G;Québec, v;39;;8;369;1;0;46;12;1;1;47;41;6;155;1
730;Taschereau;2022-10-03;G;Québec, v;40;;9A;241;0;0;53;9;0;0;18;19;9;108;0
730;Taschereau;2022-10-03;G;Québec, v;40;;9B;293;0;0;29;5;0;0;12;27;15;88;1
730;Taschereau;2022-10-03;G;Québec, v;40;;10;303;1;0;35;5;0;2;39;29;4;115;0
730;Taschereau;2022-10-03;G;Québec, v;40;;11;315;0;1;51;10;0;0;37;34;14;147;0
730;Taschereau;2022-10-03;G;Québec, v;41;;12;361;0;0;49;9;2;0;41;36;18;155;2
730;Taschereau;2022-10-03;G;Québec, v;41;;13;369;0;0;64;16;0;2;38;30;7;157;3
730;Taschereau;2022-10-03;G;Québec, v;41;;14;362;0;0;18;17;0;1;24;64;20;144;1
730;Taschereau;2022-10-03;G;Québec, v;41;;15;340;0;0;28;12;0;1;21;22;11;95;0
730;Taschereau;2022-10-03;G;Québec, v;41;;16A;230;1;0;26;6;0;0;29;22;6;90;1
730;Taschereau;2022-10-03;G;Québec, v;41;;16B;227;0;0;30;4;0;2;19;20;6;81;0
730;Taschereau;2022-10-03;G;Québec, v;41;;17;377;0;0;75;11;0;0;37;21;13;157;4
730;Taschereau;2022-10-03;G;Québec, v;42;;18;373;0;1;61;13;1;1;47;35;14;173;1
730;Taschereau;2022-10-03;G;Québec, v;42;;19;371;0;0;100;15;1;2;55;31;14;218;0
730;Taschereau;2022-10-03;G;Québec, v;42;;20;399;0;0;99;24;3;2;53;20;20;221;3
730;Taschereau;2022-10-03;G;Québec, v;42;;21;395;1;1;88;11;0;3;34;23;12;173;1
730;Taschereau;2022-10-03;G;Québec, v;42;;22;371;0;0;53;9;1;2;46;37;10;158;1
730;Taschereau;2022-10-03;G;Québec, v;42;;23;381;0;0;94;17;1;0;63;22;10;207;2
730;Taschereau;2022-10-03;G;Québec, v;42;;24;396;0;0;80;12;3;2;59;32;13;201;0
730;Taschereau;2022-10-03;G;Québec, v;42;;25;418;1;0;104;13;1;1;51;38;15;224;0
730;Taschereau;2022-10-03;G;Québec, v;42;;26;405;2;0;47;15;0;2;61;55;12;194;0
730;Taschereau;2022-10-03;G;Québec, v;42;;27;425;0;0;76;7;0;2;73;38;15;211;2
730;Taschereau;2022-10-03;G;Québec, v;43;;28;353;0;0;32;14;0;2;46;44;19;157;1
730;Taschereau;2022-10-03;G;Québec, v;43;;29;331;0;0;22;6;0;1;33;43;14;119;1
730;Taschereau;2022-10-03;G;Québec, v;43;;30;355;1;0;21;12;1;0;51;41;12;139;1
730;Taschereau;2022-10-03;G;Québec, v;43;;31;354;0;1;25;12;1;0;42;45;13;139;3
730;Taschereau;2022-10-03;G;Québec, v;43;;32;337;0;0;32;4;0;0;51;41;12;140;1
730;Taschereau;2022-10-03;G;Québec, v;43;;33;368;0;0;42;7;0;1;36;49;24;159;1
730;Taschereau;2022-10-03;G;Québec, v;43;;34;360;0;0;34;21;1;1;41;49;15;162;2
730;Taschereau;2022-10-03;G;Québec, v;44;;35;354;0;0;47;9;0;0;38;28;10;132;1
730;Taschereau;2022-10-03;G;Québec, v;44;;36;384;0;0;72;11;0;1;53;22;14;173;2
730;Taschereau;2022-10-03;G;Québec, v;44;;37;363;0;0;53;5;0;0;38;23;8;127;0
730;Taschereau;2022-10-03;G;Québec, v;44;;38;368;0;0;94;13;0;1;50;15;10;183;2
730;Taschereau;2022-10-03;G;Québec, v;44;;39;377;0;1;56;9;1;1;62;29;12;171;3
730;Taschereau;2022-10-03;G;Québec, v;44;;40;396;0;0;55;15;0;1;58;32;15;176;0
730;Taschereau;2022-10-03;G;Québec, v;44;;41;385;0;0;48;13;0;2;42;44;17;166;0
730;Taschereau;2022-10-03;G;Québec, v;45;;42;375;0;0;51;14;2;3;33;43;13;159;3
730;Taschereau;2022-10-03;G;Québec, v;45;;43;381;0;0;82;11;1;1;46;31;13;185;2
730;Taschereau;2022-10-03;G;Québec, v;45;;44;370;0;0;65;14;1;0;49;31;10;170;1
730;Taschereau;2022-10-03;G;Québec, v;45;;45;394;0;0;65;13;0;1;41;33;9;162;4
