Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Labrecque-Saganash Maïtée Q.S.;Lalancette Nancy P.C.Q-E.E.D.;Lamothe Denis C.A.Q.-E.F.L.;Moore Christine P.Q.;Napartuk Tunu P.L.Q./Q.L.P.;B.V.;B.R.
938;Ungava;2022-10-03;G;Chibougamau, v;1;;1;361;27;15;57;14;3;116;4
938;Ungava;2022-10-03;G;Chibougamau, v;1;;2;371;14;17;76;23;5;135;3
938;Ungava;2022-10-03;G;Chibougamau, v;1;;3;372;24;14;68;17;7;130;3
938;Ungava;2022-10-03;G;Chibougamau, v;1;;4;374;29;18;55;20;0;122;0
938;Ungava;2022-10-03;G;Chibougamau, v;1;;5;392;28;17;47;19;4;115;2
938;Ungava;2022-10-03;G;Chibougamau, v;1;;6;338;23;11;52;10;5;101;2
938;Ungava;2022-10-03;G;Chibougamau, v;1;;7;390;26;14;88;21;5;154;3
938;Ungava;2022-10-03;G;Chibougamau, v;1;;8;369;30;20;68;17;1;136;2
938;Ungava;2022-10-03;G;Chibougamau, v;1;;9;362;31;8;77;21;7;144;2
938;Ungava;2022-10-03;G;Chibougamau, v;1;;10;376;38;12;69;25;6;150;5
938;Ungava;2022-10-03;G;Chibougamau, v;1;;11;378;32;27;61;27;7;154;3
938;Ungava;2022-10-03;G;Chibougamau, v;1;;12;377;17;23;65;31;2;138;2
938;Ungava;2022-10-03;G;Chibougamau, v;1;;13;380;45;17;73;22;6;163;1
938;Ungava;2022-10-03;G;Chibougamau, v;1;;14;392;23;21;73;14;1;132;4
938;Ungava;2022-10-03;G;Chapais, v;1;;15;350;17;35;55;27;4;138;4
938;Ungava;2022-10-03;G;Chapais, v;1;;16;369;19;31;53;30;5;138;3
938;Ungava;2022-10-03;G;Chapais, v;1;;17;368;24;27;61;22;4;138;5
938;Ungava;2022-10-03;G;Lebel-sur-Quévillon, v;1;;18;324;20;15;53;21;4;113;6
938;Ungava;2022-10-03;G;Lebel-sur-Quévillon, v;1;;19;320;16;9;56;35;0;116;3
938;Ungava;2022-10-03;G;Lebel-sur-Quévillon, v;1;;20;331;17;8;65;33;2;125;0
938;Ungava;2022-10-03;G;Lebel-sur-Quévillon, v;1;;21;333;22;23;67;24;6;142;2
938;Ungava;2022-10-03;G;Lebel-sur-Quévillon, v;1;;22;343;18;15;57;35;11;136;5
938;Ungava;2022-10-03;G;Matagami, v;1;;23;349;11;18;80;18;5;132;1
938;Ungava;2022-10-03;G;Matagami, v;1;;24;364;27;17;60;34;2;140;2
938;Ungava;2022-10-03;G;Matagami, v;1;;25;351;24;14;71;28;8;145;1
938;Ungava;2022-10-03;G;Kangiqsualujjuaq, vn;1;;26;629;8;5;3;2;65;83;2
938;Ungava;2022-10-03;G;Kuujjuaq, vn;1;;27;982;15;3;5;3;149;175;0
938;Ungava;2022-10-03;G;Kuujjuaq, vn;1;;28;307;12;2;5;2;79;100;0
938;Ungava;2022-10-03;G;Kuujjuaq, vn;1;;29;312;22;1;5;3;68;99;0
938;Ungava;2022-10-03;G;Tasiujaq, vn;1;;30;208;3;0;0;0;37;40;0
938;Ungava;2022-10-03;G;Aupaluk, vn;1;;31;130;1;0;0;0;18;19;0
938;Ungava;2022-10-03;G;Kangirsuk, vn;1;;32;347;1;0;2;0;32;35;0
938;Ungava;2022-10-03;G;Quaqtaq, vn;1;;33;252;5;3;0;0;31;39;1
938;Ungava;2022-10-03;G;Kangiqsujuaq, vn;1;;34;495;10;5;0;2;81;98;1
938;Ungava;2022-10-03;G;Salluit, vn;1;Regr. BVO-36;35;44;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Salluit, vn;1;;36;805;7;1;1;1;49;59;0
938;Ungava;2022-10-03;G;Ivujivik, vn;1;;37;258;2;0;1;0;14;17;0
938;Ungava;2022-10-03;G;Akulivik, vn;1;;38;367;0;1;3;1;25;30;0
938;Ungava;2022-10-03;G;Puvirnituq, vn;1;Regr. BVO-40;39;65;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Puvirnituq, vn;1;;40;1032;19;1;1;1;140;162;8
938;Ungava;2022-10-03;G;Inukjuak, vn;1;Regr. BVO-42;41;18;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Inukjuak, vn;1;;42;1064;5;1;0;1;60;67;133
938;Ungava;2022-10-03;G;Umiujaq, vn;1;;43;310;7;2;0;0;48;57;0
938;Ungava;2022-10-03;G;Kuujjuarapik, vn;1;;44;535;5;3;3;1;73;85;2
938;Ungava;2022-10-03;G;Whapmagoostui, tc;1;;45;490;14;0;1;0;5;20;0
938;Ungava;2022-10-03;G;Chisasibi, tc;1;;46;608;27;0;0;1;6;34;2
938;Ungava;2022-10-03;G;Chisasibi, tc;1;;47;580;12;0;0;1;11;24;0
938;Ungava;2022-10-03;G;Chisasibi, tc;1;;48;613;20;0;1;0;9;30;0
938;Ungava;2022-10-03;G;Chisasibi, tc;1;;49;551;8;1;0;2;13;24;0
938;Ungava;2022-10-03;G;Chisasibi, tc;1;;50;668;25;2;4;1;15;47;1
938;Ungava;2022-10-03;G;Wemindji, tc;1;;51;512;36;2;4;2;14;58;0
938;Ungava;2022-10-03;G;Wemindji, tc;1;;52;532;40;1;0;1;9;51;0
938;Ungava;2022-10-03;G;Eastmain, tc;1;;53;578;45;3;4;1;4;57;0
938;Ungava;2022-10-03;G;Waskaganish, tc;1;;54;720;32;0;1;2;24;59;2
938;Ungava;2022-10-03;G;Waskaganish, tc;1;;55;502;19;3;3;1;9;35;2
938;Ungava;2022-10-03;G;Waskaganish, tc;1;;56;297;6;0;0;1;10;17;1
938;Ungava;2022-10-03;G;Nemaska, tc;1;;57;522;37;0;1;1;7;46;0
938;Ungava;2022-10-03;G;Waswanipi, tc;1;;58;591;61;1;3;0;1;66;0
938;Ungava;2022-10-03;G;Waswanipi, tc;1;;59;580;63;0;1;0;2;66;0
938;Ungava;2022-10-03;G;Oujé-Bougoumou, tc;1;;60;518;55;4;2;0;3;64;0
938;Ungava;2022-10-03;G;Mistissini, tc;1;;61;629;58;0;7;1;14;80;0
938;Ungava;2022-10-03;G;Mistissini, tc;1;;62;626;38;2;2;2;1;45;2
938;Ungava;2022-10-03;G;Mistissini, tc;1;;63;592;24;0;0;0;4;28;0
938;Ungava;2022-10-03;G;Mistissini, tc;1;;64;615;43;0;1;0;7;51;0
938;Ungava;2022-10-03;G;Gouvernement régional d'Eeyou Istchee Baie-James, m;1;;65;190;16;8;36;23;0;83;0
938;Ungava;2022-10-03;G;Gouvernement régional d'Eeyou Istchee Baie-James, m;2;;66;184;15;14;38;27;11;105;0
938;Ungava;2022-10-03;G;Gouvernement régional d'Eeyou Istchee Baie-James, m;3;;67;211;23;9;34;39;4;109;3
938;Ungava;2022-10-03;G;Gouvernement régional d'Eeyou Istchee Baie-James, m;4;Regr. BVO-25;68;8;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Gouvernement régional d'Eeyou Istchee Baie-James, m;5;Regr. BVO-22;69;15;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Gouvernement régional d'Eeyou Istchee Baie-James, m;5;Regr. BVO-21;70;4;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Gouvernement régional d'Eeyou Istchee Baie-James, m;6;;71;110;5;4;35;3;0;47;1
938;Ungava;2022-10-03;G;Gouvernement régional d'Eeyou Istchee Baie-James, m;7;;72;102;3;2;28;10;0;43;1
938;Ungava;2022-10-03;G;Gouvernement régional d'Eeyou Istchee Baie-James, m;8;;73;136;2;4;16;9;1;32;0
938;Ungava;2022-10-03;G;Chibougamau, v;1;Regr. BVO-4;500;53;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;BVA1: SV no 1 à 7;;;;0;72;54;352;68;9;555;6
938;Ungava;2022-10-03;G;BVA2: SV no 8 à 14, 72;;;;0;80;49;281;72;12;494;11
938;Ungava;2022-10-03;G;BVA3: SV no 15 à 17, 71;;;;0;24;23;97;43;6;193;4
938;Ungava;2022-10-03;G;Vote en installation d'hébergement;;;;0;2;4;27;3;1;37;3
938;Ungava;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;1;9;1;1;12;0
938;Ungava;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;368;74;468;139;233;1282;29
938;Ungava;2022-10-03;G;Vote itinérant en région éloignée;;Regr. BVDS-1;;0;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Vote hors circonscription;;;;0;95;17;40;25;46;223;2
938;Ungava;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;1;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;55;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Vote anticipé par correspondance;;Regr. VHC-1;;0;0;0;0;0;0;0;0
938;Ungava;2022-10-03;G;Total de la circonscription;;;;29522;2092;756;3132;1084;1571;8635;285
938;Ungava;2022-10-03;G;Majorité en faveur de Denis Lamothe : 1040;;;;;;;;;;;
