Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-E.F.L.;Bamba Kadidia Mahamane P.V.Q./G.P.Q.;Boucher Karoline Q.S.;Cloutier Jean C.Q.;Duquette William P.Q.;Filion Karl P.L.Q./Q.L.P.;Gagnon Donald P.C.Q-E.E.D.;Guillemette Mathieu Ind;B.V.;B.R.
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;101;;1;381;94;0;22;0;14;10;48;2;190;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;101;;2;382;83;1;19;0;18;18;40;3;182;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;101;;3;389;110;1;22;2;17;12;40;4;208;5
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;101;;4;400;88;3;31;1;33;8;40;2;206;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;101;;5;379;80;0;20;1;21;17;47;1;187;9
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;101;;6;384;69;1;31;1;20;5;66;1;194;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;101;;7;386;62;2;26;0;29;9;33;1;162;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;101;;8;379;87;1;19;1;29;8;46;4;195;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;9;357;72;0;23;0;16;12;55;6;184;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;10;357;74;1;24;0;21;13;43;1;177;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;11;355;75;3;14;0;24;10;23;0;149;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;12;345;83;1;27;0;29;5;44;1;190;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;13;369;72;2;23;0;24;14;36;0;171;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;14;362;63;1;7;0;10;7;22;2;112;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;15;369;92;0;15;0;13;11;44;2;177;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;16;363;69;0;8;0;18;6;12;0;113;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;17;360;56;2;10;1;18;16;30;0;133;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;18;387;53;0;15;0;25;22;23;0;138;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;19;357;82;1;26;0;20;26;24;1;180;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;20A;239;50;0;10;0;18;9;24;0;111;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;102;;20B;225;35;2;5;0;13;5;16;0;76;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;;21;385;55;1;16;0;17;12;31;1;133;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;;22;388;46;3;23;0;12;11;30;1;126;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;;23;386;81;2;30;0;20;13;37;1;184;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;;24;391;73;0;23;0;25;14;46;0;181;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;;25;402;52;2;29;0;15;8;30;1;137;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;;26;387;115;2;26;2;24;8;38;1;216;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;;27;392;73;0;29;1;38;13;22;1;177;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;;28;398;82;1;14;0;18;8;25;2;150;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;;29;399;65;1;18;0;13;12;20;2;131;7
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;30;399;69;0;18;0;21;11;24;0;143;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;31;317;55;2;15;0;16;14;28;1;131;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;32;372;30;1;17;0;16;12;14;0;90;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;33;229;33;0;18;0;11;14;41;0;117;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;34;367;76;0;10;1;20;20;34;0;161;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;35;371;64;0;26;0;34;11;36;2;173;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;36;360;76;0;23;0;32;21;26;0;178;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;37;384;97;0;7;0;17;8;26;0;155;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;38;368;70;0;12;0;15;8;21;0;126;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;39;414;73;0;12;0;24;5;33;0;147;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;40;382;57;0;13;0;21;15;23;1;130;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;41;386;52;0;11;0;23;3;25;0;114;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;104;;42;380;55;0;26;0;21;14;29;2;147;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;105;;43;359;63;0;21;2;25;25;37;1;174;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;105;;44;356;59;0;29;0;23;10;31;1;153;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;105;;45;369;59;1;15;0;28;14;26;1;144;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;105;;46;365;89;1;15;0;36;5;27;1;174;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;105;;47;353;66;0;27;0;23;17;33;2;168;5
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;105;;48;363;64;1;42;0;33;12;44;1;197;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;105;;49;355;56;2;27;0;20;5;34;0;144;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;105;;50;353;58;1;26;1;19;8;38;4;155;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;105;;51;357;63;1;16;0;24;4;35;1;144;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;;52;360;57;3;33;0;19;15;26;0;153;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;;53;362;52;2;24;0;15;12;41;1;147;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;;54;362;66;5;23;1;26;10;30;1;162;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;;55;363;85;0;12;2;23;13;24;2;161;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;;56;360;86;0;16;0;35;18;33;1;189;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;;57;362;63;0;11;0;20;12;16;0;122;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;;58;364;51;0;7;0;27;14;10;0;109;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;;59;374;70;1;12;0;25;10;12;0;130;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;;60;362;51;2;16;0;23;12;36;3;143;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;107;;61;372;60;0;16;0;23;12;44;0;155;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;107;;62;386;50;0;6;0;24;12;26;0;118;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;107;;63;423;80;0;7;0;28;6;28;0;149;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;107;;64;405;72;3;27;1;24;18;45;1;191;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;107;;65;387;46;2;39;1;29;16;34;1;168;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;107;;66;414;81;0;18;1;22;10;30;0;162;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;107;;67;393;73;0;13;2;24;8;14;3;137;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;107;;68;406;51;0;23;0;28;10;26;3;141;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;69;400;71;0;19;0;15;16;35;0;156;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;70;393;73;2;22;0;27;11;27;0;162;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;71;370;77;1;17;0;30;12;53;0;190;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;72;391;86;1;16;1;22;14;37;2;179;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;73;376;81;1;18;2;31;10;22;2;167;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;74;384;62;1;21;0;18;12;28;1;143;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;75;379;61;1;28;1;33;11;21;0;156;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;76;384;72;0;31;0;40;5;52;4;204;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;77;372;80;0;23;0;30;13;34;0;180;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;;78;374;48;4;31;0;31;20;33;3;170;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;;79;375;56;0;29;0;22;10;43;2;162;3
