Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belinga Renée-Chantal Q.S.;Benjamin Frantz P.L.Q./Q.L.P.;Chaouche Manel P.V.Q./G.P.Q.;Lecompte Marc-Antoine P.Q.;Réjouis Marc II B.M.-E.B.H.;Ricard Serge C.Q.;Savard Justine C.A.Q.-E.F.L.;Tembel Alex P.C.Q-E.E.D.;B.V.;B.R.
358;Viau;2022-10-03;G;Montréal, v;261;;1;403;20;59;1;4;0;1;24;10;119;3
358;Viau;2022-10-03;G;Montréal, v;261;;2;405;22;83;3;4;0;0;14;4;130;0
358;Viau;2022-10-03;G;Montréal, v;261;;3;402;23;57;1;4;0;0;30;11;126;0
358;Viau;2022-10-03;G;Montréal, v;261;;4;399;13;69;1;7;0;0;16;5;111;0
358;Viau;2022-10-03;G;Montréal, v;261;;5;396;21;65;5;6;2;0;19;9;127;1
358;Viau;2022-10-03;G;Montréal, v;261;;6;398;20;109;3;2;1;0;19;12;166;1
358;Viau;2022-10-03;G;Montréal, v;261;;7;406;14;74;1;1;0;0;16;11;117;2
358;Viau;2022-10-03;G;Montréal, v;262;;8;390;31;64;2;8;1;0;12;15;133;7
358;Viau;2022-10-03;G;Montréal, v;262;;9;376;20;81;3;11;2;1;18;9;145;6
358;Viau;2022-10-03;G;Montréal, v;262;;10;380;30;48;1;8;0;0;11;14;112;3
358;Viau;2022-10-03;G;Montréal, v;262;;11;381;42;79;0;8;0;0;9;14;152;2
358;Viau;2022-10-03;G;Montréal, v;262;;12;383;26;70;2;6;0;0;13;11;128;2
358;Viau;2022-10-03;G;Montréal, v;262;;13;381;20;58;2;6;1;1;11;21;120;3
358;Viau;2022-10-03;G;Montréal, v;262;;14;357;19;53;2;6;0;0;10;6;96;4
358;Viau;2022-10-03;G;Montréal, v;262;;15;374;31;71;0;6;1;0;18;13;140;1
358;Viau;2022-10-03;G;Montréal, v;262;;16;371;23;79;5;3;0;0;8;6;124;8
358;Viau;2022-10-03;G;Montréal, v;263;;17;394;33;92;4;4;1;0;16;7;157;5
358;Viau;2022-10-03;G;Montréal, v;263;;18;400;25;64;2;13;0;0;20;10;134;6
358;Viau;2022-10-03;G;Montréal, v;263;;19;395;25;95;2;8;4;1;11;16;162;6
358;Viau;2022-10-03;G;Montréal, v;263;;20;412;21;99;1;1;0;0;9;12;143;13
358;Viau;2022-10-03;G;Montréal, v;263;;21;399;20;102;2;1;1;3;8;9;146;1
358;Viau;2022-10-03;G;Montréal, v;263;;22;395;28;70;1;6;0;0;30;11;146;1
358;Viau;2022-10-03;G;Montréal, v;263;;23;393;24;67;3;6;4;1;24;13;142;2
358;Viau;2022-10-03;G;Montréal, v;263;;24;391;27;68;1;10;0;0;21;13;140;2
358;Viau;2022-10-03;G;Montréal, v;263;;25;395;31;68;1;4;1;1;16;6;128;2
358;Viau;2022-10-03;G;Montréal, v;264;;26;385;29;91;1;8;0;0;11;5;145;4
358;Viau;2022-10-03;G;Montréal, v;264;;27;373;14;67;2;6;0;1;15;14;119;2
358;Viau;2022-10-03;G;Montréal, v;264;;28;382;34;96;5;0;0;0;21;12;168;2
358;Viau;2022-10-03;G;Montréal, v;264;;29;399;25;90;1;2;1;3;15;11;148;8
358;Viau;2022-10-03;G;Montréal, v;264;;30;375;32;62;10;8;0;1;16;10;139;6
358;Viau;2022-10-03;G;Montréal, v;264;;31;388;29;68;3;3;0;0;11;8;122;5
358;Viau;2022-10-03;G;Montréal, v;264;;32;379;27;71;4;3;1;0;16;10;132;4
358;Viau;2022-10-03;G;Montréal, v;264;;33;390;23;84;2;4;2;3;14;10;142;1
358;Viau;2022-10-03;G;Montréal, v;264;;34;388;22;70;6;9;0;0;22;11;140;5
358;Viau;2022-10-03;G;Montréal, v;265;;35;390;18;78;4;1;0;0;16;4;121;6
358;Viau;2022-10-03;G;Montréal, v;265;;36;382;37;72;2;6;0;0;22;14;153;6
358;Viau;2022-10-03;G;Montréal, v;265;;37;400;29;50;6;7;1;2;17;8;120;2
358;Viau;2022-10-03;G;Montréal, v;265;;38;387;19;69;3;1;0;0;17;10;119;1
358;Viau;2022-10-03;G;Montréal, v;265;;39;377;23;61;2;7;2;1;23;14;133;4
358;Viau;2022-10-03;G;Montréal, v;266;;40;387;30;63;1;12;3;0;17;9;135;4
358;Viau;2022-10-03;G;Montréal, v;266;;41;384;38;73;2;7;0;1;21;8;150;1
358;Viau;2022-10-03;G;Montréal, v;266;;42;384;39;88;5;7;0;0;15;10;164;18
358;Viau;2022-10-03;G;Montréal, v;266;;43;387;29;66;0;13;1;0;21;5;135;4
358;Viau;2022-10-03;G;Montréal, v;266;;44;397;41;105;1;2;0;0;20;11;180;1
358;Viau;2022-10-03;G;Montréal, v;266;;45;395;37;68;4;8;1;0;16;10;144;3
358;Viau;2022-10-03;G;Montréal, v;266;;46;385;22;35;0;6;2;1;23;11;100;6
358;Viau;2022-10-03;G;Montréal, v;267;;47;378;17;60;4;7;1;1;28;16;134;3
358;Viau;2022-10-03;G;Montréal, v;267;;48;381;52;46;3;19;2;0;30;9;161;4
358;Viau;2022-10-03;G;Montréal, v;267;;49;380;62;61;4;19;0;1;34;11;192;1
