Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Kuhn Sam P.V.Q./G.P.Q.;Maccarone Jennifer P.L.Q./Q.L.P.;Racicot Florence P.Q.;Rossokhata Katya P.C.Q-E.E.D.;Small Heidi B.M.-E.B.H.;Standish Colin P.C.Q./C.P.Q;Torres-Piaggio Maria-Luisa C.A.Q.-E.F.L.;Touchette David Q.S.;B.V.;B.R.
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;1;;1;383;6;105;2;18;13;19;3;5;171;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;1;;2;387;2;118;9;23;12;18;11;11;204;1
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;1;;3;371;5;105;1;22;14;14;1;1;163;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;1;;4;388;1;98;5;28;11;13;7;3;166;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;1;;5;367;3;88;3;25;8;12;10;9;158;1
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;1;;6;368;1;64;5;25;7;13;10;6;131;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;1;;7;389;0;67;2;25;7;9;9;4;123;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;1;;8;370;3;92;0;32;12;7;8;1;155;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;2;;9;352;3;90;5;27;6;12;9;3;155;2
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;2;;10;352;4;100;3;24;4;8;7;4;154;4
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;2;;11;356;6;85;0;18;6;3;5;4;127;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;2;;12;360;3;101;2;12;6;15;8;8;155;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;2;;13;353;3;92;6;21;3;12;8;2;147;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;2;;14;380;33;91;5;6;11;17;7;22;192;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;2;;15;364;5;104;5;11;13;16;8;14;176;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;2;;16;372;4;72;3;5;7;12;7;1;111;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;17;413;12;88;2;5;13;24;1;13;158;3
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;18;396;6;101;2;16;10;25;8;11;179;2
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;19;398;9;78;7;10;20;17;6;6;153;1
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;20;392;7;106;7;17;6;4;3;12;162;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;21;403;4;109;11;13;4;24;7;11;183;1
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;22;401;9;67;1;15;12;9;8;23;144;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;23;408;4;98;8;5;9;20;8;10;162;2
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;24;423;4;105;4;10;10;17;2;10;162;4
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;25;414;6;83;2;22;7;14;4;12;150;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;3;;26;397;3;91;1;13;8;20;5;18;159;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;27;382;15;88;1;12;7;13;11;17;164;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;28A;212;3;55;1;4;3;5;2;6;79;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;28B;221;5;45;2;10;3;1;8;9;83;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;29;419;4;107;7;35;6;18;12;11;200;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;30;410;0;133;4;8;9;30;8;4;196;2
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;31;386;3;119;1;21;4;16;8;7;179;1
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;32;427;5;89;3;13;22;33;9;22;196;1
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;33;376;7;94;3;13;5;21;6;13;162;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;34;390;0;114;2;22;1;8;4;1;152;0
332;Westmount-Saint-Louis;2022-10-03;G;Westmount, v;4;;35;403;5;63;3;16;3;8;17;5;120;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;151;;36;383;2;63;15;11;3;2;17;24;137;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;151;;37A;244;2;26;3;4;4;3;6;7;55;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;151;;37B;251;3;36;5;7;2;3;4;5;65;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;151;;38;375;2;51;5;8;2;4;8;16;96;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;151;;39;371;7;42;5;5;4;4;10;20;97;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;151;;40;370;4;42;2;11;2;3;5;8;77;3
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;152;;41;362;3;38;1;5;2;5;5;11;70;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;152;;42;379;3;38;4;15;5;4;14;9;92;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;152;;43;392;0;45;0;11;2;2;5;11;76;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;152;;44;384;6;56;8;16;1;8;8;10;113;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;152;;45;370;3;29;0;5;2;1;1;8;49;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;152;;46;388;0;30;6;8;3;2;9;12;70;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;152;;47;425;4;36;0;7;3;5;6;25;86;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;152;;48;352;4;25;1;9;2;2;6;10;59;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;152;;49;397;3;40;2;9;1;2;8;6;71;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;153;;50;359;3;34;5;12;4;3;6;17;84;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;153;;51;407;3;56;1;10;5;5;1;14;95;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;153;;52;384;2;62;13;11;6;4;3;10;111;3
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;153;;53;358;0;78;5;16;4;7;9;5;124;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;153;;54;364;3;105;5;5;6;4;14;8;150;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;153;;55;390;4;67;7;11;4;8;17;10;128;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;153;;56;378;2;65;1;14;1;2;3;9;97;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;153;;57;359;3;77;3;20;7;9;11;9;139;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;153;;58;377;6;44;5;19;0;7;16;29;126;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;59;388;2;85;0;12;5;3;7;4;118;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;60;402;1;55;3;17;7;5;13;15;116;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;61;379;4;41;2;7;1;1;7;2;65;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;62;382;2;45;0;8;2;4;7;7;75;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;63;406;1;45;6;8;3;1;7;8;79;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;64;378;0;38;3;15;6;1;8;3;74;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;65;412;7;59;2;9;3;8;17;6;111;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;66;383;3;78;14;15;5;6;11;4;136;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;67;386;4;90;3;16;8;10;5;2;138;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;154;;68;391;3;82;5;11;4;3;18;13;139;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;69;417;1;50;2;12;2;6;13;5;91;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;70A;221;2;27;0;5;3;0;3;3;43;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;70B;226;3;33;1;2;0;1;6;6;52;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;71A;236;3;15;1;1;4;1;5;4;34;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;71B;205;2;8;2;2;0;1;1;6;22;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;72;423;3;58;4;10;1;3;11;8;98;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;73A;252;2;20;2;8;2;2;2;3;41;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;73B;215;0;16;0;5;0;0;9;8;38;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;74;432;0;53;2;10;3;2;7;8;85;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;75A;227;1;26;3;7;0;1;5;12;55;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;75B;219;0;21;4;5;3;0;6;7;46;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;76A;222;3;27;2;7;0;2;8;4;53;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;76B;221;1;22;2;4;2;0;4;5;40;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;77A;222;1;30;1;7;1;4;7;3;54;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;77B;219;1;11;1;9;1;0;3;5;31;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;78A;243;3;24;6;7;2;0;3;2;47;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;155;;78B;197;1;9;0;2;0;1;0;1;14;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;156;;79;378;4;63;12;10;2;6;17;23;137;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;156;;80;372;9;78;12;16;4;0;23;19;161;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;156;;81;367;5;76;19;17;5;1;24;16;163;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;156;;82;362;3;60;12;9;3;4;18;18;127;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;156;;83A;262;4;41;0;8;0;2;5;9;69;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;156;;83B;242;1;24;4;4;0;0;7;19;59;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;156;;84;365;2;41;6;19;3;1;17;20;109;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;156;;85;348;14;49;8;14;7;3;15;19;129;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;157;;86;348;1;44;16;14;1;3;22;9;110;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;157;;87;361;0;41;13;12;2;1;17;32;118;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;157;;88;358;3;39;16;11;3;1;19;29;121;3
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;157;;89;354;3;43;8;18;2;0;17;19;110;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;157;;90;416;4;63;12;16;2;2;23;26;148;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;157;;91;390;3;47;6;11;4;1;15;17;104;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;158;;92;340;0;38;10;4;0;0;13;7;72;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;158;;93;355;6;31;3;4;1;0;10;1;56;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;158;;94;366;5;59;10;6;1;4;23;10;118;1
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;158;;95;356;1;42;16;12;0;4;10;22;107;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;159;;96;408;0;46;15;16;2;0;26;26;131;2
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;159;;97;381;5;35;12;11;2;3;13;19;100;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;159;;98;381;1;38;9;7;3;3;16;16;93;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;159;;99;356;2;38;3;10;3;4;27;14;101;0
332;Westmount-Saint-Louis;2022-10-03;G;Montréal, v;159;;100;406;1;41;6;4;1;1;8;14;76;1
