Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dufour Pierre C.A.Q.-E.F.L.;Gingras Benjamin Q.S.;Matte Jean-Maurice P.L.Q./Q.L.P.;Perron-Tellier Maxym P.C.Q-E.E.D.;Rouleau Jacline P.Q.;B.V.;B.R.
648;Abitibi-Est;2022-10-03;G;Senneterre, p;1;;1;332;50;17;33;10;19;129;1
648;Abitibi-Est;2022-10-03;G;Senneterre, p;1;;2;341;35;12;40;19;24;130;1
648;Abitibi-Est;2022-10-03;G;Senneterre, p;2;;3;316;35;7;31;16;15;104;2
648;Abitibi-Est;2022-10-03;G;Senneterre, v;1;;4;311;27;12;39;12;13;103;0
648;Abitibi-Est;2022-10-03;G;Senneterre, v;1;;5;318;14;3;36;8;15;76;1
648;Abitibi-Est;2022-10-03;G;Senneterre, v;1;;6;325;28;12;40;18;14;112;0
648;Abitibi-Est;2022-10-03;G;Senneterre, v;2;;7;401;34;19;61;16;22;152;0
648;Abitibi-Est;2022-10-03;G;Senneterre, v;2;;8;397;30;8;50;19;22;129;1
648;Abitibi-Est;2022-10-03;G;Senneterre, v;2;;9;400;35;6;58;8;20;127;3
648;Abitibi-Est;2022-10-03;G;Belcourt, m;1;;10;170;30;7;25;4;19;85;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;1;;11;399;89;25;27;19;22;182;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;1;;12;407;79;23;19;12;29;162;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;1;;13;415;99;29;13;20;16;177;3
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;2;;14;368;79;30;15;29;24;177;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;2;;15;357;74;17;24;23;14;152;8
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;2;;16;353;61;25;10;24;14;134;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;2;;17;359;67;29;21;25;12;154;3
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;2;;18;353;74;25;19;27;18;163;5
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;3;;19;369;107;24;22;13;25;191;5
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;3;;20;358;107;23;17;27;13;187;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;3;;21;366;84;34;19;22;18;177;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;4;;22;382;95;21;25;20;18;179;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;4;;23;368;84;25;21;38;34;202;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;4;;24;383;64;26;20;26;18;154;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;4;;25;367;93;26;15;26;21;181;6
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;5;;26;383;102;23;12;24;33;194;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;5;;27;383;97;25;24;31;24;201;9
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;5;;28;388;99;27;24;27;25;202;13
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;5;;29;389;83;26;21;57;34;221;3
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;6;;30;380;86;27;20;44;30;207;6
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;6;;31;384;83;24;21;54;24;206;8
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;7;;32;386;76;39;21;48;37;221;7
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;7;;33;393;94;29;17;34;25;199;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;7;;34;382;82;23;19;24;16;164;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;7;;35;402;66;21;15;28;23;153;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;7;;36;375;103;14;29;19;17;182;5
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;8;;37;411;99;24;28;28;25;204;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;8;;38;395;87;26;20;15;15;163;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;8;;39;393;86;29;27;13;18;173;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;8;;40;387;84;22;13;21;19;159;5
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;8;;41;419;80;19;20;20;21;160;7
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;9;;42;350;40;26;8;16;12;102;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;9;;43;365;42;24;11;22;24;123;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;9;;44;338;60;31;12;20;18;141;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;9;;45;349;34;23;16;19;12;104;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;9;;46;364;37;26;7;14;14;98;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;10;;47;362;28;18;8;14;15;83;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;10;;48;367;50;29;16;17;26;138;3
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;10;;49;367;48;31;19;22;21;141;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;10;;50;393;85;29;23;29;16;182;3
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;11;;51;384;35;28;8;29;12;112;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;11;;52;367;58;19;15;18;17;127;3
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;11;;53;389;56;15;23;12;14;120;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;11;;54;370;62;15;13;13;13;116;3
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;12;;55;385;44;29;16;16;26;131;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;12;;56;365;56;19;17;16;21;129;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;12;;57;371;50;15;12;22;20;119;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;12;;58;374;68;19;14;27;18;146;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;59;374;82;25;16;28;20;171;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;60;372;63;31;17;11;16;138;5
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;61;368;98;19;14;22;13;166;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;62;365;75;27;18;19;11;150;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;63;371;83;27;26;9;24;169;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;64;362;62;18;19;19;16;134;3
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;65;359;71;33;10;9;15;138;3
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;66;381;60;22;20;19;14;135;1
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;67;382;86;26;29;14;25;180;5
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;68;356;59;20;12;21;24;136;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;69;359;55;37;25;19;18;154;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;13;;70;354;49;35;9;18;23;134;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;14;;71;340;69;38;20;17;22;166;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;14;;72;348;56;17;16;14;13;116;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;14;;73;351;42;40;13;10;16;121;4
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;14;;74;348;45;16;8;14;14;97;2
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;14;;75;323;44;32;12;15;17;120;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;15;;76;199;38;10;16;14;29;107;1
648;Abitibi-Est;2022-10-03;G;Lac-Simon, r;1;;77;433;1;3;11;0;3;18;0
648;Abitibi-Est;2022-10-03;G;Lac-Simon, r;1;;78;403;1;0;13;0;3;17;0
648;Abitibi-Est;2022-10-03;G;Malartic, v;1;;79;340;63;33;9;24;37;166;6
648;Abitibi-Est;2022-10-03;G;Malartic, v;1;;80;321;34;25;15;23;17;114;1
648;Abitibi-Est;2022-10-03;G;Malartic, v;1;;81;332;29;20;7;26;30;112;1
648;Abitibi-Est;2022-10-03;G;Malartic, v;1;;82;325;31;19;13;30;18;111;5
648;Abitibi-Est;2022-10-03;G;Malartic, v;2;;83;410;67;21;24;37;30;179;5
648;Abitibi-Est;2022-10-03;G;Malartic, v;2;;84;395;41;11;15;18;19;104;4
648;Abitibi-Est;2022-10-03;G;Malartic, v;2;;85;381;55;27;26;44;23;175;7
648;Abitibi-Est;2022-10-03;G;Rivière-Héva, m;1;;86;361;73;21;23;26;21;164;3
648;Abitibi-Est;2022-10-03;G;Rivière-Héva, m;1;;87;351;62;17;21;42;18;160;3
648;Abitibi-Est;2022-10-03;G;Rivière-Héva, m;1;;88;333;85;22;12;29;24;172;7
648;Abitibi-Est;2022-10-03;G;Rivière-Héva, m;2;;89;210;33;5;7;10;10;65;4
648;Abitibi-Est;2022-10-03;G;Rouyn-Noranda, v;21;;90;300;37;9;4;33;17;100;3
648;Abitibi-Est;2022-10-03;G;Rouyn-Noranda, v;21;;91;314;66;20;6;29;23;144;0
648;Abitibi-Est;2022-10-03;G;Kitcisakik, ei;1;Regr. BVDS-1;92;91;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;1;Regr. BVO-13;500;220;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;2;Regr. BVO-18;501;105;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;8;Regr. BVO-41;502;80;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;11;Regr. BVO-52;503;55;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Val-d'Or, v;11;Regr. BVO-71;504;139;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Malartic, v;1;Regr. BVO-80;505;41;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Malartic, v;2;Regr. BVO-85;506;18;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;BVA1: SV no 32, 37, 53 à 54, 72 à 73;;;;0;237;40;60;23;35;395;13
648;Abitibi-Est;2022-10-03;G;BVA2: SV no 33, 42, 45 à 46, 59, 70;;;;0;218;41;45;22;41;367;8
648;Abitibi-Est;2022-10-03;G;BVA3: SV no 34, 39, 44, 47, 58, 60;;;;0;292;48;61;31;46;478;5
648;Abitibi-Est;2022-10-03;G;BVA4: SV no 35, 40, 43, 49 à 50, 61;;;;0;287;42;64;32;52;477;11
648;Abitibi-Est;2022-10-03;G;BVA5: SV no 36, 38, 41, 62, 74 à 75;;;;0;274;47;55;26;42;444;5
648;Abitibi-Est;2022-10-03;G;BVA6: SV no 13 à 15, 30, 48, 65;;;;0;221;38;56;38;44;397;4
648;Abitibi-Est;2022-10-03;G;BVA7: SV no 17 à 19, 51, 55, 66;;;;0;260;35;57;36;32;420;4
648;Abitibi-Est;2022-10-03;G;BVA8: SV no 16, 20, 25, 52, 56, 69;;;;0;269;40;52;36;36;433;8
648;Abitibi-Est;2022-10-03;G;BVA9: SV no 21 à 22, 27, 57, 63, 67;;;;0;260;26;40;30;37;393;10
648;Abitibi-Est;2022-10-03;G;BVA10: SV no 23 à 24, 28, 64, 68, 71;;;;0;245;33;53;25;36;392;6
648;Abitibi-Est;2022-10-03;G;BVA11: SV no 11 à 12, 26, 29, 31;;;;0;179;12;33;27;30;281;2
648;Abitibi-Est;2022-10-03;G;BVA12: SV no 79 à 82, 88 à 89;;;;0;152;31;40;25;32;280;4
648;Abitibi-Est;2022-10-03;G;BVA13: SV no 83 à 87;;;;0;190;41;45;33;41;350;2
648;Abitibi-Est;2022-10-03;G;BVA14: SV no 3, 7 à 10;;;;0;140;22;175;17;64;418;4
648;Abitibi-Est;2022-10-03;G;BVA15: SV no 1 à 2, 4 à 6;;;;0;146;31;177;31;59;444;7
648;Abitibi-Est;2022-10-03;G;BVA16: SV no 90 à 91;;;;0;65;8;8;7;10;98;2
648;Abitibi-Est;2022-10-03;G;Vote en installation d'hébergement;;;;0;287;11;115;8;32;453;11
648;Abitibi-Est;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;34;2;31;3;4;74;2
648;Abitibi-Est;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;304;123;71;54;69;621;18
648;Abitibi-Est;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Vote itinérant en région éloignée;;Regr. BVDS-1;;0;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Vote hors circonscription;;;;0;53;162;31;25;36;307;13
648;Abitibi-Est;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;14;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;14;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Vote anticipé par correspondance;;Regr. VHC-1;;0;0;0;0;0;0;0;0
648;Abitibi-Est;2022-10-03;G;Total de la circonscription;;;;33723;9762;2838;3044;2486;2565;20695;404
648;Abitibi-Est;2022-10-03;G;Majorité en faveur de Pierre Dufour : 6718;;;;;;;;;;;
