Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Adda Yastene P.Q.;Boivin Roy Karine C.A.Q.-E.F.L.;Deneault Genevieve P.C.Q-E.E.D.;Gagnon Chantal P.L.Q./Q.L.P.;Gélinas Claude C.Q.;LeRougetel Katy Ind;Pageau Laurence Q.S.;B.V.;B.R.
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;361;;1;379;10;26;11;70;0;0;15;132;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;361;;2;368;9;17;17;37;1;0;26;107;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;361;;3;374;7;27;19;73;0;0;21;147;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;361;;4;386;10;21;33;76;0;0;9;149;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;361;;5;381;9;37;15;54;0;1;12;128;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;361;;6;374;13;38;14;48;0;0;14;127;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;361;;7;374;8;33;13;54;1;0;20;129;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;361;;8;390;7;26;18;79;3;1;22;156;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;361;;9;380;8;32;14;37;0;1;25;117;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;362;;10;390;16;34;8;28;1;0;35;122;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;362;;11;395;17;41;21;43;1;0;22;145;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;362;;12;405;17;28;22;47;1;0;26;141;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;362;;13;402;14;31;12;60;1;0;25;143;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;362;;14;390;3;38;21;67;0;0;26;155;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;362;;15;394;5;31;17;59;1;1;44;158;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;362;;16;386;9;28;12;58;2;0;18;127;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;362;;17;394;7;42;13;43;3;0;20;128;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;362;;18;398;27;48;12;24;3;0;20;134;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;363;;19;374;21;43;12;49;2;1;21;149;5
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;363;;20;365;23;41;3;20;0;0;44;131;0
