Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arantes Luciana P.L.Q./Q.L.P.;Beauchesne Mario P.Q.;Fortin Pascale Q.S.;Henoud Tarek P.C.Q-E.E.D.;Lefebvre Eric C.A.Q.-E.F.L.;Martel Trystan C.Q.;B.V.;B.R.
144;Arthabaska;2022-10-03;G;Victoriaville, v;1;;1;390;11;19;19;64;83;0;196;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;1;;2;380;7;14;19;68;93;3;204;0
144;Arthabaska;2022-10-03;G;Victoriaville, v;1;;3;394;3;11;17;59;102;0;192;5
144;Arthabaska;2022-10-03;G;Victoriaville, v;1;;4;376;7;16;25;47;90;0;185;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;1;;5;409;17;16;22;50;113;0;218;6
144;Arthabaska;2022-10-03;G;Victoriaville, v;2;;6;389;11;15;30;28;77;1;162;4
144;Arthabaska;2022-10-03;G;Victoriaville, v;2;;7;403;7;17;45;48;75;1;193;7
144;Arthabaska;2022-10-03;G;Victoriaville, v;2;;8;420;13;19;24;53;114;1;224;4
144;Arthabaska;2022-10-03;G;Victoriaville, v;2;;9;410;4;17;31;62;82;0;196;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;2;;10;402;5;14;20;44;79;1;163;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;2;;11;376;2;15;24;37;67;1;146;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;2;;12;367;9;34;22;25;88;1;179;7
144;Arthabaska;2022-10-03;G;Victoriaville, v;2;;13;370;7;20;24;45;76;3;175;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;2;;14;420;9;20;34;51;89;0;203;7
144;Arthabaska;2022-10-03;G;Victoriaville, v;3;;15;414;6;10;16;33;104;1;170;5
144;Arthabaska;2022-10-03;G;Victoriaville, v;3;;16;403;7;28;26;31;90;0;182;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;3;;17;407;4;16;40;45;96;0;201;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;3;;18;414;6;25;20;67;91;1;210;5
144;Arthabaska;2022-10-03;G;Victoriaville, v;3;;19;404;5;14;20;36;68;2;145;4
144;Arthabaska;2022-10-03;G;Victoriaville, v;3;;20;373;3;13;9;26;62;1;114;0
144;Arthabaska;2022-10-03;G;Victoriaville, v;3;;21;399;3;23;22;36;63;4;151;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;3;;22;418;5;19;36;28;46;0;134;3
